,23A_origin,23A_Predicted
2023-02-19,35.120003,26.033361
2023-02-20,9.84,14.327055
2023-02-21,35.52,35.854
2023-02-22,42.08,39.883907
2023-02-23,37.440002,35.341347
2023-02-24,33.52,27.080729
2023-02-25,34.72,30.670742
2023-02-26,32.16,31.34526
2023-02-27,22.199999,14.106936
2023-02-28,54.75,45.9302
2023-03-01,67.05,54.609344
2023-03-02,43.05,46.89922
2023-03-03,58.65,33.698456
2023-03-04,63.15,41.370743
2023-03-05,57.3,44.181515
2023-03-06,18.75,20.772936
2023-03-07,74.55,62.32677
2023-03-08,78.6,76.17791
2023-03-09,64.8,56.084793
2023-03-10,64.05,53.276066
2023-03-11,54.3,64.02389
2023-03-12,64.350006,56.83711
2023-03-13,39.440002,23.148952
2023-03-14,128.76,96.60822
2023-03-15,130.49998,114.3129
2023-03-16,129.92,85.91551
2023-03-17,100.92,76.766235
2023-03-18,109.619995,97.93785
2023-03-19,106.71999,91.17629
2023-03-20,57.420006,46.053905
2023-03-21,139.78,148.37656
2023-03-22,152.54,160.04648
2023-03-23,139.78,134.91895
2023-03-24,132.81999,110.93196
2023-03-25,124.98999,145.78479
2023-03-26,118.899994,124.66934
2023-03-27,62.56,55.738068
2023-03-28,235.98001,202.88759
2023-03-29,281.52002,222.64757
2023-03-30,237.36,186.69803
2023-03-31,197.34,162.02776
2023-04-01,207.45999,188.9989
2023-04-02,203.78,181.40594
2023-04-03,78.66,79.31926
2023-04-04,238.74,239.61069
2023-04-05,258.98,260.93695
2023-04-06,224.94,233.78914
2023-04-07,204.7,197.13905
2023-04-08,188.14,226.90022
2023-04-09,173.87999,209.7092
2023-04-10,78.4,74.25205
2023-04-11,234.08002,257.4325
2023-04-12,275.52,296.4128
2023-04-13,217.84001,263.95517
2023-04-14,245.84,226.10612
2023-04-15,196.0,250.65154
2023-04-16,206.64,245.56558
2023-04-17,72.8,74.24613
2023-04-18,248.64001,271.53384
2023-04-19,300.72,311.1065
2023-04-20,241.36,276.96802
2023-04-21,257.6,250.78079
2023-04-22,230.72,265.89597
2023-04-23,230.72,262.3109
2023-04-24,76.16,56.259018
2023-04-25,250.24,281.45227
2023-04-26,295.68002,331.43796
2023-04-27,267.52,294.92377
2023-04-28,252.15999,267.02255
2023-04-29,296.32,284.948
2023-04-30,344.96,277.0337
2023-05-01,90.88,73.65114
2023-05-02,309.12,274.36774
2023-05-03,376.96002,337.4155
2023-05-04,421.76,305.65707
