,22D_origin,22D_Predicted
2023-02-19,108.71999,109.79173
2023-02-20,98.64,101.98166
2023-02-21,87.119995,86.048225
2023-02-22,194.4,199.97806
2023-02-23,117.35999,118.77213
2023-02-24,124.56,126.78588
2023-02-25,148.32,150.52182
2023-02-26,128.88,128.6889
2023-02-27,77.05,80.778046
2023-02-28,84.42,82.20946
2023-03-01,172.19,173.8012
2023-03-02,110.549995,110.571815
2023-03-03,106.53,107.94076
2023-03-04,156.78,160.68077
2023-03-05,119.93,126.025536
2023-03-06,0.0,-3.7514987
2023-03-07,199.66,203.18332
2023-03-08,194.3,195.66806
2023-03-09,162.81,166.01529
2023-03-10,144.72,146.89137
2023-03-11,135.34,138.95079
2023-03-12,148.73999,149.65465
2023-03-13,73.92,76.96119
2023-03-14,66.08,67.81366
2023-03-15,164.64,171.52013
2023-03-16,128.8,131.78635
2023-03-17,88.479996,94.25332
2023-03-18,124.32,127.91882
2023-03-19,118.72,123.783264
2023-03-20,0.0,-2.7473967
2023-03-21,152.88,157.89447
2023-03-22,150.64,155.19934
2023-03-23,111.44,113.15082
2023-03-24,110.32,111.50604
2023-03-25,115.36,115.975426
2023-03-26,92.96,97.44859
2023-03-27,48.75,51.16237
2023-03-28,41.73,43.117844
2023-03-29,86.97,92.52428
2023-03-30,54.21,55.95894
2023-03-31,48.36,51.416283
2023-04-01,48.75,51.147686
2023-04-02,60.84,62.283756
2023-04-03,42.51,43.047718
2023-04-04,32.760002,34.8342
2023-04-05,74.88,77.41486
2023-04-06,47.58,48.59864
2023-04-07,53.43,52.066208
2023-04-08,38.609997,44.696224
2023-04-09,48.75,49.36166
2023-04-10,22.62,25.599228
2023-04-11,18.72,20.808392
2023-04-12,43.68,45.765446
2023-04-13,29.38,31.114412
2023-04-14,29.9,31.190687
2023-04-15,37.960003,36.955853
2023-04-16,28.6,32.477432
2023-04-17,17.42,21.864565
2023-04-18,29.38,28.489145
2023-04-19,52.780003,51.724617
2023-04-20,43.94,44.153812
2023-04-21,43.68,45.405037
2023-04-22,43.420002,44.592274
2023-04-23,36.92,38.89537
2023-04-24,19.570002,20.845196
2023-04-25,18.999998,18.742493
2023-04-26,42.18,44.58758
2023-04-27,29.07,29.705345
2023-04-28,31.539999,27.442253
2023-04-29,34.01,36.523937
2023-04-30,33.63,33.243607
2023-05-01,25.84,23.09435
2023-05-02,20.140001,32.129265
2023-05-03,51.3,47.857307
2023-05-04,48.829998,40.871834
