,23A_origin,23A_Predicted
2023-02-19,12.08,20.205791
2023-02-20,10.96,27.13074
2023-02-21,9.68,24.703247
2023-02-22,21.6,24.884197
2023-02-23,13.039999,24.230143
2023-02-24,13.84,22.064547
2023-02-25,16.48,20.997906
2023-02-26,14.320001,23.042217
2023-02-27,17.25,27.68578
2023-02-28,18.9,26.72923
2023-03-01,38.55,26.342653
2023-03-02,24.75,29.240433
2023-03-03,23.849998,27.371819
2023-03-04,35.1,26.698328
2023-03-05,26.85,28.57734
2023-03-06,0.0,33.192062
2023-03-07,44.7,36.61944
2023-03-08,43.5,34.125717
2023-03-09,36.45,33.84474
2023-03-10,32.4,36.05419
2023-03-11,30.300001,40.724655
2023-03-12,33.3,46.297764
2023-03-13,38.280003,41.975075
2023-03-14,34.22,46.562737
2023-03-15,85.26,58.337597
2023-03-16,66.7,50.305283
2023-03-17,45.820004,52.50712
2023-03-18,64.38,53.658714
2023-03-19,61.48,49.363087
2023-03-20,0.0,49.409737
2023-03-21,79.17,67.7449
2023-03-22,78.01,51.160038
2023-03-23,57.710003,52.580338
2023-03-24,57.13,52.785973
2023-03-25,59.739998,54.34349
2023-03-26,48.14,58.013657
2023-03-27,57.500004,51.07206
2023-03-28,49.22,57.08682
2023-03-29,102.58,71.87204
2023-03-30,63.940002,57.834164
2023-03-31,57.039997,56.133877
2023-04-01,57.500004,55.25928
2023-04-02,71.76,54.641346
2023-04-03,50.14,55.278576
2023-04-04,38.64,57.598457
2023-04-05,88.32001,65.33104
2023-04-06,56.12,57.411667
2023-04-07,63.019997,61.232998
2023-04-08,45.54,58.1764
2023-04-09,57.500004,60.673447
2023-04-10,48.72,50.84738
2023-04-11,40.32,62.013935
2023-04-12,94.08,74.296814
2023-04-13,63.28,72.75698
2023-04-14,64.4,74.39894
2023-04-15,81.759995,71.266556
2023-04-16,61.600002,57.6146
2023-04-17,37.52,48.924057
2023-04-18,63.28,73.72298
2023-04-19,113.68,101.48059
2023-04-20,94.64001,96.37614
2023-04-21,94.08,90.50649
2023-04-22,93.52,77.11842
2023-04-23,79.520004,61.22945
2023-04-24,65.92,54.437424
2023-04-25,63.999996,90.71728
2023-04-26,142.08,115.29029
2023-04-27,97.92,96.35866
2023-04-28,106.24,89.008766
2023-04-29,114.560005,104.03972
2023-04-30,113.28,98.72905
2023-05-01,87.04,90.62868
2023-05-02,67.84,66.89149
2023-05-03,172.8,127.21218
2023-05-04,164.48,129.16594
