,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-20
1,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-21
2,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-22
3,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-23
4,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-24
5,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-25
6,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-26
7,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-27
8,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-28
9,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-29
10,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-30
11,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-01-31
12,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-01
13,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-02
14,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-03
15,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-04
16,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-05
17,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-06
18,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-07
19,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-08
20,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-09
21,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-10
22,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-11
23,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-12
24,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-13
25,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-14
26,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-15
27,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-16
28,0,0,措备,Daegu,0,0,0,0,0,0.00,2020-02-17
29,0,1,措备,Daegu,1,0,1,1,0,0.00,2020-02-18
30,0,28,措备,Daegu,27,0,28,27,0,0.00,2020-02-19
31,0,40,措备,Daegu,12,0,40,12,0,0.00,2020-02-20
32,0,84,措备,Daegu,44,0,84,44,0,0.00,2020-02-21
33,0,151,措备,Daegu,67,0,151,67,0,0.00,2020-02-22
34,0,287,措备,Daegu,136,0,287,136,0,0.00,2020-02-23
35,1,439,措备,Daegu,152,0,438,152,0,0.00,2020-02-24
36,2,493,措备,Daegu,54,0,491,54,0,0.00,2020-02-25
37,3,677,措备,Daegu,184,0,674,184,0,0.00,2020-02-26
38,4,1017,措备,Daegu,340,0,1013,340,0,0.00,2020-02-27
39,5,1313,措备,Daegu,296,0,1308,296,0,0.00,2020-02-28
40,8,2055,措备,Daegu,742,0,2047,742,0,0.00,2020-02-29
41,9,2567,措备,Daegu,512,0,2558,512,0,0.00,2020-03-01
42,15,3084,措备,Daegu,517,0,3069,517,0,126.58,2020-03-02
43,20,3604,措备,Daegu,520,2,3582,520,0,147.92,2020-03-03
44,24,4002,措备,Daegu,398,8,3970,398,0,164.25,2020-03-04
45,27,4328,措备,Daegu,326,35,4266,326,0,177.63,2020-03-05
46,30,4695,措备,Daegu,367,52,4613,367,0,192.70,2020-03-06
47,31,5085,措备,Daegu,390,60,4994,390,0,208.70,2020-03-07
48,35,5382,措备,Daegu,297,69,5278,297,0,220.89,2020-03-08
49,35,5572,措备,Daegu,190,75,5462,190,0,228.69,2020-03-09
50,38,5664,措备,Daegu,92,85,5541,92,0,232.47,2020-03-10
51,44,5795,措备,Daegu,131,117,5634,131,0,237.84,2020-03-11
52,48,5867,措备,Daegu,72,145,5674,71,1,240.80,2020-03-12
53,48,5928,措备,Daegu,61,254,5626,61,0,243.30,2020-03-13
54,51,5990,措备,Daegu,62,355,5584,62,0,245.85,2020-03-14
55,53,6031,措备,Daegu,41,461,5517,41,0,247.53,2020-03-15
56,53,6066,措备,Daegu,35,691,5322,35,0,248.96,2020-03-16
57,57,6098,措备,Daegu,32,905,5136,32,0,250.28,2020-03-17
58,58,6144,措备,Daegu,46,1010,5076,46,0,252.17,2020-03-18
59,65,6241,措备,Daegu,97,1327,4849,97,0,256.15,2020-03-19
60,67,6275,措备,Daegu,34,1561,4647,34,0,257.54,2020-03-20
61,73,6344,措备,Daegu,69,1832,4439,69,0,260.37,2020-03-21
62,75,6387,措备,Daegu,43,2050,4262,43,0,262.14,2020-03-22
63,82,6411,措备,Daegu,24,2240,4089,24,0,263.12,2020-03-23
64,88,6442,措备,Daegu,31,2498,3856,31,0,264.40,2020-03-24
65,92,6456,措备,Daegu,14,2659,3705,14,0,264.97,2020-03-25
66,94,6482,措备,Daegu,26,2945,3443,26,0,266.04,2020-03-26
67,98,6516,措备,Daegu,34,3218,3200,34,0,267.43,2020-03-27
68,101,6587,措备,Daegu,71,3433,3053,70,1,270.35,2020-03-28
69,106,6610,措备,Daegu,23,3592,2912,23,0,271.29,2020-03-29
70,111,6624,措备,Daegu,14,3716,2797,13,1,271.87,2020-03-30
71,114,6684,措备,Daegu,60,3821,2749,59,1,274.33,2020-03-31
72,115,6704,措备,Daegu,20,3943,2646,20,0,275.15,2020-04-01
73,117,6725,措备,Daegu,21,4145,2463,20,1,276.01,2020-04-02
