,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-20
1,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-21
2,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-22
3,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-23
4,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-24
5,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-25
6,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-26
7,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-27
8,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-28
9,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-29
10,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-30
11,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-01-31
12,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-02-01
13,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-02-02
14,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-02-03
15,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-02-04
16,0,0,전남,Jeollanam-do,0,0,0,0,0,0.00,2020-02-05
17,0,1,전남,Jeollanam-do,1,0,1,1,0,0.00,2020-02-06
18,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-07
19,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-08
20,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-09
21,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-10
22,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-11
23,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-12
24,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-13
25,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-14
26,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-15
27,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-16
28,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-17
29,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-18
30,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-19
31,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-20
32,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-21
33,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-22
34,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-23
35,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-24
36,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-25
37,0,1,전남,Jeollanam-do,0,0,1,0,0,0.00,2020-02-26
38,0,1,전남,Jeollanam-do,0,1,0,0,0,0.00,2020-02-27
39,0,1,전남,Jeollanam-do,0,1,0,0,0,0.00,2020-02-28
40,0,2,전남,Jeollanam-do,1,1,1,1,0,0.00,2020-02-29
41,0,3,전남,Jeollanam-do,1,1,2,1,0,0.00,2020-03-01
42,0,4,전남,Jeollanam-do,1,1,3,1,0,0.21,2020-03-02
43,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-03
44,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-04
45,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-05
46,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-06
47,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-07
48,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-08
49,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-09
50,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-10
51,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-11
52,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-12
53,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-13
54,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-14
55,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-15
56,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-16
57,0,4,전남,Jeollanam-do,0,1,3,0,0,0.21,2020-03-17
58,0,5,전남,Jeollanam-do,1,2,3,1,0,0.27,2020-03-18
59,0,5,전남,Jeollanam-do,0,3,2,0,0,0.27,2020-03-19
60,0,5,전남,Jeollanam-do,0,3,2,0,0,0.27,2020-03-20
61,0,5,전남,Jeollanam-do,0,3,2,0,0,0.27,2020-03-21
62,0,6,전남,Jeollanam-do,1,3,3,0,1,0.32,2020-03-22
63,0,6,전남,Jeollanam-do,0,3,3,0,0,0.32,2020-03-23
64,0,6,전남,Jeollanam-do,0,3,3,0,0,0.32,2020-03-24
65,0,8,전남,Jeollanam-do,2,3,5,2,0,0.43,2020-03-25
66,0,8,전남,Jeollanam-do,0,3,5,0,0,0.43,2020-03-26
67,0,8,전남,Jeollanam-do,0,3,5,0,0,0.43,2020-03-27
68,0,8,전남,Jeollanam-do,0,3,5,0,0,0.43,2020-03-28
69,0,9,전남,Jeollanam-do,1,3,6,0,1,0.48,2020-03-29
70,0,9,전남,Jeollanam-do,0,3,6,0,0,0.48,2020-03-30
71,0,9,전남,Jeollanam-do,0,3,6,0,0,0.48,2020-03-31
72,0,12,전남,Jeollanam-do,3,3,9,1,2,0.64,2020-04-01
73,0,14,전남,Jeollanam-do,2,3,11,0,2,0.75,2020-04-02
74,0,15,전남,Jeollanam-do,1,3,12,0,1,0.80,2020-04-03
75,0,15,전남,Jeollanam-do,0,4,11,0,0,0.80,2020-04-04
76,0,15,전남,Jeollanam-do,0,4,11,0,0,0.80,2020-04-05
77,0,15,전남,Jeollanam-do,0,4,11,0,0,0.80,2020-04-06
78,0,15,전남,Jeollanam-do,0,4,11,0,0,0.80,2020-04-07
79,0,15,전남,Jeollanam-do,0,4,11,0,0,0.80,2020-04-08
80,0,15,전남,Jeollanam-do,0,4,11,0,0,0.80,2020-04-09
81,0,15,전남,Jeollanam-do,0,4,11,0,0,0.80,2020-04-10
82,0,15,전남,Jeollanam-do,0,5,10,0,0,0.80,2020-04-11
83,0,15,전남,Jeollanam-do,0,5,10,0,0,0.80,2020-04-12
84,0,15,전남,Jeollanam-do,0,6,9,0,0,0.80,2020-04-13
85,0,15,전남,Jeollanam-do,0,6,9,0,0,0.80,2020-04-14
86,0,15,전남,Jeollanam-do,0,7,8,0,0,0.80,2020-04-15
87,0,15,전남,Jeollanam-do,0,7,8,0,0,0.80,2020-04-16
88,0,15,전남,Jeollanam-do,0,7,8,0,0,0.80,2020-04-17
89,0,15,전남,Jeollanam-do,0,7,8,0,0,0.80,2020-04-18
90,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-19
91,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-20
92,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-21
93,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-22
94,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-23
95,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-24
96,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-25
97,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-26
98,0,15,전남,Jeollanam-do,0,8,7,0,0,0.80,2020-04-27
99,0,15,전남,Jeollanam-do,0,9,6,0,0,0.80,2020-04-28
100,0,15,전남,Jeollanam-do,0,9,6,0,0,0.80,2020-04-29
101,0,15,전남,Jeollanam-do,0,10,5,0,0,0.80,2020-04-30
102,0,15,전남,Jeollanam-do,0,11,4,0,0,0.80,2020-05-01
103,0,15,전남,Jeollanam-do,0,11,4,0,0,0.80,2020-05-02
104,0,15,전남,Jeollanam-do,0,11,4,0,0,0.80,2020-05-03
105,0,16,전남,Jeollanam-do,1,11,5,0,1,0.86,2020-05-04
106,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-05
107,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-06
108,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-07
109,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-08
110,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-09
111,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-10
112,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-11
113,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-12
114,0,16,전남,Jeollanam-do,0,11,5,0,0,0.86,2020-05-13
115,0,17,전남,Jeollanam-do,1,12,5,0,1,0.91,2020-05-14
116,0,18,전남,Jeollanam-do,1,12,6,0,1,0.97,2020-05-15
117,0,18,전남,Jeollanam-do,0,12,6,0,0,0.97,2020-05-16
118,0,18,전남,Jeollanam-do,0,12,6,0,0,0.97,2020-05-17
119,0,18,전남,Jeollanam-do,0,13,5,0,0,0.97,2020-05-18
120,0,18,전남,Jeollanam-do,0,13,5,0,0,0.97,2020-05-19
121,0,18,전남,Jeollanam-do,0,14,4,0,0,0.97,2020-05-20
122,0,18,전남,Jeollanam-do,0,16,2,0,0,0.97,2020-05-21
123,0,18,전남,Jeollanam-do,0,16,2,0,0,0.97,2020-05-22
124,0,18,전남,Jeollanam-do,0,16,2,0,0,0.97,2020-05-23
125,0,18,전남,Jeollanam-do,0,17,1,0,0,0.97,2020-05-24
126,0,18,전남,Jeollanam-do,0,17,1,0,0,0.97,2020-05-25
127,0,18,전남,Jeollanam-do,0,17,1,0,0,0.97,2020-05-26
128,0,18,전남,Jeollanam-do,0,17,1,0,0,0.97,2020-05-27
129,0,18,전남,Jeollanam-do,0,17,1,0,0,0.97,2020-05-28
130,0,18,전남,Jeollanam-do,0,17,1,0,0,0.97,2020-05-29
131,0,19,전남,Jeollanam-do,1,17,2,0,1,1.02,2020-05-30
132,0,19,전남,Jeollanam-do,0,17,2,0,0,1.02,2020-05-31
133,0,20,전남,Jeollanam-do,1,17,3,0,1,1.07,2020-06-01
134,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-02
135,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-03
136,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-04
137,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-05
138,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-06
139,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-07
140,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-08
141,0,20,전남,Jeollanam-do,0,17,3,0,0,1.07,2020-06-09
142,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-10
143,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-11
144,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-12
145,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-13
146,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-14
147,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-15
148,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-16
149,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-17
150,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-18
151,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-19
152,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-20
153,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-21
154,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-22
155,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-23
156,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-24
157,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-25
158,0,20,전남,Jeollanam-do,0,18,2,0,0,1.07,2020-06-26
159,0,20,전남,Jeollanam-do,0,19,1,0,0,1.07,2020-06-27
160,0,23,전남,Jeollanam-do,3,19,4,3,0,1.23,2020-06-28
161,0,24,전남,Jeollanam-do,1,19,5,0,1,1.29,2020-06-29
162,0,24,전남,Jeollanam-do,0,19,5,0,0,1.29,2020-06-30
163,0,25,전남,Jeollanam-do,1,19,6,0,1,1.34,2020-07-01
164,0,25,전남,Jeollanam-do,0,19,6,0,0,1.34,2020-07-02
165,0,25,전남,Jeollanam-do,0,19,6,0,0,1.34,2020-07-03
166,0,25,전남,Jeollanam-do,0,19,6,0,0,1.34,2020-07-04
167,0,25,전남,Jeollanam-do,0,19,6,0,0,1.34,2020-07-05
168,0,27,전남,Jeollanam-do,2,19,8,2,0,1.45,2020-07-06
169,0,27,전남,Jeollanam-do,0,19,8,0,0,1.45,2020-07-07
170,0,28,전남,Jeollanam-do,1,19,9,1,0,1.50,2020-07-08
171,0,29,전남,Jeollanam-do,1,19,10,0,1,1.56,2020-07-09
172,0,32,전남,Jeollanam-do,3,19,13,2,1,1.72,2020-07-10
173,0,32,전남,Jeollanam-do,0,19,13,0,0,1.72,2020-07-11
174,0,32,전남,Jeollanam-do,0,19,13,0,0,1.72,2020-07-12
175,0,32,전남,Jeollanam-do,0,19,13,0,0,1.72,2020-07-13
176,0,32,전남,Jeollanam-do,0,20,12,0,0,1.72,2020-07-14
177,0,32,전남,Jeollanam-do,0,20,12,0,0,1.72,2020-07-15
178,0,32,전남,Jeollanam-do,0,20,12,0,0,1.72,2020-07-16
179,0,32,전남,Jeollanam-do,0,21,11,0,0,1.72,2020-07-17
180,0,33,전남,Jeollanam-do,1,21,12,0,1,1.77,2020-07-18
181,0,33,전남,Jeollanam-do,0,21,12,0,0,1.77,2020-07-19
182,0,35,전남,Jeollanam-do,2,21,14,1,1,1.88,2020-07-20
183,0,35,전남,Jeollanam-do,0,21,14,0,0,1.88,2020-07-21
184,0,35,전남,Jeollanam-do,0,21,14,0,0,1.88,2020-07-22
185,0,35,전남,Jeollanam-do,0,23,12,0,0,1.88,2020-07-23
186,0,35,전남,Jeollanam-do,0,24,11,0,0,1.88,2020-07-24
187,0,36,전남,Jeollanam-do,1,24,12,0,1,1.93,2020-07-25
188,0,36,전남,Jeollanam-do,0,24,12,0,0,1.93,2020-07-26
189,0,36,전남,Jeollanam-do,0,24,12,0,0,1.93,2020-07-27
190,0,38,전남,Jeollanam-do,2,24,14,0,2,2.04,2020-07-28
191,0,38,전남,Jeollanam-do,0,24,14,0,0,2.04,2020-07-29
192,0,38,전남,Jeollanam-do,0,24,14,0,0,2.04,2020-07-30
193,0,38,전남,Jeollanam-do,0,24,14,0,0,2.04,2020-07-31
194,0,38,전남,Jeollanam-do,0,24,14,0,0,2.04,2020-08-01
195,0,38,전남,Jeollanam-do,0,24,14,0,0,2.04,2020-08-02
196,0,38,전남,Jeollanam-do,0,24,14,0,0,2.04,2020-08-03
197,0,39,전남,Jeollanam-do,1,24,15,0,1,2.09,2020-08-04
198,0,39,전남,Jeollanam-do,0,25,14,0,0,2.09,2020-08-05
199,0,41,전남,Jeollanam-do,2,25,16,1,1,2.20,2020-08-06
200,0,41,전남,Jeollanam-do,0,25,16,0,0,2.20,2020-08-07
201,0,41,전남,Jeollanam-do,0,26,15,0,0,2.20,2020-08-08
202,0,41,전남,Jeollanam-do,0,26,15,0,0,2.20,2020-08-09
203,0,42,전남,Jeollanam-do,1,27,15,0,1,2.25,2020-08-10
204,0,42,전남,Jeollanam-do,0,29,13,0,0,2.25,2020-08-11
205,0,42,전남,Jeollanam-do,0,29,13,0,0,2.25,2020-08-12
206,0,42,전남,Jeollanam-do,0,31,11,0,0,2.25,2020-08-13
207,0,42,전남,Jeollanam-do,0,31,11,0,0,2.25,2020-08-14
