,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-20
1,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-21
2,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-22
3,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-23
4,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-24
5,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-25
6,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-26
7,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-27
8,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-28
9,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-29
10,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-30
11,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-01-31
12,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-01
13,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-02
14,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-03
15,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-04
16,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-05
17,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-06
18,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-07
19,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-08
20,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-09
21,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-10
22,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-11
23,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-12
24,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-13
25,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-14
26,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-15
27,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-16
28,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-17
29,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-18
30,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-19
31,0,0,面巢,Chungcheongnam-do,0,0,0,0,0,0.00,2020-02-20
32,0,1,面巢,Chungcheongnam-do,1,0,1,1,0,0.00,2020-02-21
33,0,1,面巢,Chungcheongnam-do,0,0,1,0,0,0.00,2020-02-22
34,0,1,面巢,Chungcheongnam-do,0,0,1,0,0,0.00,2020-02-23
35,0,1,面巢,Chungcheongnam-do,0,0,1,0,0,0.00,2020-02-24
36,0,1,面巢,Chungcheongnam-do,0,0,1,0,0,0.00,2020-02-25
37,0,2,面巢,Chungcheongnam-do,1,0,2,1,0,0.00,2020-02-26
38,0,7,面巢,Chungcheongnam-do,5,0,7,5,0,0.00,2020-02-27
39,0,16,面巢,Chungcheongnam-do,9,0,16,9,0,0.00,2020-02-28
40,0,48,面巢,Chungcheongnam-do,32,0,48,32,0,0.00,2020-02-29
41,0,60,面巢,Chungcheongnam-do,12,0,60,12,0,0.00,2020-03-01
42,0,77,面巢,Chungcheongnam-do,17,0,77,17,0,3.63,2020-03-02
43,0,81,面巢,Chungcheongnam-do,4,0,81,4,0,3.82,2020-03-03
44,0,82,面巢,Chungcheongnam-do,1,0,82,1,0,3.86,2020-03-04
45,0,86,面巢,Chungcheongnam-do,4,0,86,4,0,4.05,2020-03-05
46,0,90,面巢,Chungcheongnam-do,4,0,90,4,0,4.24,2020-03-06
47,0,92,面巢,Chungcheongnam-do,2,0,92,2,0,4.33,2020-03-07
48,0,98,面巢,Chungcheongnam-do,6,0,98,6,0,4.62,2020-03-08
49,0,102,面巢,Chungcheongnam-do,4,0,102,4,0,4.81,2020-03-09
50,0,104,面巢,Chungcheongnam-do,2,0,104,2,0,4.90,2020-03-10
51,0,112,面巢,Chungcheongnam-do,8,0,112,8,0,5.28,2020-03-11
52,0,114,面巢,Chungcheongnam-do,2,0,114,2,0,5.37,2020-03-12
53,0,115,面巢,Chungcheongnam-do,1,0,115,1,0,5.42,2020-03-13
54,0,115,面巢,Chungcheongnam-do,0,1,114,0,0,5.42,2020-03-14
55,0,115,面巢,Chungcheongnam-do,0,2,113,0,0,5.42,2020-03-15
56,0,115,面巢,Chungcheongnam-do,0,10,105,0,0,5.42,2020-03-16
57,0,115,面巢,Chungcheongnam-do,0,14,101,0,0,5.42,2020-03-17
58,0,118,面巢,Chungcheongnam-do,3,20,98,1,2,5.56,2020-03-18
59,0,118,面巢,Chungcheongnam-do,0,34,84,0,0,5.56,2020-03-19
60,0,119,面巢,Chungcheongnam-do,1,35,84,0,1,5.61,2020-03-20
61,0,119,面巢,Chungcheongnam-do,0,37,82,0,0,5.61,2020-03-21
62,0,120,面巢,Chungcheongnam-do,1,39,81,1,0,5.65,2020-03-22
63,0,120,面巢,Chungcheongnam-do,0,44,76,0,0,5.65,2020-03-23
64,0,120,面巢,Chungcheongnam-do,0,56,64,0,0,5.65,2020-03-24
65,0,123,面巢,Chungcheongnam-do,3,65,58,2,1,5.80,2020-03-25
66,0,124,面巢,Chungcheongnam-do,1,68,56,0,1,5.84,2020-03-26
67,0,124,面巢,Chungcheongnam-do,0,76,48,0,0,5.84,2020-03-27
68,0,126,面巢,Chungcheongnam-do,2,79,47,1,1,5.94,2020-03-28
69,0,127,面巢,Chungcheongnam-do,1,81,46,0,1,5.98,2020-03-29
70,0,127,面巢,Chungcheongnam-do,0,81,46,0,0,5.98,2020-03-30
71,0,128,面巢,Chungcheongnam-do,1,86,42,1,0,6.03,2020-03-31
72,0,131,面巢,Chungcheongnam-do,3,89,42,2,1,6.17,2020-04-01
73,0,133,面巢,Chungcheongnam-do,2,93,40,2,0,6.27,2020-04-02
74,0,134,面巢,Chungcheongnam-do,1,94,40,1,0,6.31,2020-04-03
75,0,135,面巢,Chungcheongnam-do,1,99,36,1,0,6.36,2020-04-04
76,0,135,面巢,Chungcheongnam-do,0,99,36,0,0,6.36,2020-04-05
77,0,136,面巢,Chungcheongnam-do,1,99,37,1,0,6.41,2020-04-06
78,0,137,面巢,Chungcheongnam-do,1,102,35,1,0,6.45,2020-04-07
79,0,137,面巢,Chungcheongnam-do,0,103,34,0,0,6.45,2020-04-08
80,0,138,面巢,Chungcheongnam-do,1,103,35,0,1,6.50,2020-04-09
81,0,138,面巢,Chungcheongnam-do,0,103,35,0,0,6.50,2020-04-10
82,0,138,面巢,Chungcheongnam-do,0,104,34,0,0,6.50,2020-04-11
83,0,139,面巢,Chungcheongnam-do,1,106,33,0,1,6.55,2020-04-12
84,0,139,面巢,Chungcheongnam-do,0,107,32,0,0,6.55,2020-04-13
85,0,139,面巢,Chungcheongnam-do,0,111,28,0,0,6.55,2020-04-14
86,0,139,面巢,Chungcheongnam-do,0,112,27,0,0,6.55,2020-04-15
87,0,139,面巢,Chungcheongnam-do,0,113,26,0,0,6.55,2020-04-16
88,0,139,面巢,Chungcheongnam-do,0,114,25,0,0,6.55,2020-04-17
89,0,141,面巢,Chungcheongnam-do,2,118,23,1,1,6.64,2020-04-18
90,0,141,面巢,Chungcheongnam-do,0,119,22,0,0,6.64,2020-04-19
91,0,141,面巢,Chungcheongnam-do,0,119,22,0,0,6.64,2020-04-20
92,0,141,面巢,Chungcheongnam-do,0,120,21,0,0,6.64,2020-04-21
93,0,141,面巢,Chungcheongnam-do,0,120,21,0,0,6.64,2020-04-22
94,0,141,面巢,Chungcheongnam-do,0,121,20,0,0,6.64,2020-04-23
95,0,141,面巢,Chungcheongnam-do,0,121,20,0,0,6.64,2020-04-24
96,0,141,面巢,Chungcheongnam-do,0,121,20,0,0,6.64,2020-04-25
97,0,141,面巢,Chungcheongnam-do,0,121,20,0,0,6.64,2020-04-26
98,0,142,面巢,Chungcheongnam-do,1,121,21,0,1,6.69,2020-04-27
