Date,city,Death,Death_n,Inf_AC,Inf_n,Infected,Recovered,Recovered_n,Susceptible,Susceptible_n
2020-01-20,경기,0,0.0,0,0.0,0,0,0.0,13527299,0.0
2020-01-21,경기,0,0.0,0,0.0,0,0,0.0,13527299,0.0
2020-01-22,경기,0,0.0,0,0.0,0,0,0.0,13527299,0.0
2020-01-23,경기,0,0.0,0,0.0,0,0,0.0,13527299,0.0
2020-01-24,경기,0,0.0,0,0.0,0,0,0.0,13527299,0.0
2020-01-25,경기,0,0.0,0,0.0,0,0,0.0,13527299,0.0
2020-01-26,경기,0,0.0,1,1.0,1,0,0.0,13527298,-1.0
2020-01-27,경기,0,0.0,2,1.0,2,0,0.0,13527297,-1.0
2020-01-28,경기,0,0.0,2,0.0,2,0,0.0,13527297,0.0
2020-01-29,경기,0,0.0,2,0.0,2,0,0.0,13527297,0.0
2020-01-30,경기,0,0.0,2,0.0,2,0,0.0,13527297,0.0
2020-01-31,경기,0,0.0,2,0.0,2,0,0.0,13527297,0.0
2020-02-01,경기,0,0.0,3,1.0,3,0,0.0,13527296,-1.0
2020-02-02,경기,0,0.0,5,2.0,5,0,0.0,13527294,-2.0
2020-02-03,경기,0,0.0,5,0.0,5,0,0.0,13527294,0.0
2020-02-04,경기,0,0.0,5,0.0,5,0,0.0,13527294,0.0
2020-02-05,경기,0,0.0,7,2.0,7,0,0.0,13527292,-2.0
2020-02-06,경기,0,0.0,7,0.0,7,0,0.0,13527292,0.0
2020-02-07,경기,0,0.0,7,0.0,7,0,0.0,13527292,0.0
2020-02-08,경기,0,0.0,7,0.0,7,0,0.0,13527292,0.0
2020-02-09,경기,0,0.0,10,3.0,9,1,1.0,13527289,-3.0
2020-02-10,경기,0,0.0,11,1.0,9,2,1.0,13527288,-1.0
2020-02-11,경기,0,0.0,11,0.0,9,2,0.0,13527288,0.0
2020-02-12,경기,0,0.0,11,0.0,9,2,0.0,13527288,0.0
2020-02-13,경기,0,0.0,11,0.0,9,2,0.0,13527288,0.0
2020-02-14,경기,0,0.0,11,0.0,9,2,0.0,13527288,0.0
2020-02-15,경기,0,0.0,11,0.0,8,3,1.0,13527288,0.0
2020-02-16,경기,0,0.0,11,0.0,6,5,2.0,13527288,0.0
2020-02-17,경기,0,0.0,11,0.0,6,5,0.0,13527288,0.0
2020-02-18,경기,0,0.0,12,1.0,7,5,0.0,13527287,-1.0
2020-02-19,경기,0,0.0,12,0.0,5,7,2.0,13527287,0.0
2020-02-20,경기,0,0.0,12,0.0,5,7,0.0,13527287,0.0
2020-02-21,경기,0,0.0,13,1.0,6,7,0.0,13527286,-1.0
2020-02-22,경기,0,0.0,15,2.0,8,7,0.0,13527284,-2.0
2020-02-23,경기,0,0.0,23,8.0,13,10,3.0,13527276,-8.0
2020-02-24,경기,0,0.0,35,12.0,24,11,1.0,13527264,-12.0
2020-02-25,경기,0,0.0,40,5.0,29,11,0.0,13527259,-5.0
2020-02-26,경기,1,1.0,43,3.0,32,10,-1.0,13527256,-3.0
2020-02-27,경기,1,0.0,55,12.0,44,10,0.0,13527244,-12.0
2020-02-28,경기,1,0.0,66,11.0,55,10,0.0,13527233,-11.0
2020-02-29,경기,1,0.0,76,10.0,65,10,0.0,13527223,-10.0
2020-03-01,경기,1,0.0,84,8.0,73,10,0.0,13527215,-8.0
2020-03-02,경기,1,0.0,92,8.0,81,10,0.0,13527207,-8.0
2020-03-03,경기,1,0.0,94,2.0,82,11,1.0,13527205,-2.0
2020-03-04,경기,1,0.0,103,9.0,91,11,0.0,13527196,-9.0
2020-03-05,경기,1,0.0,110,7.0,98,11,0.0,13527189,-7.0
2020-03-06,경기,1,0.0,120,10.0,107,12,1.0,13527179,-10.0
2020-03-07,경기,1,0.0,130,10.0,115,14,2.0,13527169,-10.0
2020-03-08,경기,1,0.0,141,11.0,118,22,8.0,13527158,-11.0
2020-03-09,경기,1,0.0,153,12.0,118,34,12.0,13527146,-12.0
2020-03-10,경기,1,0.0,163,10.0,123,39,5.0,13527136,-10.0
2020-03-11,경기,1,0.0,174,11.0,131,42,3.0,13527125,-11.0
2020-03-12,경기,1,0.0,177,3.0,122,54,12.0,13527122,-3.0
2020-03-13,경기,2,1.0,185,8.0,119,64,10.0,13527114,-8.0
2020-03-14,경기,3,1.0,200,15.0,124,73,9.0,13527099,-15.0
2020-03-15,경기,3,0.0,211,11.0,127,81,8.0,13527088,-11.0
2020-03-16,경기,3,0.0,231,20.0,139,89,8.0,13527068,-20.0
2020-03-17,경기,3,0.0,262,31.0,168,91,2.0,13527037,-31.0
2020-03-18,경기,3,0.0,277,15.0,174,100,9.0,13527022,-15.0
2020-03-19,경기,3,0.0,295,18.0,185,107,7.0,13527004,-18.0
2020-03-20,경기,3,0.0,309,14.0,189,117,10.0,13526990,-14.0
2020-03-21,경기,3,0.0,321,12.0,191,127,10.0,13526978,-12.0
2020-03-22,경기,3,0.0,337,16.0,196,138,11.0,13526962,-16.0
2020-03-23,경기,3,0.0,351,14.0,198,150,12.0,13526948,-14.0
2020-03-24,경기,4,1.0,366,15.0,203,159,9.0,13526933,-15.0
2020-03-25,경기,4,0.0,387,21.0,213,170,11.0,13526912,-21.0
2020-03-26,경기,4,0.0,401,14.0,224,173,3.0,13526898,-14.0
2020-03-27,경기,4,0.0,412,11.0,227,181,8.0,13526887,-11.0
2020-03-28,경기,5,1.0,433,21.0,233,195,14.0,13526866,-21.0
2020-03-29,경기,5,0.0,448,15.0,237,206,11.0,13526851,-15.0
2020-03-30,경기,5,0.0,463,15.0,232,226,20.0,13526836,-15.0
2020-03-31,경기,6,1.0,476,13.0,214,256,30.0,13526823,-13.0
2020-04-01,경기,6,0.0,498,22.0,221,271,15.0,13526801,-22.0
2020-04-02,경기,6,0.0,516,18.0,221,289,18.0,13526783,-18.0
2020-04-03,경기,6,0.0,539,23.0,230,303,14.0,13526760,-23.0
2020-04-04,경기,6,0.0,562,23.0,241,315,12.0,13526737,-23.0
2020-04-05,경기,7,1.0,572,10.0,235,330,15.0,13526727,-10.0
2020-04-06,경기,7,0.0,580,8.0,229,344,14.0,13526719,-8.0
2020-04-07,경기,7,0.0,590,10.0,224,359,15.0,13526709,-10.0
2020-04-08,경기,10,3.0,596,6.0,209,377,18.0,13526703,-6.0
2020-04-09,경기,11,1.0,606,10.0,205,390,13.0,13526693,-10.0
2020-04-10,경기,11,0.0,615,9.0,203,401,11.0,13526684,-9.0
2020-04-11,경기,11,0.0,624,9.0,191,422,21.0,13526675,-9.0
2020-04-12,경기,12,1.0,628,4.0,180,436,14.0,13526671,-4.0
2020-04-13,경기,13,1.0,631,3.0,168,450,14.0,13526668,-3.0
2020-04-14,경기,13,0.0,639,8.0,163,463,13.0,13526660,-8.0
2020-04-15,경기,13,0.0,645,6.0,147,485,22.0,13526654,-6.0
2020-04-16,경기,14,1.0,649,4.0,133,502,17.0,13526650,-4.0
2020-04-17,경기,14,0.0,650,1.0,111,525,23.0,13526649,-1.0
2020-04-18,경기,14,0.0,654,4.0,92,548,23.0,13526645,-4.0
2020-04-19,경기,14,0.0,654,0.0,82,558,10.0,13526645,0.0
2020-04-20,경기,14,0.0,656,2.0,76,566,8.0,13526643,-2.0
2020-04-21,경기,14,0.0,658,2.0,68,576,10.0,13526641,-2.0
2020-04-22,경기,14,0.0,658,0.0,62,582,6.0,13526641,0.0
2020-04-23,경기,14,0.0,659,1.0,53,592,10.0,13526640,-1.0
2020-04-24,경기,14,0.0,660,1.0,45,601,9.0,13526639,-1.0
