Date,city,Death,Infected,Recovered,Susceptible,alpha
2020-01-20,대구,0,0,0,2389150,0.0
2020-01-21,대구,0,0,0,2389150,0.0
2020-01-22,대구,0,0,0,2389150,0.0
2020-01-23,대구,0,0,0,2389150,0.0
2020-01-24,대구,0,0,0,2389150,0.0
2020-01-25,대구,0,0,0,2389150,0.0
2020-01-26,대구,0,0,0,2389150,0.0
2020-01-27,대구,0,0,0,2389150,0.0
2020-01-28,대구,0,0,0,2389150,0.0
2020-01-29,대구,0,0,0,2389150,0.0
2020-01-30,대구,0,0,0,2389150,0.0
2020-01-31,대구,0,0,0,2389150,0.0
2020-02-01,대구,0,0,0,2389150,0.0
2020-02-02,대구,0,0,0,2389150,0.0
2020-02-03,대구,0,0,0,2389150,0.0
2020-02-04,대구,0,0,0,2389150,0.0
2020-02-05,대구,0,0,0,2389150,0.0
2020-02-06,대구,0,0,0,2389150,0.0
2020-02-07,대구,0,0,0,2389150,0.0
2020-02-08,대구,0,0,0,2389150,0.0
2020-02-09,대구,0,0,0,2389150,0.0
2020-02-10,대구,0,0,0,2389150,0.0
2020-02-11,대구,0,0,0,2389150,0.0
2020-02-12,대구,0,0,0,2389150,0.0
2020-02-13,대구,0,0,0,2389150,0.0
2020-02-14,대구,0,0,0,2389150,0.0
2020-02-15,대구,0,0,0,2389150,0.0
2020-02-16,대구,0,0,0,2389150,0.0
2020-02-17,대구,0,0,0,2389150,0.0
2020-02-18,대구,0,1,0,2389149,27.000011301095075
2020-02-19,대구,0,28,0,2389122,0.42857645133711403
2020-02-20,대구,0,40,0,2389110,1.1000184169000171
2020-02-21,대구,0,84,0,2389066,0.7976470920514743
2020-02-22,대구,0,151,0,2388999,0.9007191792642217
2020-02-23,대구,0,287,0,2388863,0.5296803533352091
2020-02-24,대구,1,439,-1,2388711,0.12302944004753018
2020-02-25,대구,2,493,-2,2388657,0.3733021828629868
2020-02-26,대구,3,677,-3,2388473,0.5023580076752696
2020-02-27,대구,4,1017,-4,2388133,0.2911760602565901
2020-02-28,대구,5,1313,-5,2387837,0.5654287917451501
2020-02-29,대구,8,2055,-8,2387095,0.24936290513738643
2020-03-01,대구,9,2567,-9,2386583,0.2016190429765477
2020-03-02,대구,15,3084,-15,2386066,0.1688301239017024
2020-03-03,대구,20,3603,-19,2385546,0.1106303870579112
2020-03-04,대구,24,3974,4,2385148,0.08217085806647681
2020-03-05,대구,27,4288,13,2384822,0.08574301199919336
2020-03-06,대구,30,4611,54,2384455,0.08474689033304031
2020-03-07,대구,31,4934,120,2384065,0.0603229579972534
2020-03-08,대구,35,5095,252,2383768,0.03737565776443084
2020-03-09,대구,35,5133,404,2383578,0.0179651402522919
