Date,city,Death,Infected,Recovered,Susceptible,alpha
2020-01-20,부산,0,0,0,3353379,0.0
2020-01-21,부산,0,0,0,3353379,0.0
2020-01-22,부산,0,0,0,3353379,0.0
2020-01-23,부산,0,0,0,3353379,0.0
2020-01-24,부산,0,0,0,3353379,0.0
2020-01-25,부산,0,0,0,3353379,0.0
2020-01-26,부산,0,0,0,3353379,0.0
2020-01-27,부산,0,0,0,3353379,0.0
2020-01-28,부산,0,0,0,3353379,0.0
2020-01-29,부산,0,0,0,3353379,0.0
2020-01-30,부산,0,0,0,3353379,0.0
2020-01-31,부산,0,0,0,3353379,0.0
2020-02-01,부산,0,0,0,3353379,0.0
2020-02-02,부산,0,0,0,3353379,0.0
2020-02-03,부산,0,0,0,3353379,0.0
2020-02-04,부산,0,0,0,3353379,0.0
2020-02-05,부산,0,0,0,3353379,0.0
2020-02-06,부산,0,0,0,3353379,0.0
2020-02-07,부산,0,0,0,3353379,0.0
2020-02-08,부산,0,0,0,3353379,0.0
2020-02-09,부산,0,0,0,3353379,0.0
2020-02-10,부산,0,0,0,3353379,0.0
2020-02-11,부산,0,0,0,3353379,0.0
2020-02-12,부산,0,0,0,3353379,0.0
2020-02-13,부산,0,0,0,3353379,0.0
2020-02-14,부산,0,0,0,3353379,0.0
2020-02-15,부산,0,0,0,3353379,0.0
2020-02-16,부산,0,0,0,3353379,0.0
2020-02-17,부산,0,0,0,3353379,0.0
2020-02-18,부산,0,0,0,3353379,0.0
2020-02-19,부산,0,0,0,3353379,0.0
2020-02-20,부산,0,0,0,3353379,0.0
2020-02-21,부산,0,0,0,3353379,0.0
2020-02-22,부산,0,2,0,3353377,3.5000020874479665
2020-02-23,부산,0,9,0,3353370,0.8888912745486879
2020-02-24,부산,0,17,0,3353362,1.058828897159118
2020-02-25,부산,0,35,0,3353344,0.3714324481558025
2020-02-26,부산,0,48,0,3353331,0.16666905235421137
2020-02-27,부산,0,56,0,3353323,0.08928720534398693
2020-02-28,부산,0,61,0,3353318,0.2295123716907
2020-02-29,부산,0,75,0,3353304,0.05333452618671018
2020-03-01,부산,0,79,0,3353300,0.07595115637080722
2020-03-02,부산,0,85,0,3353294,0.023530008193172938
2020-03-03,부산,0,87,0,3353292,0.03448365326392382
2020-03-04,부산,0,90,0,3353289,0.0
2020-03-05,부산,0,90,0,3353289,0.03333422797736789
2020-03-06,부산,0,93,0,3353286,0.010752986386987993
2020-03-07,부산,0,92,2,3353285,0.01086986991536074
2020-03-08,부산,0,86,9,3353284,0.0
2020-03-09,부산,0,78,17,3353284,0.0
2020-03-10,부산,0,60,35,3353284,0.033334277681222345
2020-03-11,부산,0,49,48,3353282,0.040817507219762
2020-03-12,부산,0,43,56,3353280,0.023256500542613467
2020-03-13,부산,0,39,61,3353279,0.07692537088898084
2020-03-14,부산,0,28,75,3353276,0.10714614816760003
2020-03-15,부산,1,27,78,3353273,0.03703820781135989
2020-03-16,부산,1,22,84,3353272,0.0
2020-03-17,부산,1,20,86,3353272,0.0
2020-03-18,부산,1,17,89,3353272,0.0
2020-03-19,부산,1,17,89,3353272,0.05882540641954906
2020-03-20,부산,1,15,92,3353271,0.0
2020-03-21,부산,1,14,93,3353271,0.0
2020-03-22,부산,1,13,94,3353271,0.07692555441216375
2020-03-23,부산,1,14,94,3353270,0.1428617865120145
2020-03-24,부산,1,16,94,3353268,0.06250206887728628
2020-03-25,부산,1,15,96,3353267,0.0
2020-03-26,부산,2,13,97,3353267,0.0769256461740836
2020-03-27,부산,2,13,98,3353266,0.07692566911459776
2020-03-28,부산,2,11,101,3353265,0.2727365445590817
2020-03-29,부산,3,11,103,3353262,0.09091226285438965
2020-03-30,부산,3,11,104,3353261,0.09091228996598724
2020-03-31,부산,3,12,104,3353260,0.25000887196340277
2020-04-01,부산,3,15,104,3353257,0.0
2020-04-02,부산,3,15,104,3353257,0.0
2020-04-03,부산,3,14,105,3353257,0.0
2020-04-04,부산,3,14,105,3353257,0.0
2020-04-05,부산,3,14,105,3353257,0.0
2020-04-06,부산,3,13,106,3353257,0.07692587557984096
2020-04-07,부산,3,12,108,3353256,0.16667278012773257
2020-04-08,부산,3,13,109,3353254,0.0
2020-04-09,부산,3,13,109,3353254,0.07692594440183498
2020-04-10,부산,3,13,110,3353253,0.0
2020-04-11,부산,3,12,111,3353253,0.0
2020-04-12,부산,3,9,114,3353253,0.0
2020-04-13,부산,3,8,115,3353253,0.0
2020-04-14,부산,3,7,116,3353253,0.14286251077897877
2020-04-15,부산,3,5,119,3353252,0.6000227242092154
2020-04-16,부산,3,8,119,3353249,0.0
2020-04-17,부산,3,8,119,3353249,0.0
2020-04-18,부산,3,8,119,3353249,0.0
2020-04-19,부산,3,8,119,3353249,0.250009692092654
2020-04-20,부산,3,10,119,3353247,0.0
2020-04-21,부산,3,9,120,3353247,0.22223096996234792
2020-04-22,부산,3,9,122,3353245,0.11111555125458077
2020-04-23,부산,3,10,122,3353244,0.10000402595218243
2020-04-24,부산,3,10,123,3353243,0.0
2020-04-25,부산,3,10,123,3353243,0.10000405577525995
2020-04-26,부산,3,11,123,3353242,0.0
2020-04-27,부산,3,11,123,3353242,0.0
2020-04-28,부산,3,11,123,3353242,0.0
2020-04-29,부산,3,10,124,3353242,0.0
2020-04-30,부산,3,7,127,3353242,0.0
2020-05-01,부산,3,7,127,3353242,0.1428629794262218
2020-05-02,부산,3,8,127,3353241,0.0
2020-05-03,부산,3,8,127,3353241,0.0
2020-05-04,부산,3,6,129,3353241,0.0
2020-05-05,부산,3,6,129,3353241,0.0
2020-05-06,부산,3,4,131,3353241,0.0
2020-05-07,부산,3,3,132,3353241,0.6666941028097891
2020-05-08,부산,3,4,133,3353239,0.2500104376693698
2020-05-09,부산,3,5,133,3353238,0.0
2020-05-10,부산,3,4,134,3353238,0.0
2020-05-11,부산,3,4,134,3353238,0.0
2020-05-12,부산,3,4,134,3353238,0.750031536681858
2020-05-13,부산,3,7,134,3353235,0.0
2020-05-14,부산,3,7,134,3353235,0.0
2020-05-15,부산,3,7,134,3353235,0.0
2020-05-16,부산,3,6,135,3353235,0.0
2020-05-17,부산,3,6,135,3353235,0.0
2020-05-18,부산,3,6,135,3353235,0.0
2020-05-19,부산,3,6,135,3353235,0.0
2020-05-20,부산,3,6,135,3353235,0.0
2020-05-21,부산,3,6,135,3353235,0.0
2020-05-22,부산,3,4,137,3353235,0.0
2020-05-23,부산,3,3,138,3353235,0.0
2020-05-24,부산,3,3,138,3353235,0.0
2020-05-25,부산,3,3,138,3353235,0.0
2020-05-26,부산,3,3,138,3353235,0.0
2020-05-27,부산,3,0,141,3353235,0.0
2020-05-28,부산,3,1,141,3353234,0.0
2020-05-29,부산,3,1,141,3353234,1.0000432418375813
2020-05-30,부산,3,2,141,3353233,0.5000217700350676
2020-05-31,부산,3,3,141,3353232,0.0
2020-06-01,부산,3,3,141,3353232,0.0
2020-06-02,부산,3,3,141,3353232,0.0
2020-06-03,부산,3,3,141,3353232,0.0
2020-06-04,부산,3,3,141,3353232,0.0
2020-06-05,부산,3,3,139,3353234,0.0
2020-06-06,부산,3,3,132,3353239,0.0
2020-06-07,부산,3,3,124,3353240,0.0
2020-06-08,부산,3,3,106,3353250,0.0
2020-06-09,부산,3,3,93,3353245,0.0
2020-06-10,부산,3,3,85,3353240,0.0
2020-06-11,부산,3,2,81,3353237,0.0
2020-06-12,부산,3,2,67,3353246,0.0
2020-06-13,부산,3,1,64,3353235,0.0
2020-06-14,부산,3,0,59,3353238,0.0
