Date,city,Death,Infected,Recovered,Susceptible,alpha
2020-01-20,서울,0,0,0,9776000,0.0
2020-01-21,서울,0,0,0,9776000,0.0
2020-01-22,서울,0,0,0,9776000,0.0
2020-01-23,서울,0,0,0,9776000,0.0
2020-01-24,서울,0,1,0,9775999,0.0
2020-01-25,서울,0,1,0,9775999,0.0
2020-01-26,서울,0,1,0,9775999,0.0
2020-01-27,서울,0,1,0,9775999,0.0
2020-01-28,서울,0,1,0,9775999,0.0
2020-01-29,서울,0,1,0,9775999,3.0000003068740084
2020-01-30,서울,0,4,0,9775996,0.7500003068741027
2020-01-31,서울,0,7,0,9775993,0.0
2020-02-01,서울,0,7,0,9775993,0.14285724514854178
2020-02-02,서울,0,8,0,9775992,0.0
2020-02-03,서울,0,8,0,9775992,0.0
2020-02-04,서울,0,8,0,9775992,0.2500002045828188
2020-02-05,서울,0,10,0,9775990,0.20000020458286066
2020-02-06,서울,0,12,0,9775988,0.0
2020-02-07,서울,0,11,1,9775988,0.0
2020-02-08,서울,0,11,1,9775988,0.0
2020-02-09,서울,0,11,1,9775988,0.0
2020-02-10,서울,0,11,1,9775988,0.0
2020-02-11,서울,0,11,1,9775988,0.0
2020-02-12,서울,0,11,1,9775988,0.0
2020-02-13,서울,0,8,4,9775988,0.0
2020-02-14,서울,0,5,7,9775988,0.0
2020-02-15,서울,0,5,7,9775988,0.40000049099896606
2020-02-16,서울,0,6,8,9775986,0.0
2020-02-17,서울,0,6,8,9775986,0.0
2020-02-18,서울,0,6,8,9775986,0.33333381069353685
2020-02-19,서울,0,6,10,9775984,0.0
2020-02-20,서울,0,4,12,9775984,1.2500020458298622
2020-02-21,서울,0,9,12,9775979,0.22222269958276755
2020-02-22,서울,0,11,12,9775977,0.2727279143743708
2020-02-23,서울,0,14,12,9775974,0.2857150455947261
2020-02-24,서울,0,18,12,9775970,0.3888900822913509
2020-02-25,서울,0,25,12,9775963,0.32000121113388014
2020-02-26,서울,0,33,12,9775955,0.30303169791843787
2020-02-27,서울,0,43,12,9775945,0.16279161354376648
2020-02-28,서울,0,50,12,9775938,0.24000152210457965
2020-02-29,서울,0,62,12,9775926,0.12903323478908388
2020-03-01,서울,0,68,14,9775918,0.1323540513475232
2020-03-02,서울,0,77,14,9775909,0.09090993714520795
2020-03-03,서울,0,84,14,9775902,0.0
2020-03-04,서울,0,82,16,9775902,0.06097622101526895
2020-03-05,서울,0,87,16,9775897,0.022988747956725408
2020-03-06,서울,0,84,21,9775895,0.03571466931087713
2020-03-07,서울,0,85,23,9775892,0.1411780302473256
2020-03-08,서울,0,94,26,9775880,0.10638428458614467
2020-03-09,서울,0,100,30,9775870,0.11000146278540938
2020-03-10,서울,0,104,37,9775859,0.5096227349432925
2020-03-11,서울,0,149,45,9775806,0.12751930908261044
2020-03-12,서울,0,158,55,9775787,0.07595102191345084
2020-03-13,서울,0,163,62,9775775,0.0797564368651173
2020-03-14,서울,0,164,74,9775762,0.05487938483752456
2020-03-15,서울,0,165,82,9775753,0.036364555148939326
2020-03-16,서울,0,162,91,9775747,0.07407599113890204
2020-03-17,서울,0,167,98,9775735,0.029940931375333223
2020-03-18,서울,0,172,98,9775730,0.06976936879679645
