Date,city,Death,Infected,Recovered,Susceptible,alpha
2020-01-20,전북,0,0,0,1786855,0.0
2020-01-21,전북,0,0,0,1786855,0.0
2020-01-22,전북,0,0,0,1786855,0.0
2020-01-23,전북,0,0,0,1786855,0.0
2020-01-24,전북,0,0,0,1786855,0.0
2020-01-25,전북,0,0,0,1786855,0.0
2020-01-26,전북,0,0,0,1786855,0.0
2020-01-27,전북,0,0,0,1786855,0.0
2020-01-28,전북,0,0,0,1786855,0.0
2020-01-29,전북,0,0,0,1786855,0.0
2020-01-30,전북,0,0,0,1786855,0.0
2020-01-31,전북,0,1,0,1786854,0.0
2020-02-01,전북,0,1,0,1786854,0.0
2020-02-02,전북,0,1,0,1786854,0.0
2020-02-03,전북,0,1,0,1786854,0.0
2020-02-04,전북,0,1,0,1786854,0.0
2020-02-05,전북,0,1,0,1786854,0.0
2020-02-06,전북,0,1,0,1786854,0.0
2020-02-07,전북,0,1,0,1786854,0.0
2020-02-08,전북,0,1,0,1786854,0.0
2020-02-09,전북,0,1,0,1786854,0.0
2020-02-10,전북,0,1,0,1786854,0.0
2020-02-11,전북,0,1,0,1786854,0.0
2020-02-12,전북,0,1,0,1786854,0.0
2020-02-13,전북,0,1,0,1786854,0.0
2020-02-14,전북,0,0,1,1786854,0.0
2020-02-15,전북,0,0,1,1786854,0.0
2020-02-16,전북,0,0,1,1786854,0.0
2020-02-17,전북,0,0,1,1786854,0.0
2020-02-18,전북,0,0,1,1786854,0.0
2020-02-19,전북,0,0,1,1786854,0.0
2020-02-20,전북,0,0,1,1786854,0.0
2020-02-21,전북,0,1,1,1786853,1.0000011192862535
2020-02-22,전북,0,2,1,1786852,0.0
2020-02-23,전북,0,2,1,1786852,0.0
2020-02-24,전북,0,2,1,1786852,0.0
2020-02-25,전북,0,2,1,1786852,0.0
2020-02-26,전북,0,2,1,1786852,0.0
2020-02-27,전북,0,2,1,1786852,1.0000016789303199
2020-02-28,전북,0,4,1,1786850,0.0
2020-02-29,전북,0,4,1,1786850,0.0
2020-03-01,전북,0,4,1,1786850,0.250000699555083
2020-03-02,전북,0,5,1,1786849,0.2000006715732555
2020-03-03,전북,0,6,1,1786848,0.0
2020-03-04,전북,0,6,1,1786848,0.0
2020-03-05,전북,0,6,1,1786848,0.0
