Date,city,Death,Infected,Recovered,Susceptible,alpha
2020-01-20,제주,0,0,0,9776000,0.0
2020-01-21,제주,0,0,0,9776000,0.0
2020-01-22,제주,0,0,0,9776000,0.0
2020-01-23,제주,0,0,0,9776000,0.0
2020-01-24,제주,0,0,0,9776000,0.0
2020-01-25,제주,0,0,0,9776000,0.0
2020-01-26,제주,0,0,0,9776000,0.0
2020-01-27,제주,0,0,0,9776000,0.0
2020-01-28,제주,0,0,0,9776000,0.0
2020-01-29,제주,0,0,0,9776000,0.0
2020-01-30,제주,0,0,0,9776000,0.0
2020-01-31,제주,0,0,0,9776000,0.0
2020-02-01,제주,0,0,0,9776000,0.0
2020-02-02,제주,0,0,0,9776000,0.0
2020-02-03,제주,0,0,0,9776000,0.0
2020-02-04,제주,0,0,0,9776000,0.0
2020-02-05,제주,0,0,0,9776000,0.0
2020-02-06,제주,0,0,0,9776000,0.0
2020-02-07,제주,0,0,0,9776000,0.0
2020-02-08,제주,0,0,0,9776000,0.0
2020-02-09,제주,0,0,0,9776000,0.0
2020-02-10,제주,0,0,0,9776000,0.0
2020-02-11,제주,0,0,0,9776000,0.0
2020-02-12,제주,0,0,0,9776000,0.0
2020-02-13,제주,0,0,0,9776000,0.0
2020-02-14,제주,0,0,0,9776000,0.0
2020-02-15,제주,0,0,0,9776000,0.0
2020-02-16,제주,0,0,0,9776000,0.0
2020-02-17,제주,0,0,0,9776000,0.0
2020-02-18,제주,0,0,0,9776000,0.0
2020-02-19,제주,0,0,0,9776000,0.0
2020-02-20,제주,0,0,0,9776000,0.0
2020-02-21,제주,0,1,0,9775999,1.000000102291336
2020-02-22,제주,0,2,0,9775998,0.0
2020-02-23,제주,0,2,0,9775998,0.0
2020-02-24,제주,0,2,0,9775998,0.0
2020-02-25,제주,0,2,0,9775998,0.0
2020-02-26,제주,0,2,0,9775998,0.0
2020-02-27,제주,0,2,0,9775998,0.0
2020-02-28,제주,0,2,0,9775998,0.0
2020-02-29,제주,0,2,0,9775998,0.0
2020-03-01,제주,0,2,0,9775998,0.0
2020-03-02,제주,0,2,0,9775998,0.5000001022913466
2020-03-03,제주,0,3,0,9775997,0.0
2020-03-04,제주,0,3,0,9775997,0.3333334356246904
2020-03-05,제주,0,4,0,9775996,0.0
2020-03-06,제주,0,3,1,9775996,0.0
2020-03-07,제주,0,2,2,9775996,0.0
2020-03-08,제주,0,2,2,9775996,0.0
2020-03-09,제주,0,2,2,9775996,0.0
2020-03-10,제주,0,2,2,9775996,0.0
2020-03-11,제주,0,2,2,9775996,0.0
2020-03-12,제주,0,2,2,9775996,0.0
2020-03-13,제주,0,2,2,9775996,0.0
2020-03-14,제주,0,2,2,9775996,0.0
2020-03-15,제주,0,2,2,9775996,0.0
2020-03-16,제주,0,2,2,9775996,0.0
2020-03-17,제주,0,1,3,9775996,0.0
2020-03-18,제주,0,1,3,9775996,0.0
2020-03-19,제주,0,0,4,9775996,0.0
2020-03-20,제주,0,0,4,9775996,0.0
2020-03-21,제주,0,0,4,9775996,0.0
2020-03-22,제주,0,0,4,9775996,0.0
2020-03-23,제주,0,0,4,9775996,0.0
2020-03-24,제주,0,0,4,9775996,0.0
2020-03-25,제주,0,2,4,9775994,0.0
2020-03-26,제주,0,2,4,9775994,0.5000003068741654
2020-03-27,제주,0,3,4,9775993,0.3333335720132642
2020-03-28,제주,0,4,4,9775992,0.0
2020-03-29,제주,0,4,4,9775992,0.2500002045828188
2020-03-30,제주,0,5,4,9775991,0.0
2020-03-31,제주,0,5,4,9775991,0.0
2020-04-01,제주,0,5,4,9775991,0.0
