Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
2020-01-20,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-21,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-22,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-23,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-24,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-25,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-26,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-27,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-28,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-29,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-30,광주,1440908,0,0,0,0.0,0.0,0.0
2020-01-31,광주,1440908,0,0,0,0.0,0.0,0.0
2020-02-01,광주,1440908,0,0,0,0.0,0.0,0.0
2020-02-02,광주,1440908,0,0,0,0.0,0.0,0.0
2020-02-03,광주,1440908,0,0,0,0.0,0.0,0.0
2020-02-04,광주,1440907,1,0,0,1.0000006940073163,0.0,0.0
2020-02-05,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-06,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-07,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-08,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-09,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-10,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-11,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-12,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-13,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-14,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-15,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-16,광주,1440906,2,0,0,0.0,0.0,0.0
2020-02-17,광주,1440906,2,0,0,0.0,0.5,0.0
2020-02-18,광주,1440906,1,0,1,0.0,1.0,0.0
2020-02-19,광주,1440906,0,0,2,0.0,0.0,0.0
2020-02-20,광주,1440906,0,0,2,0.0,0.0,0.0
2020-02-21,광주,1440905,1,0,2,3.000006246074516,0.0,0.0
2020-02-22,광주,1440902,4,0,2,0.2500010410145867,0.0,0.0
2020-02-23,광주,1440901,5,0,2,0.40000194322857713,0.0,0.0
2020-02-24,광주,1440899,7,0,2,0.0,0.0,0.0
2020-02-25,광주,1440899,7,0,2,0.0,0.0,0.0
2020-02-26,광주,1440899,7,0,2,0.0,0.0,0.0
2020-02-27,광주,1440899,7,0,2,0.0,0.0,0.0
2020-02-28,광주,1440899,7,0,2,0.0,0.0,0.0
2020-02-29,광주,1440899,7,0,2,0.0,0.0,0.0
2020-03-01,광주,1440899,7,0,2,0.0,0.0,0.0
2020-03-02,광주,1440899,7,0,2,0.28571607031443563,0.0,0.0
2020-03-03,광주,1440897,9,0,2,0.22222391869632444,0.0,0.0
2020-03-04,광주,1440895,11,0,2,0.0,0.0,0.0
2020-03-05,광주,1440895,11,0,2,0.0,0.09090909090909091,0.0
2020-03-06,광주,1440895,10,0,3,0.0,0.3,0.0
2020-03-07,광주,1440895,7,0,6,0.0,0.14285714285714285,0.0
2020-03-08,광주,1440895,6,0,7,0.3333363407234161,0.3333333333333333,0.0
2020-03-09,광주,1440893,6,0,9,0.0,0.0,0.0
2020-03-10,광주,1440893,6,0,9,0.0,0.0,0.0
2020-03-11,광주,1440893,6,0,9,0.0,0.0,0.0
2020-03-12,광주,1440893,6,0,9,0.0,0.0,0.0
2020-03-13,광주,1440893,6,0,9,0.0,0.0,0.0
2020-03-14,광주,1440893,6,0,9,0.16666840170181502,0.0,0.0
2020-03-15,광주,1440892,7,0,9,0.0,0.0,0.0
2020-03-16,광주,1440892,7,0,9,0.0,0.2857142857142857,0.0
2020-03-17,광주,1440892,5,0,11,0.2000022208465312,0.4,0.0
2020-03-18,광주,1440891,4,0,13,0.0,0.0,0.0
2020-03-19,광주,1440891,4,0,13,0.2500029495638463,0.0,0.0
2020-03-20,광주,1440890,5,0,13,0.0,0.0,0.0
2020-03-21,광주,1440890,5,0,13,0.2000024984558155,0.0,0.0
2020-03-22,광주,1440889,6,0,13,0.0,0.3333333333333333,0.0
2020-03-23,광주,1440889,4,0,15,0.0,0.0,0.0
2020-03-24,광주,1440889,4,0,15,0.0,0.0,0.0
2020-03-25,광주,1440889,4,0,15,0.0,0.0,0.0
2020-03-26,광주,1440889,4,0,15,0.25000329657593334,0.0,0.0
2020-03-27,광주,1440888,5,0,15,0.0,0.0,0.0
2020-03-28,광주,1440888,5,0,15,0.0,0.2,0.0
2020-03-29,광주,1440888,4,0,16,0.0,0.0,0.0
2020-03-30,광주,1440888,4,0,16,0.0,0.0,0.0
2020-03-31,광주,1440888,4,0,16,1.0000138803293523,0.25,0.0
2020-04-01,광주,1440884,7,0,17,0.14285952234878033,0.0,0.0
2020-04-02,광주,1440883,8,0,17,0.12500216880898726,0.125,0.0
2020-04-03,광주,1440882,8,0,18,0.0,0.0,0.0
2020-04-04,광주,1440882,8,0,18,0.12500225556291217,0.125,0.0
2020-04-05,광주,1440881,8,0,19,0.0,0.0,0.0
2020-04-06,광주,1440881,8,0,19,0.0,0.0,0.0
2020-04-07,광주,1440881,8,0,19,0.0,0.0,0.0
2020-04-08,광주,1440881,8,0,19,0.0,0.0,0.0
2020-04-09,광주,1440881,8,0,19,0.0,0.125,0.0
2020-04-10,광주,1440881,7,0,20,0.0,0.0,0.0
2020-04-11,광주,1440881,7,0,20,0.0,0.0,0.0
2020-04-12,광주,1440881,7,0,20,0.0,0.0,0.0
2020-04-13,광주,1440881,7,0,20,0.0,0.0,0.0
2020-04-14,광주,1440881,7,0,20,0.14285981979080853,0.5714285714285714,0.0
2020-04-15,광주,1440880,4,0,24,0.0,0.25,0.0
2020-04-16,광주,1440880,3,0,25,0.666679621712657,0.3333333333333333,0.0
2020-04-17,광주,1440878,4,0,26,0.0,0.0,0.0
2020-04-18,광주,1440878,4,0,26,0.0,0.25,0.0
2020-04-19,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-20,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-21,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-22,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-23,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-24,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-25,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-26,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-27,광주,1440878,3,0,27,0.0,0.0,0.0
2020-04-28,광주,1440878,3,0,27,0.0,0.3333333333333333,0.0
2020-04-29,광주,1440878,2,0,28,0.0,0.0,0.0
2020-04-30,광주,1440878,2,0,28,0.0,1.0,0.0
2020-05-01,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-02,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-03,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-04,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-05,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-06,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-07,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-08,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-09,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-10,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-11,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-12,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-13,광주,1440878,0,0,30,0.0,0.0,0.0
2020-05-14,광주,1440878,0,0,30,0.0,0.0,0.0
