Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
2020-01-20,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-21,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-22,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-23,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-24,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-25,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-26,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-27,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-28,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-29,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-30,대구,2389150,0,0,0,0.0,0.0,0.0
2020-01-31,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-01,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-02,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-03,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-04,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-05,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-06,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-07,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-08,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-09,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-10,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-11,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-12,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-13,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-14,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-15,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-16,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-17,대구,2389150,0,0,0,0.0,0.0,0.0
2020-02-18,대구,2389149,1,0,0,27.000011301095075,0.0,0.0
2020-02-19,대구,2389122,28,0,0,0.42857645133711403,0.0,0.0
2020-02-20,대구,2389110,40,0,0,1.1000184169000171,0.0,0.0
2020-02-21,대구,2389066,84,0,0,0.7976470920514743,0.0,0.0
2020-02-22,대구,2388999,151,0,0,0.9007191792642217,0.0,0.0
2020-02-23,대구,2388863,287,0,0,0.5296803533352091,0.0,0.003484320557491289
2020-02-24,대구,2388711,438,1,0,0.12331032918005878,0.0,0.00228310502283105
2020-02-25,대구,2388657,491,2,0,0.37482276201925147,0.0,0.002036659877800407
2020-02-26,대구,2388473,674,3,0,0.5045940225462278,0.0,0.001483679525222552
2020-02-27,대구,2388133,1013,4,0,0.29232581765148286,0.0,0.0009871668311944718
2020-02-28,대구,2387837,1308,5,0,0.5675902167900475,0.0,0.0022935779816513763
2020-02-29,대구,2387095,2047,8,0,0.25033745483992625,0.0,0.0004885197850512946
2020-03-01,대구,2386583,2558,9,0,0.20232841412071853,0.0,0.0023455824863174357
2020-03-02,대구,2386066,3069,15,0,0.1696552955727762,0.00032583903551645487,0.0016291951775822744
2020-03-03,대구,2385546,3583,20,1,0.11124791643026907,0.007535584705554005,0.0011163829193413341
2020-03-04,대구,2385148,3950,24,28,0.08267012403953894,0.0030379746835443038,0.0007594936708860759
2020-03-05,대구,2384822,4261,27,40,0.08628632608602232,0.010326214503637644,0.0007040600797934757
2020-03-06,대구,2384455,4581,30,84,0.08530187979167186,0.014625627592228772,0.00021829294913774285
2020-03-07,대구,2384065,4903,31,151,0.06070435952650383,0.027738119518662042,0.0008158270446665307
2020-03-08,대구,2383768,5060,35,287,0.03763418504145753,0.030039525691699605,0.0
2020-03-09,대구,2383578,5098,35,439,0.018088478798551258,0.010592389172224402,0.0005884660651235779
2020-03-10,대구,2383486,5133,38,493,0.025581784924468606,0.03584648353789207,0.0011689070718877848
2020-03-11,대구,2383355,5074,44,677,0.014224490371062973,0.06700827749310209,0.0007883326763894363
2020-03-12,대구,2383283,4802,48,1017,0.012734311859423314,0.061640982923781756,0.0
2020-03-13,대구,2383222,4567,48,1313,0.01360941933722922,0.1624698927085614,0.0006568863586599519
2020-03-14,대구,2383160,3884,51,2055,0.010582660208536005,0.13182286302780638,0.0005149330587023687
2020-03-15,대구,2383119,3411,53,2567,0.010286888038238618,0.15156845499853416,0.0
2020-03-16,대구,2383084,2929,53,3084,0.01095303998489561,0.17753499487879823,0.0013656538067599864
2020-03-17,대구,2383052,2437,57,3604,0.018923967812475375,0.16331555190808372,0.0004103405826836274
2020-03-18,대구,2383006,2084,58,4002,0.04666511077333908,0.15642994241842612,0.0033589251439539347
2020-03-19,대구,2382909,1848,65,4328,0.018446454708813027,0.1985930735930736,0.0010822510822510823
2020-03-20,대구,2382875,1513,67,4695,0.04572485312294063,0.25776602775941837,0.0039656311962987445
2020-03-21,대구,2382806,1186,73,5085,0.036352852877146714,0.25042158516020235,0.0016863406408094434
2020-03-22,대구,2382763,930,75,5382,0.02587562584737456,0.20430107526881722,0.007526881720430108
2020-03-23,대구,2382739,757,82,5572,0.04106130598656651,0.1215323645970938,0.007926023778071334
2020-03-24,대구,2382708,690,88,5664,0.020344711666883567,0.18985507246376812,0.005797101449275362
2020-03-25,대구,2382694,569,92,5795,0.04581801052496524,0.1265377855887522,0.0035149384885764497
2020-03-26,대구,2382668,521,94,5867,0.06543665318782774,0.11708253358925144,0.007677543186180422
2020-03-27,대구,2382634,490,98,5928,0.1452942244522967,0.12653061224489795,0.006122448979591836
2020-03-28,대구,2382563,496,101,5990,0.04649916815657977,0.08266129032258064,0.010080645161290322
2020-03-29,대구,2382540,473,106,6031,0.029680424737605262,0.07399577167019028,0.010570824524312896
2020-03-30,대구,2382526,447,111,6066,0.13460137482981727,0.07158836689038031,0.006711409395973154
2020-03-31,대구,2382466,472,114,6098,0.04249175832583778,0.09745762711864407,0.00211864406779661
2020-04-01,대구,2382446,445,115,6144,0.04732380271971832,0.21797752808988763,0.0044943820224719105
2020-04-02,대구,2382425,367,117,6241,0.024592383616182982,0.09264305177111716,0.010899182561307902
2020-04-03,대구,2382416,338,121,6275,0.08010744570009166,0.20414201183431951,0.0029585798816568047
2020-04-04,대구,2382389,295,122,6344,0.023796153741162437,0.14576271186440679,0.01694915254237288
2020-04-05,대구,2382382,254,127,6387,0.051326500413729374,0.09448818897637795,0.007874015748031496
2020-04-06,대구,2382369,241,129,6411,0.05409544499752956,0.12863070539419086,0.02074688796680498
2020-04-07,대구,2382356,218,134,6442,0.041402138482881205,0.06422018348623854,0.013761467889908258
2020-04-08,대구,2382347,210,137,6456,0.01910201118796676,0.12380952380952381,0.009523809523809525
2020-04-09,대구,2382343,186,139,6482,0.0,0.1827956989247312,0.016129032258064516
2020-04-10,대구,2382343,149,142,6516,0.04711409998842519,0.47651006711409394,0.020134228187919462
2020-04-11,대구,2382336,82,145,6587,0.024460005313907105,0.2804878048780488,0.012195121951219513
2020-04-12,대구,2382334,60,146,6610,0.05014305298921142,0.23333333333333334,0.016666666666666666
2020-04-13,대구,2382331,48,147,6624,0.06267889516612091,1.25,0.10416666666666667
2020-04-14,대구,2382328,-14,152,6684,-0.07163311325248724,-1.4285714285714286,-0.21428571428571427
2020-04-15,대구,2382327,-36,155,6704,-0.11142933405494339,-0.5833333333333334,-0.08333333333333333
2020-04-16,대구,2382323,-56,158,6725,0.0,-0.16071428571428573,-0.017857142857142856
2020-04-17,대구,2382323,-66,159,6734,-0.04558480410621367,-0.4090909090909091,-0.015151515151515152
2020-04-18,대구,2382320,-91,160,6761,-0.022041031938946576,-0.07692307692307693,-0.01098901098901099
2020-04-19,대구,2382318,-97,161,6768,-0.010338843248942426,-0.13402061855670103,-0.020618556701030927
2020-04-20,대구,2382317,-111,163,6781,-0.01806969758757871,-0.11711711711711711,-0.009009009009009009
2020-04-21,대구,2382315,-123,164,6794,-0.008153406975919389,-0.07317073170731707,-0.008130081300813009
2020-04-22,대구,2382314,-132,165,6803,-0.030389984212192366,-0.030303030303030304,-0.007575757575757576
2020-04-23,대구,2382310,-133,166,6807,-0.0226211540495399,-0.0,-0.0
2020-04-24,대구,2382307,-130,166,6807,-0.015428806550185952,-0.05384615384615385,-0.0
2020-04-25,대구,2382305,-135,166,6814,-0.007428690871826826,-0.014814814814814815,-0.014814814814814815
2020-04-26,대구,2382304,-138,168,6816,-0.00726720064249579,-0.021739130434782608,-0.007246376811594203
2020-04-27,대구,2382303,-141,169,6819,-0.014225164675639288,-0.02127659574468085,-0.0070921985815602835
2020-04-28,대구,2382301,-143,170,6822,-0.021039334648320248,-0.006993006993006993,-0.006993006993006993
2020-04-29,대구,2382298,-142,171,6823,0.0,-0.028169014084507043,-0.007042253521126761
2020-04-30,대구,2382298,-147,172,6827,0.0,-0.0,-0.0
2020-05-01,대구,2382298,-147,172,6827,0.0,-0.02040816326530612,-0.013605442176870748
2020-05-02,대구,2382298,-152,174,6830,-0.026391479328384874,-0.013157894736842105,-0.0
2020-05-03,대구,2382294,-150,174,6832,0.0,-0.006666666666666667,-0.0
