,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,3,266,강원,Gangwon-do,14.0,228,35,14,0,17.27,2020-10-28
1,3,273,강원,Gangwon-do,7.0,228,42,7,0,17.72,2020-10-29
2,3,279,강원,Gangwon-do,6.0,228,48,6,0,18.11,2020-10-30
3,3,279,강원,Gangwon-do,0.0,232,44,0,0,18.11,2020-10-31
4,3,282,강원,Gangwon-do,3.0,233,46,3,0,18.31,2020-11-01
5,3,283,강원,Gangwon-do,1.0,233,47,0,1,18.37,2020-11-02
6,3,284,강원,Gangwon-do,1.0,234,47,1,0,18.44,2020-11-03
7,3,284,강원,Gangwon-do,0.0,234,47,0,0,18.44,2020-11-04
8,3,285,강원,Gangwon-do,1.0,241,41,1,0,18.5,2020-11-05
9,3,292,강원,Gangwon-do,7.0,241,48,7,0,18.95,2020-11-06
10,3,296,강원,Gangwon-do,4.0,242,51,4,0,19.21,2020-11-07
11,3,305,강원,Gangwon-do,9.0,242,60,9,0,19.8,2020-11-08
12,3,316,강원,Gangwon-do,11.0,242,71,11,0,20.51,2020-11-09
13,3,319,강원,Gangwon-do,3.0,253,63,3,0,20.71,2020-11-10
14,3,328,강원,Gangwon-do,9.0,256,69,8,1,21.29,2020-11-11
15,3,334,강원,Gangwon-do,6.0,266,65,6,0,21.68,2020-11-12
16,3,357,강원,Gangwon-do,23.0,268,86,23,0,23.17,2020-11-13
17,4,375,강원,Gangwon-do,18.0,273,98,18,0,24.34,2020-11-14
18,4,394,강원,Gangwon-do,19.0,273,117,19,0,25.58,2020-11-15
19,4,414,강원,Gangwon-do,20.0,273,137,20,0,26.87,2020-11-16
20,4,427,강원,Gangwon-do,13.0,279,144,13,0,27.72,2020-11-17
21,5,432,강원,Gangwon-do,5.0,279,148,5,0,28.04,2020-11-18
22,5,452,강원,Gangwon-do,20.0,282,165,20,0,29.34,2020-11-19
23,5,476,강원,Gangwon-do,24.0,285,186,24,0,30.9,2020-11-20
24,5,491,강원,Gangwon-do,15.0,295,191,14,1,31.87,2020-11-21
25,5,504,강원,Gangwon-do,13.0,301,198,12,1,32.72,2020-11-22
26,6,516,강원,Gangwon-do,12.0,306,204,11,1,33.49,2020-11-23
27,6,562,강원,Gangwon-do,46.0,316,240,45,1,36.48,2020-11-24
28,6,575,강원,Gangwon-do,13.0,326,243,12,1,37.32,2020-11-25
