,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,0,166,경남,Gyeongsangnam-do,0.0,156,10,0,0,4.94,2020-08-07
1,0,166,경남,Gyeongsangnam-do,0.0,156,10,0,0,4.94,2020-08-08
2,0,166,경남,Gyeongsangnam-do,0.0,156,10,0,0,4.94,2020-08-09
3,0,166,경남,Gyeongsangnam-do,0.0,157,9,0,0,4.94,2020-08-10
4,0,166,경남,Gyeongsangnam-do,0.0,157,9,0,0,4.94,2020-08-11
5,0,166,경남,Gyeongsangnam-do,0.0,157,9,0,0,4.94,2020-08-12
6,0,167,경남,Gyeongsangnam-do,1.0,157,10,1,0,4.97,2020-08-13
7,0,167,경남,Gyeongsangnam-do,0.0,159,8,0,0,4.97,2020-08-14
8,0,168,경남,Gyeongsangnam-do,1.0,159,9,1,0,5.0,2020-08-15
9,0,170,경남,Gyeongsangnam-do,2.0,160,10,1,1,5.06,2020-08-16
10,0,170,경남,Gyeongsangnam-do,0.0,161,9,0,0,5.06,2020-08-17
11,0,170,경남,Gyeongsangnam-do,0.0,163,7,0,0,5.06,2020-08-18
12,0,171,경남,Gyeongsangnam-do,1.0,165,6,0,1,5.09,2020-08-19
13,0,174,경남,Gyeongsangnam-do,3.0,165,9,2,1,5.18,2020-08-20
14,0,178,경남,Gyeongsangnam-do,4.0,165,13,4,0,5.3,2020-08-21
15,0,187,경남,Gyeongsangnam-do,9.0,165,22,8,1,5.56,2020-08-22
16,0,196,경남,Gyeongsangnam-do,9.0,166,30,8,1,5.83,2020-08-23
17,0,197,경남,Gyeongsangnam-do,1.0,166,31,1,0,5.86,2020-08-24
18,0,199,경남,Gyeongsangnam-do,2.0,166,33,2,0,5.92,2020-08-25
19,0,204,경남,Gyeongsangnam-do,5.0,166,38,5,0,6.07,2020-08-26
20,0,212,경남,Gyeongsangnam-do,8.0,166,46,8,0,6.31,2020-08-27
21,0,216,경남,Gyeongsangnam-do,4.0,166,50,2,2,6.43,2020-08-28
22,0,228,경남,Gyeongsangnam-do,12.0,166,62,12,0,6.78,2020-08-29
23,0,235,경남,Gyeongsangnam-do,7.0,166,69,7,0,6.99,2020-08-30
24,0,236,경남,Gyeongsangnam-do,1.0,166,70,1,0,7.02,2020-08-31
25,0,239,경남,Gyeongsangnam-do,3.0,171,68,3,0,7.11,2020-09-01
26,0,240,경남,Gyeongsangnam-do,1.0,173,67,0,1,7.14,2020-09-02
27,0,240,경남,Gyeongsangnam-do,0.0,176,64,0,0,7.14,2020-09-03
28,0,243,경남,Gyeongsangnam-do,3.0,181,62,3,0,7.23,2020-09-04
29,0,251,경남,Gyeongsangnam-do,8.0,188,63,8,0,7.47,2020-09-05
30,0,257,경남,Gyeongsangnam-do,6.0,194,63,4,2,7.65,2020-09-06
31,0,260,경남,Gyeongsangnam-do,3.0,194,66,2,1,7.74,2020-09-07
32,0,260,경남,Gyeongsangnam-do,0.0,198,62,0,0,7.74,2020-09-08
33,0,261,경남,Gyeongsangnam-do,1.0,202,59,1,0,7.76,2020-09-09
34,0,262,경남,Gyeongsangnam-do,1.0,208,54,0,1,7.79,2020-09-10
35,0,262,경남,Gyeongsangnam-do,0.0,208,54,0,0,7.79,2020-09-11
36,0,265,경남,Gyeongsangnam-do,3.0,227,38,2,1,7.88,2020-09-12
37,0,268,경남,Gyeongsangnam-do,3.0,227,41,2,1,7.97,2020-09-13
38,0,269,경남,Gyeongsangnam-do,1.0,233,36,1,0,8.0,2020-09-14
39,0,271,경남,Gyeongsangnam-do,2.0,237,34,2,0,8.06,2020-09-15
40,0,274,경남,Gyeongsangnam-do,3.0,239,35,2,1,8.15,2020-09-16
41,0,277,경남,Gyeongsangnam-do,3.0,241,36,3,0,8.24,2020-09-17
42,0,281,경남,Gyeongsangnam-do,4.0,246,35,3,1,8.36,2020-09-18
43,0,282,경남,Gyeongsangnam-do,1.0,250,32,0,1,8.39,2020-09-19
44,0,283,경남,Gyeongsangnam-do,1.0,252,31,1,0,8.42,2020-09-20
45,0,285,경남,Gyeongsangnam-do,2.0,254,31,2,0,8.48,2020-09-21
46,0,286,경남,Gyeongsangnam-do,1.0,255,31,1,0,8.51,2020-09-22
47,0,286,경남,Gyeongsangnam-do,0.0,257,29,0,0,8.51,2020-09-23
48,0,287,경남,Gyeongsangnam-do,1.0,259,28,1,0,8.54,2020-09-24
49,0,288,경남,Gyeongsangnam-do,1.0,261,27,1,0,8.57,2020-09-25
50,0,289,경남,Gyeongsangnam-do,1.0,265,24,1,0,8.6,2020-09-26
51,0,290,경남,Gyeongsangnam-do,1.0,266,24,0,1,8.63,2020-09-27
52,0,291,경남,Gyeongsangnam-do,1.0,266,25,0,1,8.66,2020-09-28
53,0,291,경남,Gyeongsangnam-do,0.0,269,22,0,0,8.66,2020-09-29
54,0,291,경남,Gyeongsangnam-do,0.0,273,18,0,0,8.66,2020-09-30
55,0,291,경남,Gyeongsangnam-do,0.0,276,15,0,0,8.66,2020-10-01
56,0,291,경남,Gyeongsangnam-do,0.0,278,13,0,0,8.66,2020-10-02
57,0,291,경남,Gyeongsangnam-do,0.0,279,12,0,0,8.66,2020-10-03
58,0,291,경남,Gyeongsangnam-do,0.0,281,10,0,0,8.66,2020-10-04
59,0,292,경남,Gyeongsangnam-do,1.0,281,11,0,1,8.69,2020-10-05
60,0,292,경남,Gyeongsangnam-do,0.0,282,10,0,0,8.69,2020-10-06
61,0,292,경남,Gyeongsangnam-do,0.0,283,9,0,0,8.69,2020-10-07
62,0,295,경남,Gyeongsangnam-do,3.0,283,12,1,2,8.78,2020-10-08
63,0,296,경남,Gyeongsangnam-do,1.0,285,11,0,1,8.81,2020-10-09
64,0,296,경남,Gyeongsangnam-do,0.0,286,10,0,0,8.81,2020-10-10
65,0,296,경남,Gyeongsangnam-do,0.0,286,10,0,0,8.81,2020-10-11
66,0,297,경남,Gyeongsangnam-do,1.0,286,11,1,0,8.84,2020-10-12
67,0,297,경남,Gyeongsangnam-do,0.0,286,11,0,0,8.84,2020-10-13
68,0,297,경남,Gyeongsangnam-do,0.0,286,11,0,0,8.84,2020-10-14
69,0,297,경남,Gyeongsangnam-do,0.0,286,11,0,0,8.84,2020-10-15
70,0,297,경남,Gyeongsangnam-do,0.0,287,10,0,0,8.84,2020-10-16
71,0,299,경남,Gyeongsangnam-do,2.0,287,12,1,1,8.9,2020-10-17
72,0,299,경남,Gyeongsangnam-do,0.0,288,11,0,0,8.9,2020-10-18
73,0,300,경남,Gyeongsangnam-do,1.0,288,12,0,1,8.93,2020-10-19
74,0,301,경남,Gyeongsangnam-do,1.0,290,11,0,1,8.95,2020-10-20
75,0,301,경남,Gyeongsangnam-do,0.0,292,9,0,0,8.95,2020-10-21
76,0,301,경남,Gyeongsangnam-do,0.0,292,9,0,0,8.95,2020-10-22
77,0,301,경남,Gyeongsangnam-do,0.0,294,7,0,0,8.95,2020-10-23
78,0,301,경남,Gyeongsangnam-do,0.0,294,7,0,0,8.95,2020-10-24
79,0,303,경남,Gyeongsangnam-do,2.0,294,9,1,1,9.01,2020-10-25
80,0,306,경남,Gyeongsangnam-do,3.0,294,12,3,0,9.1,2020-10-26
81,0,311,경남,Gyeongsangnam-do,5.0,294,17,5,0,9.25,2020-10-27
82,0,314,경남,Gyeongsangnam-do,3.0,295,19,3,0,9.34,2020-10-28
83,0,314,경남,Gyeongsangnam-do,0.0,296,18,0,0,9.34,2020-10-29
84,0,315,경남,Gyeongsangnam-do,1.0,299,16,0,1,9.37,2020-10-30
85,0,316,경남,Gyeongsangnam-do,1.0,299,17,1,0,9.4,2020-10-31
86,0,318,경남,Gyeongsangnam-do,2.0,299,19,2,0,9.46,2020-11-01
87,0,319,경남,Gyeongsangnam-do,1.0,299,20,0,1,9.49,2020-11-02
88,0,320,경남,Gyeongsangnam-do,1.0,299,21,0,1,9.52,2020-11-03
89,0,320,경남,Gyeongsangnam-do,0.0,300,20,0,0,9.52,2020-11-04
90,0,325,경남,Gyeongsangnam-do,5.0,301,24,5,0,9.67,2020-11-05
91,0,338,경남,Gyeongsangnam-do,13.0,301,37,13,0,10.06,2020-11-06
92,0,343,경남,Gyeongsangnam-do,5.0,301,42,5,0,10.2,2020-11-07
93,0,353,경남,Gyeongsangnam-do,10.0,301,52,5,5,10.5,2020-11-08
94,0,357,경남,Gyeongsangnam-do,4.0,304,53,4,0,10.62,2020-11-09
95,0,359,경남,Gyeongsangnam-do,2.0,312,47,2,0,10.68,2020-11-10
96,0,370,경남,Gyeongsangnam-do,11.0,312,58,10,1,11.01,2020-11-11
97,0,374,경남,Gyeongsangnam-do,4.0,312,62,3,1,11.13,2020-11-12
98,0,377,경남,Gyeongsangnam-do,3.0,313,64,2,1,11.22,2020-11-13
99,0,381,경남,Gyeongsangnam-do,4.0,315,66,3,1,11.33,2020-11-14
100,0,384,경남,Gyeongsangnam-do,3.0,317,67,3,0,11.42,2020-11-15
101,0,388,경남,Gyeongsangnam-do,4.0,317,71,4,0,11.54,2020-11-16
102,0,391,경남,Gyeongsangnam-do,3.0,318,73,3,0,11.63,2020-11-17
103,0,400,경남,Gyeongsangnam-do,9.0,322,78,9,0,11.9,2020-11-18
104,0,428,경남,Gyeongsangnam-do,28.0,334,94,28,0,12.73,2020-11-19
105,0,446,경남,Gyeongsangnam-do,18.0,336,110,18,0,13.27,2020-11-20
106,0,457,경남,Gyeongsangnam-do,11.0,342,115,11,0,13.6,2020-11-21
107,0,476,경남,Gyeongsangnam-do,19.0,350,126,19,0,14.16,2020-11-22
108,1,478,경남,Gyeongsangnam-do,2.0,355,122,2,0,14.22,2020-11-23
109,1,481,경남,Gyeongsangnam-do,3.0,360,120,3,0,14.31,2020-11-24
