,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,196,7152,措备,Daegu,2.0,6942,14,2,0,293.54,2020-10-28
1,196,7155,措备,Daegu,3.0,6943,16,3,0,293.66,2020-10-29
2,196,7165,措备,Daegu,10.0,6943,26,10,0,294.07,2020-10-30
3,196,7174,措备,Daegu,9.0,6943,35,9,0,294.44,2020-10-31
4,196,7176,措备,Daegu,2.0,6943,37,2,0,294.52,2020-11-01
5,196,7179,措备,Daegu,3.0,6943,40,3,0,294.65,2020-11-02
6,196,7179,措备,Daegu,0.0,6944,39,0,0,294.65,2020-11-03
7,196,7181,措备,Daegu,2.0,6948,37,1,1,294.73,2020-11-04
8,196,7183,措备,Daegu,2.0,6949,38,2,0,294.81,2020-11-05
9,196,7183,措备,Daegu,0.0,6949,38,0,0,294.81,2020-11-06
10,196,7184,措备,Daegu,1.0,6949,39,1,0,294.85,2020-11-07
11,196,7191,措备,Daegu,7.0,6950,45,7,0,295.14,2020-11-08
12,196,7197,措备,Daegu,6.0,6952,49,6,0,295.38,2020-11-09
13,196,7198,措备,Daegu,1.0,6953,49,1,0,295.43,2020-11-10
14,196,7198,措备,Daegu,0.0,6957,45,0,0,295.43,2020-11-11
15,196,7201,措备,Daegu,3.0,6962,43,2,1,295.55,2020-11-12
16,196,7202,措备,Daegu,1.0,6963,43,1,0,295.59,2020-11-13
17,196,7202,措备,Daegu,0.0,6969,37,0,0,295.59,2020-11-14
18,196,7203,措备,Daegu,1.0,6969,38,0,1,295.63,2020-11-15
19,196,7203,措备,Daegu,0.0,6971,36,0,0,295.63,2020-11-16
20,196,7206,措备,Daegu,3.0,6975,35,2,1,295.75,2020-11-17
21,196,7208,措备,Daegu,2.0,6975,37,2,0,295.84,2020-11-18
22,196,7210,措备,Daegu,2.0,6979,35,2,0,295.92,2020-11-19
23,196,7211,措备,Daegu,1.0,6981,34,1,0,295.96,2020-11-20
24,197,7212,措备,Daegu,1.0,6983,32,0,1,296.0,2020-11-21
25,197,7213,措备,Daegu,1.0,6986,30,0,1,296.04,2020-11-22
26,198,7215,措备,Daegu,2.0,6987,30,1,1,296.12,2020-11-23
27,198,7218,措备,Daegu,3.0,6990,30,2,1,296.25,2020-11-24
28,199,7223,措备,Daegu,5.0,6991,33,5,0,296.45,2020-11-25
29,199,7224,措备,Daegu,1.0,6991,34,1,0,296.49,2020-11-26
30,199,7224,措备,Daegu,0.0,6993,32,0,0,296.49,2020-11-27
31,199,7225,措备,Daegu,1.0,6996,30,1,0,296.53,2020-11-28
32,199,7228,措备,Daegu,3.0,6998,31,1,2,296.66,2020-11-29
33,199,7232,措备,Daegu,4.0,6998,35,4,0,296.82,2020-11-30
34,199,7243,措备,Daegu,11.0,6999,45,11,0,297.27,2020-12-01
35,199,7247,措备,Daegu,4.0,7002,46,4,0,297.44,2020-12-02
36,200,7250,措备,Daegu,3.0,7006,44,3,0,297.56,2020-12-03
37,200,7256,措备,Daegu,6.0,7008,48,6,0,297.81,2020-12-04
38,200,7263,措备,Daegu,7.0,7011,52,7,0,298.09,2020-12-05
39,200,7266,措备,Daegu,3.0,7011,55,3,0,298.22,2020-12-06
40,200,7271,措备,Daegu,5.0,7011,60,5,0,298.42,2020-12-07
41,200,7275,措备,Daegu,4.0,7013,62,3,1,298.59,2020-12-08
42,200,7277,措备,Daegu,2.0,7015,62,2,0,298.67,2020-12-09
43,200,7280,措备,Daegu,3.0,7018,62,3,0,298.79,2020-12-10
44,200,7286,措备,Daegu,6.0,7021,65,6,0,299.04,2020-12-11
45,200,7321,措备,Daegu,35.0,7036,85,35,0,300.47,2020-12-12
46,200,7349,措备,Daegu,28.0,7042,107,28,0,301.62,2020-12-13
47,200,7365,措备,Daegu,16.0,7042,123,16,0,302.28,2020-12-14
48,200,7384,措备,Daegu,19.0,7048,136,18,1,303.06,2020-12-15
49,200,7411,措备,Daegu,27.0,7053,158,27,0,304.17,2020-12-16
50,200,7432,措备,Daegu,21.0,7063,169,20,1,305.03,2020-12-17
51,200,7452,措备,Daegu,20.0,7067,185,20,0,305.85,2020-12-18
52,200,7472,措备,Daegu,20.0,7073,199,20,0,306.67,2020-12-19
53,200,7497,措备,Daegu,25.0,7075,222,25,0,307.7,2020-12-20
54,200,7518,措备,Daegu,21.0,7082,236,21,0,308.56,2020-12-21
55,200,7557,措备,Daegu,39.0,7098,259,39,0,310.16,2020-12-22
56,200,7581,措备,Daegu,24.0,7122,259,24,0,311.14,2020-12-23
57,200,7607,措备,Daegu,26.0,7133,274,26,0,312.21,2020-12-24
58,201,7630,措备,Daegu,23.0,7154,275,21,2,313.16,2020-12-25
59,201,7643,措备,Daegu,13.0,7168,274,13,0,313.69,2020-12-26
60,201,7664,措备,Daegu,21.0,7183,280,21,0,314.55,2020-12-27
61,201,7688,措备,Daegu,24.0,7190,297,24,0,315.54,2020-12-28
62,201,7717,措备,Daegu,29.0,7202,314,29,0,316.73,2020-12-29
63,201,7768,措备,Daegu,51.0,7234,333,49,2,318.82,2020-12-30
64,201,7801,措备,Daegu,33.0,7274,326,32,1,320.17,2020-12-31
65,201,7844,措备,Daegu,43.0,7292,351,43,0,321.94,2021-01-01
66,202,7873,措备,Daegu,29.0,7309,362,29,0,323.13,2021-01-02
67,202,7895,措备,Daegu,22.0,7326,367,21,1,324.03,2021-01-03
68,203,7924,措备,Daegu,29.0,7357,364,29,0,325.22,2021-01-04
69,203,7956,措备,Daegu,32.0,7389,364,31,1,326.54,2021-01-05
70,203,7977,措备,Daegu,21.0,7419,355,20,1,327.4,2021-01-06
71,203,7987,措备,Daegu,10.0,7437,347,10,0,327.81,2021-01-07
72,203,8005,措备,Daegu,18.0,7467,335,17,1,328.55,2021-01-08
73,203,8018,措备,Daegu,13.0,7512,303,12,1,329.08,2021-01-09
74,203,8045,措备,Daegu,27.0,7556,286,27,0,330.19,2021-01-10
75,203,8056,措备,Daegu,11.0,7589,264,10,1,330.64,2021-01-11
76,203,8074,措备,Daegu,18.0,7621,250,17,1,331.38,2021-01-12
77,203,8087,措备,Daegu,13.0,7651,233,13,0,331.91,2021-01-13
78,203,8098,措备,Daegu,11.0,7682,213,11,0,332.36,2021-01-14
79,204,8109,措备,Daegu,11.0,7703,202,10,149,332.82,2021-01-15
80,204,8132,措备,Daegu,23.0,7726,202,23,0,333.76,2021-01-16
81,205,8147,措备,Daegu,15.0,7746,196,15,0,334.37,2021-01-17
82,205,8160,措备,Daegu,13.0,7758,197,13,0,334.91,2021-01-18
83,206,8176,措备,Daegu,16.0,7782,188,15,1,335.56,2021-01-19
84,206,8188,措备,Daegu,12.0,7800,182,11,1,336.06,2021-01-20
85,206,8195,措备,Daegu,7.0,7820,169,7,0,336.34,2021-01-21
86,206,8201,措备,Daegu,6.0,7832,163,5,1,336.59,2021-01-22
87,206,8223,措备,Daegu,22.0,7849,168,21,1,337.49,2021-01-23
88,206,8235,措备,Daegu,12.0,7864,165,11,1,337.99,2021-01-24
89,207,8250,措备,Daegu,15.0,7876,167,14,1,338.6,2021-01-25
90,207,8263,措备,Daegu,13.0,7902,154,12,1,339.14,2021-01-26
91,207,8269,措备,Daegu,6.0,7915,147,6,0,339.38,2021-01-27
92,207,8280,措备,Daegu,11.0,7934,139,10,1,339.83,2021-01-28
93,207,8290,措备,Daegu,10.0,7949,134,10,0,340.24,2021-01-29
94,207,8298,措备,Daegu,8.0,7959,132,8,0,340.57,2021-01-30
95,207,8308,措备,Daegu,10.0,7965,136,9,1,340.98,2021-01-31
96,208,8317,措备,Daegu,9.0,7973,136,9,0,341.35,2021-02-01
97,209,8329,措备,Daegu,12.0,7990,130,10,2,341.84,2021-02-02
98,209,8338,措备,Daegu,9.0,8009,120,9,0,342.21,2021-02-03
99,210,8346,措备,Daegu,8.0,8029,107,7,1,342.54,2021-02-04
100,210,8360,措备,Daegu,14.0,8034,116,14,0,343.12,2021-02-05
101,210,8378,措备,Daegu,18.0,8044,124,17,1,343.86,2021-02-06
102,210,8390,措备,Daegu,12.0,8054,126,11,1,344.35,2021-02-07
103,211,8411,措备,Daegu,21.0,8056,144,20,1,345.21,2021-02-08
104,211,8420,措备,Daegu,9.0,8067,142,9,0,345.58,2021-02-09
105,211,8436,措备,Daegu,16.0,8074,151,14,2,346.24,2021-02-10
106,211,8449,措备,Daegu,13.0,8088,150,10,3,346.77,2021-02-11
107,211,8461,措备,Daegu,12.0,8102,148,11,1,347.26,2021-02-12
108,211,8475,措备,Daegu,14.0,8114,150,14,0,347.84,2021-02-13
