,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,13,1645,서울,Seoul,9.0,1502,130,6,3,16.9,2020-08-07
1,13,1662,서울,Seoul,17.0,1514,135,16,1,17.08,2020-08-08
2,13,1675,서울,Seoul,13.0,1515,147,11,2,17.21,2020-08-09
3,13,1688,서울,Seoul,13.0,1516,159,11,2,17.34,2020-08-10
4,13,1694,서울,Seoul,6.0,1534,147,6,0,17.4,2020-08-11
5,13,1709,서울,Seoul,15.0,1549,147,13,2,17.56,2020-08-12
6,13,1735,서울,Seoul,26.0,1556,166,25,1,17.83,2020-08-13
7,13,1767,서울,Seoul,32.0,1564,190,31,1,18.15,2020-08-14
8,13,1841,서울,Seoul,74.0,1571,257,71,3,18.91,2020-08-15
9,13,1987,서울,Seoul,146.0,1571,403,141,5,20.41,2020-08-16
10,13,2077,서울,Seoul,90.0,1571,493,89,1,21.34,2020-08-17
11,14,2209,서울,Seoul,132.0,1573,622,131,1,22.69,2020-08-18
12,14,2360,서울,Seoul,151.0,1588,758,150,1,24.25,2020-08-19
13,15,2495,서울,Seoul,135.0,1601,879,135,0,25.63,2020-08-20
14,16,2621,서울,Seoul,126.0,1622,983,125,1,26.93,2020-08-21
15,16,2750,서울,Seoul,129.0,1638,1096,128,1,28.25,2020-08-22
16,16,2890,서울,Seoul,140.0,1638,1236,138,2,29.69,2020-08-23
17,16,2987,서울,Seoul,97.0,1638,1333,97,0,30.69,2020-08-24
18,16,3122,서울,Seoul,135.0,1670,1436,135,0,32.07,2020-08-25
19,17,3233,서울,Seoul,111.0,1697,1519,109,2,33.22,2020-08-26
20,17,3387,서울,Seoul,154.0,1731,1639,154,0,34.8,2020-08-27
21,19,3533,서울,Seoul,146.0,1760,1754,145,1,36.3,2020-08-28
22,20,3658,서울,Seoul,125.0,1884,1754,124,1,37.58,2020-08-29
23,22,3774,서울,Seoul,116.0,1885,1867,114,2,38.77,2020-08-30
24,23,3868,서울,Seoul,94.0,1895,1950,91,3,39.74,2020-08-31
25,23,3962,서울,Seoul,94.0,1998,1941,92,2,40.7,2020-09-01
26,24,4063,서울,Seoul,101.0,2045,1994,98,3,41.74,2020-09-02
27,24,4132,서울,Seoul,69.0,2108,2000,69,0,42.45,2020-09-03
28,24,4200,서울,Seoul,68.0,2172,2004,68,0,43.15,2020-09-04
29,25,4251,서울,Seoul,51.0,2217,2009,51,0,43.67,2020-09-05
30,26,4314,서울,Seoul,63.0,2222,2066,63,0,44.32,2020-09-06
31,28,4362,서울,Seoul,48.0,2263,2071,46,2,44.81,2020-09-07
32,32,4429,서울,Seoul,67.0,2436,1961,67,0,45.5,2020-09-08
33,32,4478,서울,Seoul,49.0,2640,1806,48,1,46.01,2020-09-09
34,32,4526,서울,Seoul,48.0,2759,1735,46,2,46.5,2020-09-10
35,34,4589,서울,Seoul,63.0,2834,1721,61,2,47.15,2020-09-11
36,35,4639,서울,Seoul,50.0,3067,1537,50,0,47.66,2020-09-12
37,38,4670,서울,Seoul,31.0,3109,1523,30,1,47.98,2020-09-13
38,40,4711,서울,Seoul,41.0,3271,1400,41,0,48.4,2020-09-14
39,42,4743,서울,Seoul,32.0,3488,1213,31,1,48.73,2020-09-15
40,42,4794,서울,Seoul,51.0,3687,1065,49,2,49.25,2020-09-16
41,43,4858,서울,Seoul,64.0,3741,1074,63,1,49.91,2020-09-17
42,46,4904,서울,Seoul,46.0,3833,1025,46,0,50.38,2020-09-18
43,46,4944,서울,Seoul,40.0,3881,1017,38,2,50.79,2020-09-19
44,47,4972,서울,Seoul,28.0,3954,971,28,0,51.08,2020-09-20
45,48,4995,서울,Seoul,23.0,3977,970,21,2,51.32,2020-09-21
46,49,5016,서울,Seoul,21.0,4029,938,19,2,51.53,2020-09-22
47,49,5056,서울,Seoul,40.0,4104,903,40,0,51.94,2020-09-23
48,50,5095,서울,Seoul,39.0,4167,878,39,0,52.34,2020-09-24
49,52,5152,서울,Seoul,57.0,4224,876,56,1,52.93,2020-09-25
50,53,5178,서울,Seoul,26.0,4312,813,25,1,53.2,2020-09-26
51,53,5212,서울,Seoul,34.0,4323,836,33,1,53.55,2020-09-27
52,54,5231,서울,Seoul,19.0,4327,850,19,0,53.74,2020-09-28
53,54,5242,서울,Seoul,11.0,4398,790,11,0,53.86,2020-09-29
54,56,5293,서울,Seoul,51.0,4413,824,51,0,54.38,2020-09-30
55,57,5323,서울,Seoul,30.0,4430,836,30,0,54.69,2020-10-01
56,57,5334,서울,Seoul,11.0,4442,835,9,2,54.8,2020-10-02
57,59,5360,서울,Seoul,26.0,4453,848,25,1,55.07,2020-10-03
58,60,5376,서울,Seoul,16.0,4463,853,16,0,55.23,2020-10-04
59,61,5395,서울,Seoul,19.0,4472,862,19,0,55.43,2020-10-05
60,61,5410,서울,Seoul,15.0,4581,768,13,2,55.58,2020-10-06
61,61,5443,서울,Seoul,33.0,4732,650,29,4,55.92,2020-10-07
62,62,5463,서울,Seoul,20.0,4806,595,19,1,56.13,2020-10-08
63,62,5485,서울,Seoul,22.0,4842,581,17,5,56.35,2020-10-09
64,63,5510,서울,Seoul,25.0,4843,604,23,2,56.61,2020-10-10
65,64,5533,서울,Seoul,23.0,4874,595,19,4,56.84,2020-10-11
66,64,5564,서울,Seoul,31.0,4890,610,29,2,57.16,2020-10-12
67,65,5584,서울,Seoul,20.0,4960,559,18,2,57.37,2020-10-13
68,66,5607,서울,Seoul,23.0,5045,496,23,0,57.61,2020-10-14
69,66,5632,서울,Seoul,25.0,5050,516,22,3,57.86,2020-10-15
70,67,5650,서울,Seoul,18.0,5086,497,17,1,58.05,2020-10-16
71,68,5668,서울,Seoul,18.0,5115,485,17,1,58.23,2020-10-17
72,69,5688,서울,Seoul,20.0,5128,491,18,2,58.44,2020-10-18
73,69,5702,서울,Seoul,14.0,5157,476,11,3,58.58,2020-10-19
74,69,5713,서울,Seoul,11.0,5212,432,11,0,58.69,2020-10-20
75,71,5730,서울,Seoul,17.0,5263,396,13,4,58.87,2020-10-21
76,74,5748,서울,Seoul,18.0,5280,394,18,0,59.05,2020-10-22
77,74,5768,서울,Seoul,20.0,5301,393,19,1,59.26,2020-10-23
78,74,5790,서울,Seoul,22.0,5347,369,22,0,59.49,2020-10-24
79,74,5807,서울,Seoul,17.0,5347,386,17,0,59.66,2020-10-25
80,74,5827,서울,Seoul,20.0,5361,392,20,0,59.87,2020-10-26
81,76,5851,서울,Seoul,24.0,5391,384,24,0,60.11,2020-10-27
82,77,5876,서울,Seoul,25.0,5432,367,23,2,60.37,2020-10-28
83,78,5912,서울,Seoul,36.0,5460,374,36,0,60.74,2020-10-29
84,78,5959,서울,Seoul,47.0,5473,408,47,0,61.22,2020-10-30
85,78,6011,서울,Seoul,52.0,5493,440,51,1,61.76,2020-10-31
86,78,6056,서울,Seoul,45.0,5494,484,45,0,62.22,2020-11-01
87,78,6081,서울,Seoul,25.0,5498,505,20,5,62.47,2020-11-02
88,78,6103,서울,Seoul,22.0,5542,483,21,1,62.7,2020-11-03
89,78,6145,서울,Seoul,42.0,5571,496,39,3,63.13,2020-11-04
90,78,6195,서울,Seoul,50.0,5605,512,46,4,63.65,2020-11-05
91,78,6235,서울,Seoul,40.0,5626,531,38,2,64.06,2020-11-06
92,78,6272,서울,Seoul,37.0,5638,556,34,3,64.44,2020-11-07
93,78,6326,서울,Seoul,54.0,5648,600,54,0,64.99,2020-11-08
94,78,6372,서울,Seoul,46.0,5671,623,39,7,65.46,2020-11-09
95,79,6407,서울,Seoul,35.0,5700,628,32,3,65.82,2020-11-10
96,79,6452,서울,Seoul,45.0,5732,641,39,6,66.29,2020-11-11
97,79,6505,서울,Seoul,53.0,5773,653,52,1,66.83,2020-11-12
98,79,6579,서울,Seoul,74.0,5823,677,74,0,67.59,2020-11-13
99,80,6648,서울,Seoul,69.0,5851,717,63,6,68.3,2020-11-14
100,81,6733,서울,Seoul,85.0,5872,780,81,4,69.17,2020-11-15
101,81,6813,서울,Seoul,80.0,5883,849,78,2,70.0,2020-11-16
102,81,6903,서울,Seoul,90.0,5921,901,87,3,70.92,2020-11-17
103,82,6995,서울,Seoul,92.0,5966,947,91,1,71.87,2020-11-18
104,83,7104,서울,Seoul,109.0,6010,1011,107,2,72.98,2020-11-19
105,84,7236,서울,Seoul,132.0,6108,1044,127,5,74.34,2020-11-20
106,85,7392,서울,Seoul,156.0,6135,1172,154,2,75.94,2020-11-21
107,85,7513,서울,Seoul,121.0,6170,1258,119,2,77.19,2020-11-22
108,86,7625,서울,Seoul,112.0,6171,1368,109,3,78.34,2020-11-23
109,87,7758,서울,Seoul,133.0,6233,1438,130,3,79.7,2020-11-24
110,87,7900,서울,Seoul,142.0,6256,1557,139,3,81.16,2020-11-25
111,88,8112,서울,Seoul,212.0,6297,1727,207,5,83.34,2020-11-26
112,88,8316,서울,Seoul,204.0,6361,1867,204,0,85.44,2020-11-27
113,91,8494,서울,Seoul,178.0,6452,1951,176,2,87.27,2020-11-28
