,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,0,39,傈合,Jeollabuk-do,0.0,37,2,0,0,2.15,2020-08-07
1,0,39,傈合,Jeollabuk-do,0.0,37,2,0,0,2.15,2020-08-08
2,0,39,傈合,Jeollabuk-do,0.0,37,2,0,0,2.15,2020-08-09
3,0,39,傈合,Jeollabuk-do,0.0,37,2,0,0,2.15,2020-08-10
4,0,40,傈合,Jeollabuk-do,1.0,37,3,0,1,2.2,2020-08-11
5,0,40,傈合,Jeollabuk-do,0.0,37,3,0,0,2.2,2020-08-12
6,0,42,傈合,Jeollabuk-do,2.0,37,5,0,2,2.31,2020-08-13
7,0,42,傈合,Jeollabuk-do,0.0,37,5,0,0,2.31,2020-08-14
8,0,43,傈合,Jeollabuk-do,1.0,38,5,0,1,2.37,2020-08-15
9,0,43,傈合,Jeollabuk-do,0.0,38,5,0,0,2.37,2020-08-16
10,0,44,傈合,Jeollabuk-do,1.0,38,6,1,0,2.42,2020-08-17
11,0,51,傈合,Jeollabuk-do,7.0,38,13,6,1,2.81,2020-08-18
12,0,52,傈合,Jeollabuk-do,1.0,38,14,1,0,2.86,2020-08-19
13,0,58,傈合,Jeollabuk-do,6.0,38,20,5,1,3.19,2020-08-20
14,0,63,傈合,Jeollabuk-do,5.0,38,25,5,0,3.47,2020-08-21
15,0,67,傈合,Jeollabuk-do,4.0,38,29,4,0,3.69,2020-08-22
16,0,67,傈合,Jeollabuk-do,0.0,38,29,0,0,3.69,2020-08-23
17,0,71,傈合,Jeollabuk-do,4.0,39,32,4,0,3.91,2020-08-24
18,0,75,傈合,Jeollabuk-do,4.0,39,36,4,0,4.13,2020-08-25
19,0,82,傈合,Jeollabuk-do,7.0,39,43,7,0,4.51,2020-08-26
20,0,84,傈合,Jeollabuk-do,2.0,39,45,2,0,4.62,2020-08-27
21,0,86,傈合,Jeollabuk-do,2.0,41,45,2,0,4.73,2020-08-28
22,0,86,傈合,Jeollabuk-do,0.0,41,45,0,0,4.73,2020-08-29
23,0,86,傈合,Jeollabuk-do,0.0,41,45,0,0,4.73,2020-08-30
24,0,87,傈合,Jeollabuk-do,1.0,41,46,1,0,4.79,2020-08-31
25,0,87,傈合,Jeollabuk-do,0.0,41,46,0,0,4.79,2020-09-01
26,0,87,傈合,Jeollabuk-do,0.0,46,41,0,0,4.79,2020-09-02
27,0,87,傈合,Jeollabuk-do,0.0,48,39,0,0,4.79,2020-09-03
28,0,87,傈合,Jeollabuk-do,0.0,50,37,0,0,4.79,2020-09-04
29,0,89,傈合,Jeollabuk-do,2.0,53,36,2,0,4.9,2020-09-05
30,0,90,傈合,Jeollabuk-do,1.0,53,37,1,0,4.95,2020-09-06
31,0,91,傈合,Jeollabuk-do,1.0,55,36,0,1,5.01,2020-09-07
32,0,94,傈合,Jeollabuk-do,3.0,59,35,0,3,5.17,2020-09-08
33,0,95,傈合,Jeollabuk-do,1.0,65,30,1,0,5.23,2020-09-09
34,0,96,傈合,Jeollabuk-do,1.0,68,28,1,0,5.28,2020-09-10
35,0,96,傈合,Jeollabuk-do,0.0,68,28,0,0,5.28,2020-09-11
36,0,97,傈合,Jeollabuk-do,1.0,69,28,0,1,5.34,2020-09-12
37,0,99,傈合,Jeollabuk-do,2.0,69,30,0,2,5.45,2020-09-13
38,0,100,傈合,Jeollabuk-do,1.0,69,31,0,1,5.5,2020-09-14
39,0,101,傈合,Jeollabuk-do,1.0,72,29,1,0,5.56,2020-09-15
40,0,106,傈合,Jeollabuk-do,5.0,76,30,5,0,5.83,2020-09-16
41,0,106,傈合,Jeollabuk-do,0.0,78,28,0,0,5.83,2020-09-17
42,0,114,傈合,Jeollabuk-do,8.0,79,35,7,1,6.27,2020-09-18
43,0,115,傈合,Jeollabuk-do,1.0,85,30,1,0,6.33,2020-09-19
44,0,115,傈合,Jeollabuk-do,0.0,87,28,0,0,6.33,2020-09-20
45,0,115,傈合,Jeollabuk-do,0.0,88,27,0,0,6.33,2020-09-21
46,0,115,傈合,Jeollabuk-do,0.0,89,26,0,0,6.33,2020-09-22
47,0,116,傈合,Jeollabuk-do,1.0,91,25,0,1,6.38,2020-09-23
48,0,117,傈合,Jeollabuk-do,1.0,92,25,1,0,6.44,2020-09-24
49,0,120,傈合,Jeollabuk-do,3.0,93,27,3,0,6.6,2020-09-25
50,0,123,傈合,Jeollabuk-do,3.0,93,30,3,0,6.77,2020-09-26
51,0,125,傈合,Jeollabuk-do,2.0,93,32,1,1,6.88,2020-09-27
52,0,125,傈合,Jeollabuk-do,0.0,95,30,0,0,6.88,2020-09-28
53,0,125,傈合,Jeollabuk-do,0.0,96,29,0,0,6.88,2020-09-29
54,0,128,傈合,Jeollabuk-do,3.0,106,22,2,1,7.04,2020-09-30
55,0,128,傈合,Jeollabuk-do,0.0,107,21,0,0,7.04,2020-10-01
56,0,128,傈合,Jeollabuk-do,0.0,111,17,0,0,7.04,2020-10-02
57,0,129,傈合,Jeollabuk-do,1.0,111,18,0,1,7.1,2020-10-03
58,0,129,傈合,Jeollabuk-do,0.0,112,17,0,0,7.1,2020-10-04
59,0,132,傈合,Jeollabuk-do,3.0,112,20,2,1,7.26,2020-10-05
60,0,141,傈合,Jeollabuk-do,9.0,112,29,9,0,7.76,2020-10-06
61,0,149,傈合,Jeollabuk-do,8.0,114,35,6,2,8.2,2020-10-07
62,0,149,傈合,Jeollabuk-do,0.0,114,35,0,0,8.2,2020-10-08
63,0,149,傈合,Jeollabuk-do,0.0,115,34,0,0,8.2,2020-10-09
64,0,149,傈合,Jeollabuk-do,0.0,117,32,0,0,8.2,2020-10-10
65,0,149,傈合,Jeollabuk-do,0.0,118,31,0,0,8.2,2020-10-11
66,0,151,傈合,Jeollabuk-do,2.0,119,32,1,1,8.31,2020-10-12
67,0,152,傈合,Jeollabuk-do,1.0,119,33,1,0,8.36,2020-10-13
68,0,152,傈合,Jeollabuk-do,0.0,123,29,0,0,8.36,2020-10-14
69,0,153,傈合,Jeollabuk-do,1.0,123,30,0,1,8.42,2020-10-15
70,0,155,傈合,Jeollabuk-do,2.0,127,28,2,0,8.53,2020-10-16
71,0,155,傈合,Jeollabuk-do,0.0,128,27,0,0,8.53,2020-10-17
72,0,155,傈合,Jeollabuk-do,0.0,128,27,0,0,8.53,2020-10-18
