,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,1,53,울산,Ulsan,0.0,47,5,0,0,4.62,2020-06-14
1,1,53,울산,Ulsan,0.0,47,5,0,0,4.62,2020-06-15
2,1,53,울산,Ulsan,0.0,47,5,0,0,4.62,2020-06-16
3,1,53,울산,Ulsan,0.0,47,5,0,0,4.62,2020-06-17
4,1,53,울산,Ulsan,0.0,48,4,0,0,4.62,2020-06-18
5,1,53,울산,Ulsan,0.0,48,4,0,0,4.62,2020-06-19
6,1,53,울산,Ulsan,0.0,48,4,0,0,4.62,2020-06-20
7,1,53,울산,Ulsan,0.0,48,4,0,0,4.62,2020-06-21
8,1,53,울산,Ulsan,0.0,48,4,0,0,4.62,2020-06-22
9,1,53,울산,Ulsan,0.0,48,4,0,0,4.62,2020-06-23
10,1,55,울산,Ulsan,2.0,48,6,2,0,4.79,2020-06-24
11,1,55,울산,Ulsan,0.0,48,6,0,0,4.79,2020-06-25
12,1,55,울산,Ulsan,0.0,49,5,0,0,4.79,2020-06-26
13,1,55,울산,Ulsan,0.0,50,4,0,0,4.79,2020-06-27
14,1,55,울산,Ulsan,0.0,50,4,0,0,4.79,2020-06-28
15,1,55,울산,Ulsan,0.0,50,4,0,0,4.79,2020-06-29
16,1,55,울산,Ulsan,0.0,50,4,0,0,4.79,2020-06-30
17,1,55,울산,Ulsan,0.0,52,2,0,0,4.79,2020-07-01
18,1,55,울산,Ulsan,0.0,52,2,0,0,4.79,2020-07-02
19,1,55,울산,Ulsan,0.0,52,2,0,0,4.79,2020-07-03
20,1,55,울산,Ulsan,0.0,52,2,0,0,4.79,2020-07-04
21,1,55,울산,Ulsan,0.0,52,2,0,0,4.79,2020-07-05
22,1,55,울산,Ulsan,0.0,52,2,0,0,4.79,2020-07-06
23,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-07
24,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-08
25,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-09
26,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-10
27,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-11
28,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-12
29,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-13
30,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-14
31,1,55,울산,Ulsan,0.0,53,1,0,0,4.79,2020-07-15
32,1,56,울산,Ulsan,1.0,53,2,0,1,4.88,2020-07-16
33,1,56,울산,Ulsan,0.0,53,2,0,0,4.88,2020-07-17
34,1,57,울산,Ulsan,1.0,53,3,1,0,4.97,2020-07-18
35,1,57,울산,Ulsan,0.0,53,3,0,0,4.97,2020-07-19
36,1,57,울산,Ulsan,0.0,53,3,0,0,4.97,2020-07-20
37,1,57,울산,Ulsan,0.0,53,3,0,0,4.97,2020-07-21
38,1,57,울산,Ulsan,0.0,53,3,0,0,4.97,2020-07-22
39,1,57,울산,Ulsan,0.0,53,3,0,0,4.97,2020-07-23
40,1,57,울산,Ulsan,0.0,53,3,0,0,4.97,2020-07-24
41,1,58,울산,Ulsan,1.0,53,4,0,1,5.06,2020-07-25
42,1,58,울산,Ulsan,0.0,53,4,0,0,5.06,2020-07-26
43,1,58,울산,Ulsan,0.0,53,4,0,0,5.06,2020-07-27
44,1,58,울산,Ulsan,0.0,53,4,0,0,5.06,2020-07-28
45,1,59,울산,Ulsan,1.0,53,5,0,1,5.14,2020-07-29
46,1,59,울산,Ulsan,0.0,53,5,0,0,5.14,2020-07-30
47,1,59,울산,Ulsan,0.0,53,5,0,0,5.14,2020-07-31
48,1,59,울산,Ulsan,0.0,53,5,0,0,5.14,2020-08-01
49,1,59,울산,Ulsan,0.0,54,4,0,0,5.14,2020-08-02
50,1,59,울산,Ulsan,0.0,54,4,0,0,5.14,2020-08-03
51,1,59,울산,Ulsan,0.0,54,4,0,0,5.14,2020-08-04
52,1,59,울산,Ulsan,0.0,56,2,0,0,5.14,2020-08-05
53,1,59,울산,Ulsan,0.0,56,2,0,0,5.14,2020-08-06
54,1,59,울산,Ulsan,0.0,56,2,0,0,5.14,2020-08-07
55,1,59,울산,Ulsan,0.0,56,2,0,0,5.14,2020-08-08
56,1,60,울산,Ulsan,1.0,56,3,0,1,5.23,2020-08-09
57,1,60,울산,Ulsan,0.0,56,3,0,0,5.23,2020-08-10
58,1,60,울산,Ulsan,0.0,56,3,0,0,5.23,2020-08-11
59,1,60,울산,Ulsan,0.0,56,3,0,0,5.23,2020-08-12
60,1,61,울산,Ulsan,1.0,56,4,1,0,5.32,2020-08-13
61,1,62,울산,Ulsan,1.0,56,5,1,0,5.41,2020-08-14
62,1,62,울산,Ulsan,0.0,56,5,0,0,5.41,2020-08-15
63,1,65,울산,Ulsan,3.0,56,8,1,2,5.67,2020-08-16
64,1,65,울산,Ulsan,0.0,56,8,0,0,5.67,2020-08-17
65,1,68,울산,Ulsan,3.0,56,11,2,1,5.93,2020-08-18
66,1,68,울산,Ulsan,0.0,56,11,0,0,5.93,2020-08-19
67,1,68,울산,Ulsan,0.0,57,10,0,0,5.93,2020-08-20
68,1,69,울산,Ulsan,1.0,57,11,1,0,6.02,2020-08-21
69,1,72,울산,Ulsan,3.0,58,13,1,2,6.28,2020-08-22
70,1,75,울산,Ulsan,3.0,58,16,3,0,6.54,2020-08-23
71,1,76,울산,Ulsan,1.0,58,17,1,0,6.63,2020-08-24
72,1,76,울산,Ulsan,0.0,59,16,0,0,6.63,2020-08-25
73,1,78,울산,Ulsan,2.0,60,17,2,0,6.8,2020-08-26
74,1,80,울산,Ulsan,2.0,61,18,2,0,6.97,2020-08-27
75,1,81,울산,Ulsan,1.0,61,19,1,0,7.06,2020-08-28
76,1,81,울산,Ulsan,0.0,63,17,0,0,7.06,2020-08-29
77,1,84,울산,Ulsan,3.0,63,20,3,0,7.32,2020-08-30
78,1,89,울산,Ulsan,5.0,63,25,5,0,7.76,2020-08-31
79,1,95,울산,Ulsan,6.0,63,31,6,0,8.28,2020-09-01
80,1,100,울산,Ulsan,5.0,63,36,5,0,8.72,2020-09-02
81,1,108,울산,Ulsan,8.0,66,41,7,1,9.42,2020-09-03
82,1,111,울산,Ulsan,3.0,67,43,3,0,9.68,2020-09-04
83,1,112,울산,Ulsan,1.0,67,44,1,0,9.76,2020-09-05
84,1,113,울산,Ulsan,1.0,69,43,1,0,9.85,2020-09-06
85,1,116,울산,Ulsan,3.0,69,46,3,0,10.11,2020-09-07
86,1,119,울산,Ulsan,3.0,69,49,3,0,10.37,2020-09-08
87,1,123,울산,Ulsan,4.0,72,50,4,0,10.72,2020-09-09
88,1,127,울산,Ulsan,4.0,74,52,4,0,11.07,2020-09-10
89,1,132,울산,Ulsan,5.0,78,53,4,1,11.51,2020-09-11
90,1,133,울산,Ulsan,1.0,80,52,1,0,11.6,2020-09-12
