,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,6,1098,堡林,Gwangju,17.0,864,228,16,1,75.38,2021-01-01
1,6,1111,堡林,Gwangju,13.0,871,234,13,0,76.27,2021-01-02
2,7,1137,堡林,Gwangju,26.0,884,246,26,0,78.05,2021-01-03
3,7,1211,堡林,Gwangju,74.0,889,315,74,0,83.13,2021-01-04
4,7,1234,堡林,Gwangju,23.0,915,312,23,0,84.71,2021-01-05
5,7,1264,堡林,Gwangju,30.0,935,322,30,0,86.77,2021-01-06
6,8,1292,堡林,Gwangju,28.0,958,326,28,0,88.69,2021-01-07
7,9,1313,堡林,Gwangju,21.0,961,343,21,0,90.14,2021-01-08
8,9,1319,堡林,Gwangju,6.0,1000,310,6,0,90.55,2021-01-09
9,10,1340,堡林,Gwangju,21.0,1009,321,18,3,91.99,2021-01-10
10,10,1364,堡林,Gwangju,24.0,1027,327,24,0,93.64,2021-01-11
11,10,1371,堡林,Gwangju,7.0,1047,314,7,0,94.12,2021-01-12
12,10,1375,堡林,Gwangju,4.0,1076,289,3,1,94.39,2021-01-13
13,10,1406,堡林,Gwangju,31.0,1099,297,30,1,96.52,2021-01-14
14,12,1412,堡林,Gwangju,6.0,1132,268,5,116,96.93,2021-01-15
15,12,1418,堡林,Gwangju,6.0,1149,257,6,0,97.34,2021-01-16
16,12,1433,堡林,Gwangju,15.0,1178,243,14,1,98.37,2021-01-17
17,12,1444,堡林,Gwangju,11.0,1182,250,11,0,99.13,2021-01-18
18,13,1452,堡林,Gwangju,8.0,1213,226,7,1,99.68,2021-01-19
19,14,1463,堡林,Gwangju,11.0,1228,221,11,0,100.43,2021-01-20
20,14,1469,堡林,Gwangju,6.0,1250,205,5,1,100.85,2021-01-21
21,15,1471,堡林,Gwangju,2.0,1276,180,2,0,100.98,2021-01-22
22,15,1478,堡林,Gwangju,7.0,1281,182,6,1,101.46,2021-01-23
23,16,1495,堡林,Gwangju,17.0,1293,186,17,0,102.63,2021-01-24
24,16,1511,堡林,Gwangju,16.0,1304,191,15,1,103.73,2021-01-25
25,16,1523,堡林,Gwangju,12.0,1320,187,12,0,104.55,2021-01-26
26,17,1635,堡林,Gwangju,112.0,1333,285,112,0,112.24,2021-01-27
27,17,1679,堡林,Gwangju,44.0,1345,317,44,0,115.26,2021-01-28
28,17,1733,堡林,Gwangju,54.0,1354,362,54,0,118.97,2021-01-29
29,17,1766,堡林,Gwangju,33.0,1368,381,32,1,121.23,2021-01-30
30,18,1783,堡林,Gwangju,17.0,1375,390,16,1,122.4,2021-01-31
31,18,1815,堡林,Gwangju,32.0,1382,415,32,0,124.6,2021-02-01
32,18,1839,堡林,Gwangju,24.0,1389,432,23,1,126.25,2021-02-02
33,18,1845,堡林,Gwangju,6.0,1409,418,6,0,126.66,2021-02-03
34,18,1857,堡林,Gwangju,12.0,1429,410,12,0,127.48,2021-02-04
35,18,1871,堡林,Gwangju,14.0,1444,409,14,0,128.44,2021-02-05
36,19,1883,堡林,Gwangju,12.0,1476,388,12,0,129.27,2021-02-06
37,19,1893,堡林,Gwangju,10.0,1498,376,10,0,129.95,2021-02-07
38,19,1900,堡林,Gwangju,7.0,1584,297,7,0,130.43,2021-02-08
39,19,1908,堡林,Gwangju,8.0,1619,270,8,0,130.98,2021-02-09
40,19,1922,堡林,Gwangju,14.0,1662,241,14,0,131.94,2021-02-10
