,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,499,46093,서울,Seoul,204.0,42768,2826,201,3,473.55,2021-06-11
1,499,46301,서울,Seoul,208.0,43167,2635,205,3,475.69,2021-06-12
2,501,46477,서울,Seoul,176.0,43289,2687,174,2,477.49,2021-06-13
3,501,46599,서울,Seoul,122.0,43397,2701,120,2,478.75,2021-06-14
4,502,46730,서울,Seoul,131.0,43637,2591,128,3,480.09,2021-06-15
5,503,46931,서울,Seoul,201.0,43890,2538,199,2,482.16,2021-06-16
6,504,47132,서울,Seoul,201.0,44074,2554,199,2,484.22,2021-06-17
7,505,47332,서울,Seoul,200.0,44466,2361,197,3,486.28,2021-06-18
8,506,47529,서울,Seoul,197.0,44609,2414,193,4,488.3,2021-06-19
9,507,47694,서울,Seoul,165.0,44791,2396,152,13,490.0,2021-06-20
10,508,47828,서울,Seoul,134.0,44918,2402,127,7,491.37,2021-06-21
11,509,47959,서울,Seoul,131.0,45122,2328,125,6,492.72,2021-06-22
12,510,48195,서울,Seoul,236.0,45260,2425,228,8,495.15,2021-06-23
13,510,48447,서울,Seoul,252.0,45384,2553,251,1,497.73,2021-06-24
14,511,48716,서울,Seoul,269.0,45704,2501,264,5,500.5,2021-06-25
15,512,48979,서울,Seoul,263.0,45881,2586,260,3,503.2,2021-06-26
16,512,49221,서울,Seoul,242.0,45992,2717,242,0,505.69,2021-06-27
17,513,49406,서울,Seoul,185.0,46081,2812,179,6,507.59,2021-06-28
18,513,49611,서울,Seoul,205.0,46146,2952,201,4,509.69,2021-06-29
19,513,49986,서울,Seoul,375.0,46496,2977,368,7,513.55,2021-06-30
20,514,50319,서울,Seoul,333.0,46588,3217,331,2,516.97,2021-07-01
21,515,50665,서울,Seoul,346.0,46663,3487,337,9,520.52,2021-07-02
22,516,51024,서울,Seoul,359.0,47043,3465,353,6,524.21,2021-07-03
23,516,51313,서울,Seoul,289.0,47202,3595,286,3,527.18,2021-07-04
24,517,51620,서울,Seoul,307.0,47392,3711,301,6,530.33,2021-07-05
25,518,51940,서울,Seoul,320.0,47626,3796,313,7,533.62,2021-07-06
26,518,52522,서울,Seoul,582.0,47934,4070,576,6,539.6,2021-07-07
27,518,53072,서울,Seoul,550.0,48061,4493,545,5,545.25,2021-07-08
