,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,61,6397,인천,Incheon,18.0,6130,206,17,1,216.4,2021-06-11
1,61,6417,인천,Incheon,20.0,6154,202,19,1,217.08,2021-06-12
2,61,6432,인천,Incheon,15.0,6171,200,13,2,217.58,2021-06-13
3,61,6446,인천,Incheon,14.0,6179,206,13,1,218.06,2021-06-14
4,61,6458,인천,Incheon,12.0,6194,203,11,1,218.46,2021-06-15
5,61,6470,인천,Incheon,12.0,6200,209,11,1,218.87,2021-06-16
6,61,6487,인천,Incheon,17.0,6218,208,17,0,219.44,2021-06-17
7,61,6509,인천,Incheon,22.0,6242,206,21,1,220.19,2021-06-18
8,61,6531,인천,Incheon,22.0,6250,220,20,2,220.93,2021-06-19
9,61,6553,인천,Incheon,22.0,6268,224,19,3,221.68,2021-06-20
10,61,6562,인천,Incheon,9.0,6281,220,7,2,221.98,2021-06-21
11,61,6580,인천,Incheon,18.0,6319,200,15,3,222.59,2021-06-22
12,61,6608,인천,Incheon,28.0,6339,208,26,2,223.54,2021-06-23
13,61,6623,인천,Incheon,15.0,6355,207,15,0,224.04,2021-06-24
14,61,6652,인천,Incheon,29.0,6371,220,24,5,225.02,2021-06-25
15,61,6664,인천,Incheon,12.0,6385,218,12,0,225.43,2021-06-26
16,61,6689,인천,Incheon,25.0,6394,234,24,1,226.28,2021-06-27
17,61,6720,인천,Incheon,31.0,6411,248,30,1,227.33,2021-06-28
18,61,6737,인천,Incheon,17.0,6437,239,17,0,227.9,2021-06-29
19,61,6767,인천,Incheon,30.0,6461,245,29,1,228.92,2021-06-30
20,61,6803,인천,Incheon,36.0,6478,264,30,6,230.13,2021-07-01
21,61,6825,인천,Incheon,22.0,6501,263,22,0,230.88,2021-07-02
22,61,6841,인천,Incheon,16.0,6521,259,14,2,231.42,2021-07-03
23,61,6874,인천,Incheon,33.0,6536,277,28,5,232.53,2021-07-04
24,61,6896,인천,Incheon,22.0,6550,285,16,6,233.28,2021-07-05
25,61,6919,인천,Incheon,23.0,6575,283,20,3,234.06,2021-07-06
26,61,6976,인천,Incheon,57.0,6604,311,56,1,235.99,2021-07-07
27,61,7040,인천,Incheon,64.0,6629,350,61,3,238.15,2021-07-08
28,61,7122,인천,Incheon,82.0,6662,399,72,10,242.01,2021-07-09
29,61,7206,인천,Incheon,84.0,6679,466,79,5,244.87,2021-07-10
30,61,7272,인천,Incheon,66.0,6701,510,64,2,247.11,2021-07-11
31,61,7328,인천,Incheon,56.0,6724,543,51,5,249.01,2021-07-12
32,61,7399,인천,Incheon,71.0,6748,590,67,4,251.42,2021-07-13
33,61,7495,인천,Incheon,96.0,6776,658,93,3,254.69,2021-07-14
34,61,7585,인천,Incheon,90.0,6798,726,89,1,257.75,2021-07-15
35,61,7682,인천,Incheon,97.0,6821,800,95,2,261.04,2021-07-16
36,61,7763,인천,Incheon,81.0,6861,841,77,4,263.79,2021-07-17
37,61,7846,인천,Incheon,83.0,6934,851,81,2,266.61,2021-07-18
38,61,7913,인천,Incheon,67.0,6974,878,62,5,268.89,2021-07-19
39,61,7984,인천,Incheon,71.0,7017,906,70,1,271.3,2021-07-20
40,61,8112,인천,Incheon,128.0,7105,946,126,2,275.65,2021-07-21
41,61,8242,인천,Incheon,130.0,7172,1009,130,0,280.07,2021-07-22
42,61,8339,인천,Incheon,97.0,7195,1083,90,7,283.37,2021-07-23
43,61,8423,인천,Incheon,84.0,7305,1057,81,3,286.22,2021-07-24
44,61,8511,인천,Incheon,88.0,7369,1081,83,5,289.21,2021-07-25
45,61,8582,인천,Incheon,71.0,7446,1075,67,4,291.62,2021-07-26
46,61,8647,인천,Incheon,65.0,7480,1106,58,7,293.83,2021-07-27
47,61,8749,인천,Incheon,102.0,7525,1163,101,1,297.3,2021-07-28
48,61,8845,인천,Incheon,96.0,7607,1177,94,2,300.56,2021-07-29
49,62,8964,인천,Incheon,119.0,7707,1195,112,7,304.6,2021-07-30
50,64,9060,인천,Incheon,96.0,7804,1192,87,9,307.87,2021-07-31
51,64,9149,인천,Incheon,89.0,7891,1194,87,2,310.89,2021-08-01
52,64,9211,인천,Incheon,62.0,7942,1205,59,3,313.0,2021-08-02
53,65,9259,인천,Incheon,48.0,8043,1151,46,2,314.63,2021-08-03
54,66,9342,인천,Incheon,83.0,8131,1145,83,0,317.45,2021-08-04
55,66,9432,인천,Incheon,90.0,8261,1105,89,1,320.51,2021-08-05
56,66,9535,인천,Incheon,103.0,8345,1124,101,2,324.01,2021-08-06
57,66,9625,인천,Incheon,90.0,8421,1138,90,0,327.07,2021-08-07
58,66,9700,인천,Incheon,75.0,8503,1131,70,5,329.61,2021-08-08
59,67,9765,인천,Incheon,65.0,8569,1129,65,0,331.82,2021-08-09
60,69,9831,인천,Incheon,66.0,8660,1102,64,2,334.07,2021-08-10
61,69,9942,인천,Incheon,111.0,8840,1033,107,4,337.84,2021-08-11
62,70,10056,인천,Incheon,114.0,8913,1073,109,5,341.71,2021-08-12
63,70,10153,인천,Incheon,97.0,9034,1049,94,3,345.01,2021-08-13
64,70,10232,인천,Incheon,79.0,9080,1082,76,3,347.69,2021-08-14
65,70,10332,인천,Incheon,100.0,9161,1101,95,5,351.09,2021-08-15
66,71,10442,인천,Incheon,110.0,9217,1154,110,0,354.83,2021-08-16
67,72,10520,인천,Incheon,78.0,9274,1174,77,1,357.48,2021-08-17
68,72,10612,인천,Incheon,92.0,9368,1172,91,1,360.61,2021-08-18
69,73,10765,인천,Incheon,153.0,9439,1253,153,0,365.8,2021-08-19
70,73,10885,인천,Incheon,120.0,9510,1302,117,3,369.88,2021-08-20
