,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,5,566,전남,Jeollanam-do,6.0,474,87,6,0,30.35,2021-01-01
1,5,577,전남,Jeollanam-do,11.0,476,96,9,2,30.94,2021-01-02
2,5,589,전남,Jeollanam-do,12.0,482,102,12,0,31.59,2021-01-03
3,5,592,전남,Jeollanam-do,3.0,487,100,3,0,31.75,2021-01-04
4,6,596,전남,Jeollanam-do,4.0,491,99,4,0,31.96,2021-01-05
5,6,597,전남,Jeollanam-do,1.0,499,92,1,0,32.02,2021-01-06
6,6,598,전남,Jeollanam-do,1.0,510,82,0,1,32.07,2021-01-07
7,6,598,전남,Jeollanam-do,0.0,513,79,0,0,32.07,2021-01-08
8,6,603,전남,Jeollanam-do,5.0,515,82,5,0,32.34,2021-01-09
9,6,607,전남,Jeollanam-do,4.0,518,83,3,1,32.55,2021-01-10
10,6,610,전남,Jeollanam-do,3.0,521,83,3,0,32.71,2021-01-11
11,6,612,전남,Jeollanam-do,2.0,525,81,2,0,32.82,2021-01-12
12,6,612,전남,Jeollanam-do,0.0,528,78,0,0,32.82,2021-01-13
13,6,618,전남,Jeollanam-do,6.0,538,74,6,0,33.14,2021-01-14
14,6,631,전남,Jeollanam-do,13.0,539,86,13,82,33.84,2021-01-15
15,6,644,전남,Jeollanam-do,13.0,541,97,13,0,34.54,2021-01-16
16,6,659,전남,Jeollanam-do,15.0,541,112,15,0,35.34,2021-01-17
17,6,663,전남,Jeollanam-do,4.0,551,106,4,0,35.56,2021-01-18
18,6,669,전남,Jeollanam-do,6.0,554,109,6,0,35.88,2021-01-19
19,6,678,전남,Jeollanam-do,9.0,559,113,9,0,36.36,2021-01-20
20,6,692,전남,Jeollanam-do,14.0,566,120,14,0,37.11,2021-01-21
21,6,699,전남,Jeollanam-do,7.0,568,125,7,0,37.49,2021-01-22
22,6,709,전남,Jeollanam-do,10.0,572,131,9,1,38.02,2021-01-23
23,6,710,전남,Jeollanam-do,1.0,572,132,1,0,38.08,2021-01-24
24,6,713,전남,Jeollanam-do,3.0,574,133,3,0,38.24,2021-01-25
25,6,722,전남,Jeollanam-do,9.0,578,138,9,0,38.72,2021-01-26
26,6,734,전남,Jeollanam-do,12.0,594,134,12,0,39.36,2021-01-27
27,6,742,전남,Jeollanam-do,8.0,603,133,8,0,39.79,2021-01-28
28,7,747,전남,Jeollanam-do,5.0,607,133,5,0,40.06,2021-01-29
29,7,748,전남,Jeollanam-do,1.0,616,125,1,0,40.11,2021-01-30
30,7,749,전남,Jeollanam-do,1.0,624,118,1,0,40.17,2021-01-31
31,7,750,전남,Jeollanam-do,1.0,630,113,0,1,40.22,2021-02-01
32,7,753,전남,Jeollanam-do,3.0,640,106,2,1,40.38,2021-02-02
33,7,759,전남,Jeollanam-do,6.0,660,92,6,0,40.7,2021-02-03
34,7,761,전남,Jeollanam-do,2.0,664,90,2,0,40.81,2021-02-04
35,7,761,전남,Jeollanam-do,0.0,671,83,0,0,40.81,2021-02-05
