,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,23,1668,面巢,Chungcheongnam-do,15.0,1177,468,15,0,78.59,2021-01-01
1,24,1675,面巢,Chungcheongnam-do,7.0,1183,468,6,1,78.92,2021-01-02
2,24,1684,面巢,Chungcheongnam-do,9.0,1186,474,9,0,79.34,2021-01-03
3,25,1707,面巢,Chungcheongnam-do,23.0,1210,472,22,1,80.43,2021-01-04
4,25,1725,面巢,Chungcheongnam-do,18.0,1239,461,18,0,81.27,2021-01-05
5,25,1749,面巢,Chungcheongnam-do,24.0,1283,441,23,1,82.4,2021-01-06
6,25,1769,面巢,Chungcheongnam-do,20.0,1317,427,19,1,83.35,2021-01-07
7,27,1790,面巢,Chungcheongnam-do,21.0,1345,418,21,0,84.34,2021-01-08
8,27,1817,面巢,Chungcheongnam-do,27.0,1373,417,26,1,85.61,2021-01-09
9,27,1847,面巢,Chungcheongnam-do,30.0,1381,439,30,0,87.02,2021-01-10
10,27,1858,面巢,Chungcheongnam-do,11.0,1388,443,10,1,87.54,2021-01-11
11,28,1861,面巢,Chungcheongnam-do,3.0,1412,421,1,2,87.68,2021-01-12
12,28,1866,面巢,Chungcheongnam-do,5.0,1429,409,4,1,87.92,2021-01-13
13,28,1878,面巢,Chungcheongnam-do,12.0,1499,351,12,0,88.48,2021-01-14
14,28,1884,面巢,Chungcheongnam-do,6.0,1580,276,3,148,88.77,2021-01-15
15,29,1892,面巢,Chungcheongnam-do,8.0,1615,248,8,0,89.14,2021-01-16
16,30,1899,面巢,Chungcheongnam-do,7.0,1636,233,6,1,89.47,2021-01-17
17,30,1910,面巢,Chungcheongnam-do,11.0,1650,230,11,0,89.99,2021-01-18
18,30,1918,面巢,Chungcheongnam-do,8.0,1666,222,7,1,90.37,2021-01-19
19,30,1926,面巢,Chungcheongnam-do,8.0,1689,207,7,1,90.74,2021-01-20
20,31,1936,面巢,Chungcheongnam-do,10.0,1728,177,10,0,91.22,2021-01-21
21,31,1943,面巢,Chungcheongnam-do,7.0,1749,163,7,0,91.54,2021-01-22
22,32,1960,面巢,Chungcheongnam-do,17.0,1760,168,17,0,92.35,2021-01-23
