,deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,24,1185,面合,Chungcheongbuk-do,22.0,628,533,22,0,74.09,2021-01-01
1,28,1221,面合,Chungcheongbuk-do,36.0,637,556,34,2,76.34,2021-01-02
2,28,1248,面合,Chungcheongbuk-do,27.0,654,566,26,1,78.03,2021-01-03
3,28,1271,面合,Chungcheongbuk-do,23.0,675,568,23,0,79.47,2021-01-04
4,32,1303,面合,Chungcheongbuk-do,32.0,697,574,32,0,81.47,2021-01-05
5,33,1324,面合,Chungcheongbuk-do,21.0,722,569,21,0,82.78,2021-01-06
6,34,1338,面合,Chungcheongbuk-do,14.0,743,561,14,0,83.66,2021-01-07
7,35,1348,面合,Chungcheongbuk-do,10.0,766,547,10,0,84.28,2021-01-08
8,36,1378,面合,Chungcheongbuk-do,30.0,794,548,30,0,86.16,2021-01-09
9,36,1387,面合,Chungcheongbuk-do,9.0,811,540,8,1,86.72,2021-01-10
10,36,1397,面合,Chungcheongbuk-do,10.0,823,538,9,1,87.35,2021-01-11
11,37,1413,面合,Chungcheongbuk-do,16.0,870,506,16,0,88.35,2021-01-12
12,37,1424,面合,Chungcheongbuk-do,11.0,901,486,11,0,89.03,2021-01-13
13,37,1442,面合,Chungcheongbuk-do,18.0,962,443,18,0,90.16,2021-01-14
14,38,1451,面合,Chungcheongbuk-do,9.0,1001,412,7,89,90.72,2021-01-15
15,38,1457,面合,Chungcheongbuk-do,6.0,1048,371,6,0,91.1,2021-01-16
16,41,1464,面合,Chungcheongbuk-do,7.0,1079,344,7,0,91.53,2021-01-17
17,44,1473,面合,Chungcheongbuk-do,9.0,1079,350,8,1,92.1,2021-01-18
18,46,1478,面合,Chungcheongbuk-do,5.0,1101,331,5,0,92.41,2021-01-19
19,47,1481,面合,Chungcheongbuk-do,3.0,1124,310,2,1,92.6,2021-01-20
20,48,1488,面合,Chungcheongbuk-do,7.0,1150,290,7,0,93.04,2021-01-21
21,50,1489,面合,Chungcheongbuk-do,1.0,1183,256,1,0,93.1,2021-01-22
22,51,1493,面合,Chungcheongbuk-do,4.0,1196,246,4,0,93.35,2021-01-23
23,52,1505,面合,Chungcheongbuk-do,12.0,1201,252,12,0,94.1,2021-01-24
24,53,1513,面合,Chungcheongbuk-do,8.0,1216,244,8,0,94.6,2021-01-25
25,53,1520,面合,Chungcheongbuk-do,7.0,1239,228,7,0,95.04,2021-01-26
26,53,1528,面合,Chungcheongbuk-do,8.0,1285,190,8,0,95.54,2021-01-27
27,53,1553,面合,Chungcheongbuk-do,25.0,1300,200,24,1,97.1,2021-01-28
28,54,1562,面合,Chungcheongbuk-do,9.0,1315,193,9,0,97.66,2021-01-29
29,55,1573,面合,Chungcheongbuk-do,11.0,1327,191,11,0,98.35,2021-01-30
30,55,1574,面合,Chungcheongbuk-do,1.0,1332,187,1,0,98.41,2021-01-31
31,55,1580,面合,Chungcheongbuk-do,6.0,1337,188,5,1,98.79,2021-02-01
32,55,1598,面合,Chungcheongbuk-do,18.0,1364,179,18,0,99.91,2021-02-02
33,55,1607,面合,Chungcheongbuk-do,9.0,1375,177,8,1,100.48,2021-02-03
34,55,1611,面合,Chungcheongbuk-do,4.0,1398,158,4,0,100.73,2021-02-04
35,55,1614,面合,Chungcheongbuk-do,3.0,1409,150,2,1,100.91,2021-02-05
36,57,1616,面合,Chungcheongbuk-do,2.0,1422,137,2,0,101.04,2021-02-06
37,57,1617,面合,Chungcheongbuk-do,1.0,1424,136,1,0,101.1,2021-02-07
38,57,1617,面合,Chungcheongbuk-do,0.0,1425,135,0,0,101.1,2021-02-08
39,57,1620,面合,Chungcheongbuk-do,3.0,1442,121,2,1,101.29,2021-02-09
40,57,1622,面合,Chungcheongbuk-do,2.0,1463,102,2,0,101.41,2021-02-10
41,57,1626,面合,Chungcheongbuk-do,4.0,1473,96,3,1,101.66,2021-02-11
42,57,1632,面合,Chungcheongbuk-do,6.0,1489,86,6,0,102.04,2021-02-12
43,57,1637,面合,Chungcheongbuk-do,5.0,1500,80,4,1,102.35,2021-02-13
44,57,1642,面合,Chungcheongbuk-do,5.0,1506,79,5,0,102.66,2021-02-14
45,57,1642,面合,Chungcheongbuk-do,0.0,1507,78,0,0,102.66,2021-02-15
46,58,1649,面合,Chungcheongbuk-do,7.0,1513,78,7,0,103.1,2021-02-16
47,58,1655,面合,Chungcheongbuk-do,6.0,1528,69,6,0,103.48,2021-02-17
48,58,1672,面合,Chungcheongbuk-do,17.0,1534,80,16,1,104.54,2021-02-18
49,58,1690,面合,Chungcheongbuk-do,18.0,1534,98,18,0,105.67,2021-02-19
50,58,1706,面合,Chungcheongbuk-do,16.0,1536,112,16,0,106.67,2021-02-20
51,58,1712,面合,Chungcheongbuk-do,6.0,1540,114,6,0,107.04,2021-02-21
