,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2020-10-28,경기,13522013,542,89,4655,0.1070529026778348,0.014760147601476,0.0
1,2020-10-29,경기,13521955,592,89,4663,0.0540754167094441,0.0287162162162162,0.0
2,2020-10-30,경기,13521923,607,89,4680,0.0444987389915271,0.0527182866556836,0.0
3,2020-10-31,경기,13521896,602,89,4712,0.0631481458761085,0.0830564784053156,0.0
4,2020-11-01,경기,13521858,590,89,4762,0.0695194878080276,0.0288135593220339,0.0016949152542372
5,2020-11-02,경기,13521817,613,90,4779,0.0440635339477198,0.0440456769983686,0.0016313213703099
6,2020-11-03,경기,13521790,612,91,4806,0.0702900635757669,0.0392156862745098,0.0
7,2020-11-04,경기,13521747,631,91,4830,0.0428067926172074,0.1045958795562599,0.0015847860538827
8,2020-11-05,경기,13521720,591,92,4896,0.0795590388927833,0.1725888324873096,0.0016920473773265
9,2020-11-06,경기,13521673,535,93,4998,0.039268668277127,0.0635514018691588,0.0018691588785046
10,2020-11-07,경기,13521652,521,94,5032,0.0480046845722305,0.0499040307101727,0.0019193857965451
11,2020-11-08,경기,13521627,519,95,5058,0.0424069912817763,0.1271676300578034,0.001926782273603
12,2020-11-09,경기,13521605,474,96,5124,0.0696495705215955,0.0675105485232067,0.0063291139240506
13,2020-11-10,경기,13521572,472,99,5156,0.1123356947196697,0.0614406779661017,0.0042372881355932
14,2020-11-11,경기,13521519,494,101,5185,0.0708804885360613,0.117408906882591,0.0
15,2020-11-12,경기,13521484,471,101,5243,0.0998306001024557,0.0658174097664543,0.0021231422505307
16,2020-11-13,경기,13521437,486,102,5274,0.1008667554657,0.051440329218107,0.0041152263374485
17,2020-11-14,경기,13521388,508,104,5299,0.0886214019031345,0.0748031496062992,0.0
18,2020-11-15,경기,13521343,515,104,5337,0.0815893214157794,0.0776699029126213,0.0019417475728155
19,2020-11-16,경기,13521301,516,105,5377,0.100819897308297,0.0523255813953488,0.0
20,2020-11-17,경기,13521249,541,105,5404,0.1608852636170425,0.0794824399260628,0.0
21,2020-11-18,경기,13521162,585,105,5447,0.1094513647708706,0.0444444444444444,0.0017094017094017
22,2020-11-19,경기,13521098,622,106,5473,0.1174171688293209,0.0723472668810289,0.0032154340836012
23,2020-11-20,경기,13521025,648,108,5518,0.1435851137052876,0.0324074074074074,0.0
24,2020-11-21,경기,13520932,720,108,5539,0.104215718697005,0.0319444444444444,0.0027777777777777
25,2020-11-22,경기,13520857,770,110,5562,0.0987483248451469,0.0285714285714285,0.0
26,2020-11-23,경기,13520781,824,110,5584,0.0983483590925701,0.0400485436893203,0.0
27,2020-11-24,경기,13520700,872,110,5617,0.0940825934043505,0.0596330275229357,0.0011467889908256
28,2020-11-25,경기,13520618,901,111,5669,0.2032080206014015,0.0377358490566037,0.0011098779134295
29,2020-11-26,경기,13520435,1049,112,5703,0.1115914185785441,0.0438512869399428,0.0009532888465204
30,2020-11-27,경기,13520318,1119,113,5749,0.1117645592056862,0.0411081322609472,0.002680965147453
31,2020-11-28,경기,13520193,1195,116,5795,0.078702430892083,0.0376569037656903,0.0
32,2020-11-29,경기,13520099,1244,116,5840,0.0619300688238719,0.0337620578778135,0.0
33,2020-11-30,경기,13520022,1279,116,5882,0.075099039031929,0.0406567630961688,0.0
34,2020-12-01,경기,13519926,1323,116,5934,0.1089028945003051,0.0657596371882086,0.0
35,2020-12-02,경기,13519782,1380,116,6021,0.1022307217482597,0.0463768115942029,0.0
36,2020-12-03,경기,13519641,1457,116,6085,0.1098768906145823,0.0473575840768702,0.002745367192862
37,2020-12-04,경기,13519481,1544,120,6154,0.1017427392693857,0.0595854922279792,0.0006476683937823
38,2020-12-05,경기,13519324,1608,121,6246,0.1144953612748787,0.0453980099502487,0.0012437810945273
39,2020-12-06,경기,13519140,1717,123,6319,0.0909109774585994,0.0430984274898078,0.0011648223645894
40,2020-12-07,경기,13518984,1797,125,6393,0.0874215718303357,0.0445186421814134,0.0005564830272676
41,2020-12-08,경기,13518827,1873,126,6473,0.116997994270273,0.0432461292044847,0.0005339028296849
42,2020-12-09,경기,13518608,2010,127,6554,0.1070339411450369,0.0895522388059701,0.0014925373134328
43,2020-12-10,경기,13518393,2042,130,6734,0.1122188377085142,0.0558276199804113,0.0014691478942213
44,2020-12-11,경기,13518164,2154,133,6848,0.1263620269385931,0.0575673166202414,0.000464252553389
45,2020-12-12,경기,13517892,2301,134,6972,0.1439506042702561,0.0404172099087353,0.0004345936549326
46,2020-12-13,경기,13517561,2538,135,7065,0.0891106420599925,0.0303388494877856,0.0
47,2020-12-14,경기,13517335,2687,135,7142,0.107261739015161,0.0346110904354298,0.0011164867882396
48,2020-12-15,경기,13517047,2879,138,7235,0.1143624626416842,0.0479333101771448,0.0020840569642236
49,2020-12-16,경기,13516718,3064,144,7373,0.0950482366958178,0.0437336814621409,0.002284595300261
50,2020-12-17,경기,13516427,3214,151,7507,0.0943508772366448,0.0491599253266957,0.0006222775357809
51,2020-12-18,경기,13516124,3357,153,7665,0.0816879775209428,0.0461721775394697,0.0005957700327673
52,2020-12-19,경기,13515850,3474,155,7820,0.0717360169273019,0.0503742084052964,0.0025906735751295
53,2020-12-20,경기,13515601,3539,164,7995,0.0690057040025945,0.0415371573890929,0.0025430912687199
54,2020-12-21,경기,13515357,3627,173,8142,0.0562945276653995,0.0410807830162668,0.0022056796250344
55,2020-12-22,경기,13515153,3674,181,8291,0.0841801025436242,0.0568862275449101,0.0027218290691344
56,2020-12-23,경기,13514844,3764,191,8500,0.0757871015118285,0.0544633368756641,0.0026567481402763
57,2020-12-24,경기,13514559,3834,201,8705,0.0686614310638766,0.0581637976004173,0.001564945226917
58,2020-12-25,경기,13514296,3868,207,8928,0.0659889742510637,0.0690279214064115,0.0012926577042399
59,2020-12-26,경기,13514041,3851,212,9195,0.0626425432207316,0.0846533367956375,0.0012983640612827
60,2020-12-27,경기,13513800,3761,217,9521,0.051367399263728,0.0590268545599574,0.0010635469290082
61,2020-12-28,경기,13513607,3728,221,9743,0.0687391039306901,0.0716201716738197,0.0056330472103004
62,2020-12-29,경기,13513351,3696,242,10010,0.0750232439237955,0.086038961038961,0.0029761904761904
63,2020-12-30,경기,13513074,3644,253,10328,0.0618103331376064,0.0771130625686059,0.0027442371020856
64,2020-12-31,경기,13512849,3578,263,10609,0.0794588306690759,0.082448295136948,0.0022358859698155
65,2021-01-01,경기,13512565,3559,271,10904,0.0638515085994285,0.0741781399269457,0.0028097780275358
66,2021-01-02,경기,13512338,3512,281,11168,0.0581508744032056,0.0694760820045558,0.0014236902050113
67,2021-01-03,경기,13512134,3467,286,11412,0.0776757730919243,0.0686472454571675,0.0017306028266512
68,2021-01-04,경기,13511865,3492,292,11650,0.0656533724151529,0.0575601374570446,0.0008591065292096
69,2021-01-05,경기,13511636,3517,295,11851,0.080844247753318,0.0852999715666761,0.0025589991470002
70,2021-01-06,경기,13511352,3492,304,12151,0.0868721709152829,0.0793241695303551,0.0022909507445589
71,2021-01-07,경기,13511049,3510,312,12428,0.073592678515938,0.0709401709401709,0.0039886039886039
72,2021-01-08,경기,13510791,3505,326,12677,0.0602732690018592,0.0701854493580599,0.002567760342368
73,2021-01-09,경기,13510580,3461,335,12923,0.0555439454288213,0.0667437156891072,0.0028893383415197
74,2021-01-10,경기,13510388,3412,345,13154,0.0431371630759343,0.0550996483001172,0.0014654161781946
75,2021-01-11,경기,13510241,3366,350,13342,0.0520561362470866,0.0739750445632798,0.0020796197266785
76,2021-01-12,경기,13510066,3285,357,13591,0.0612652630292082,0.0821917808219178,0.0021308980213089
77,2021-01-13,경기,13509865,3209,364,13861,0.0533563943329807,0.069180430040511,0.0009348706762231
78,2021-01-14,경기,13509694,3155,367,14083,0.059030866474899,0.0871632329635499,0.0028526148969889
79,2021-01-15,경기,13509508,3057,376,14358,0.0550282117403602,0.0729473339875695,0.0013084723585214
80,2021-01-16,경기,13509340,2998,380,14581,0.0584498468641811,0.066711140760507,0.0013342228152101
81,2021-01-17,경기,13509165,2969,384,14781,0.0354129156400086,0.0889188278881778,0.0016840687100033
82,2021-01-18,경기,13509060,2805,389,15045,0.0496212720862504,0.0802139037433155,0.0014260249554367
83,2021-01-19,경기,13508921,2715,393,15270,0.051266703636466,0.1023941068139963,0.0022099447513812
84,2021-01-20,경기,13508782,2570,399,15548,0.053770101881561,0.1163424124513618,0.001556420233463
85,2021-01-21,경기,13508644,2405,403,15847,0.048299456234642,0.1064449064449064,0.0008316008316008
86,2021-01-22,경기,13508528,2263,405,16103,0.0517731238612705,0.0923552806009721,0.0008837825894829
87,2021-01-23,경기,13508411,2169,407,16312,0.0457069736079425,0.0871369294605809,0.0013831258644536
88,2021-01-24,경기,13508312,2076,410,16501,0.0371426924782591,0.0688824662813102,0.001926782273603
89,2021-01-25,경기,13508235,2006,414,16644,0.038439017507101,0.0857427716849451,0.0014955134596211
90,2021-01-26,경기,13508158,1908,417,16816,0.0787277512237955,0.1048218029350104,0.000524109014675
91,2021-01-27,경기,13508008,1857,418,17016,0.0636340967514517,0.0920840064620355,0.0
92,2021-01-28,경기,13507890,1804,418,17187,0.0749412287313943,0.1008869179600887,0.0022172949002217
93,2021-01-29,경기,13507755,1753,422,17369,0.0834062997108654,0.0941243582430119,0.0017113519680547
94,2021-01-30,경기,13507609,1731,425,17534,0.0653753435884806,0.1010976314269208,0.0
95,2021-01-31,경기,13507496,1669,425,17709,0.0552036422318921,0.0623127621330137,0.0005991611743559
96,2021-02-01,경기,13507404,1656,426,17813,0.0495898414637527,0.0821256038647343,0.0018115942028985
97,2021-02-02,경기,13507322,1599,429,17949,0.0695210545931203,0.0850531582238899,0.0018761726078799
98,2021-02-03,경기,13507211,1571,432,18085,0.0854228424901282,0.0865690642902609,0.0012730744748567
99,2021-02-04,경기,13507077,1567,434,18221,0.0728593963525256,0.0708359923420548,0.0031908104658583
100,2021-02-05,경기,13506963,1565,439,18332,0.0710333040983115,0.0741214057507987,0.0006389776357827
