,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2020-10-28,경남,3311317,17,0,297,0.0,0.0,0.0
1,2020-10-29,경남,3311317,17,0,297,0.0588291074304911,0.0,0.0
2,2020-10-30,경남,3311316,18,0,297,0.055560840463429,0.1111111111111111,0.0
3,2020-10-31,경남,3311315,17,0,299,0.1176582859253268,0.0,0.0
4,2020-11-01,경남,3311313,19,0,299,0.0526366333901544,0.0526315789473684,0.0
5,2020-11-02,경남,3311312,19,0,300,0.0526366492861598,0.0526315789473684,0.0
6,2020-11-03,경남,3311311,19,0,301,0.0,0.0,0.0
7,2020-11-04,경남,3311311,19,0,301,0.2631833259108743,0.0,0.0
8,2020-11-05,경남,3311306,24,0,301,0.5417198304838031,0.0,0.0
9,2020-11-06,경남,3311293,37,0,301,0.1351489290445462,0.0,0.0
10,2020-11-07,경남,3311288,42,0,301,0.2381199012071953,0.0476190476190476,0.0
11,2020-11-08,경남,3311278,50,0,303,0.0800085284292046,0.06,0.0
12,2020-11-09,경남,3311274,51,0,306,0.0392199142544353,0.0980392156862745,0.0
13,2020-11-10,경남,3311272,48,0,311,0.2291915123553728,0.0625,0.0
14,2020-11-11,경남,3311261,56,0,314,0.0714365528505821,0.0,0.0
15,2020-11-12,경남,3311257,60,0,314,0.0500056474021798,0.0166666666666666,0.0
16,2020-11-13,경남,3311254,62,0,315,0.0645234744611032,0.0161290322580645,0.0
17,2020-11-14,경남,3311250,65,0,316,0.0461591567209687,0.0307692307692307,0.0
18,2020-11-15,경남,3311247,66,0,318,0.0606130889936356,0.0151515151515151,0.0
19,2020-11-16,경남,3311243,69,0,319,0.0434833555017675,0.0144927536231884,0.0
20,2020-11-17,경남,3311240,71,0,320,0.1267755316037513,0.0,0.0
21,2020-11-18,경남,3311231,80,0,320,0.3500422803483055,0.0625,0.0
22,2020-11-19,경남,3311203,103,0,325,0.17477987035768,0.1262135922330097,0.0
23,2020-11-20,경남,3311185,108,0,338,0.1018655707850814,0.0462962962962962,0.0
