,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2021-06-30,대전,1451417,258,27,2366,0.0621287746319097,0.0697674418604651,0.0
1,2021-07-01,대전,1451401,256,27,2384,0.0978356967681571,0.05078125,0.0
2,2021-07-02,대전,1451376,268,27,2397,0.1046713961363602,0.0186567164179104,0.0
3,2021-07-03,대전,1451348,291,27,2402,0.1101717245123095,0.0274914089347079,0.0
4,2021-07-04,대전,1451316,315,27,2410,0.0604318348925312,0.0476190476190476,0.0
5,2021-07-05,대전,1451297,319,27,2425,0.0816603212921578,0.0971786833855799,0.0
6,2021-07-06,대전,1451271,314,27,2456,0.0957255359388535,0.1847133757961783,0.0
7,2021-07-07,대전,1451241,286,27,2514,0.0455430903619729,0.0524475524475524,0.0
8,2021-07-08,대전,1451228,284,27,2529,0.102312506820353,0.0316901408450704,0.0
9,2021-07-09,대전,1451199,304,27,2538,0.1582068925147594,0.0427631578947368,0.0
10,2021-07-10,대전,1451151,339,27,2551,0.0945850268801681,0.0412979351032448,0.0029498525073746
11,2021-07-11,대전,1451119,356,28,2565,0.0703674315159077,0.0196629213483146,0.0
12,2021-07-12,대전,1451094,374,28,2572,0.0830575778972116,0.0668449197860962,0.0
13,2021-07-13,대전,1451063,380,28,2597,0.1081181755792314,0.0684210526315789,0.0
14,2021-07-14,대전,1451022,395,28,2623,0.1522176015302283,0.040506329113924,0.0
15,2021-07-15,대전,1450962,439,28,2639,0.1118562455331065,0.0569476082004555,0.0
16,2021-07-16,대전,1450913,463,28,2664,0.0714292835103951,0.060475161987041,0.0
17,2021-07-17,대전,1450880,468,28,2692,0.0963651237657358,0.0683760683760683,0.0
18,2021-07-18,대전,1450835,481,28,2724,0.1729416941181201,0.0395010395010395,0.0
19,2021-07-19,대전,1450752,545,28,2743,0.1342511136015204,0.0477064220183486,0.0
20,2021-07-20,대전,1450679,592,28,2769,0.1235988830430812,0.0506756756756756,0.0
21,2021-07-21,대전,1450606,635,28,2799,0.1278634861275083,0.0204724409448818,0.0
22,2021-07-22,대전,1450525,703,28,2812,0.0955386227329326,0.0412517780938833,0.0
23,2021-07-23,대전,1450458,741,28,2841,0.09199627947942,0.0647773279352226,0.0
24,2021-07-24,대전,1450390,761,28,2889,0.0711392075713307,0.0420499342969776,0.0
25,2021-07-25,대전,1450336,783,28,2921,0.0909102132503777,0.0319284802043422,0.0
26,2021-07-26,대전,1450265,829,28,2946,0.0858699419007641,0.0373944511459589,0.0
27,2021-07-27,대전,1450194,869,28,2977,0.0865366542054792,0.0460299194476409,0.001150747986191
28,2021-07-28,대전,1450119,903,29,3017,0.0766200470764893,0.0664451827242525,0.0
29,2021-07-29,대전,1450050,912,29,3077,0.0934600107558299,0.0537280701754386,0.0
30,2021-07-30,대전,1449965,948,29,3126,0.090974004450362,0.0337552742616033,0.0010548523206751
31,2021-07-31,대전,1449879,1001,30,3158,0.0691302250315105,0.0449550449550449,0.0
32,2021-08-01,대전,1449810,1025,30,3203,0.0626224038440024,0.0809756097560975,0.0
33,2021-08-02,대전,1449746,1006,30,3286,0.0777659388933775,0.0725646123260437,0.0
34,2021-08-03,대전,1449668,1011,30,3359,0.0585351884123339,0.0722057368941642,0.0
35,2021-08-04,대전,1449609,997,30,3432,0.0704265999309454,0.0812437311935807,0.0
36,2021-08-05,대전,1449539,986,30,3513,0.0508683793931451,0.0679513184584178,0.0
37,2021-08-06,대전,1449489,969,30,3580,0.0590093555485456,0.0691434468524251,0.001031991744066
38,2021-08-07,대전,1449432,958,31,3647,0.0345569418706913,0.0563674321503131,0.0
39,2021-08-08,대전,1449399,937,31,3701,0.0449682989091692,0.0757737459978655,0.0
40,2021-08-09,대전,1449357,908,31,3772,0.0563499677886933,0.0781938325991189,0.0
41,2021-08-10,대전,1449306,888,31,3843,0.0485825287761524,0.0844594594594594,0.0
42,2021-08-11,대전,1449263,856,31,3918,0.0597769735891735,0.080607476635514,0.0
43,2021-08-12,대전,1449212,838,31,3987,0.069444326511683,0.1002386634844868,0.0011933174224343
44,2021-08-13,대전,1449154,811,32,4071,0.0519635260742554,0.1048088779284833,0.001233045622688
45,2021-08-14,대전,1449112,767,33,4156,0.0575625568738358,0.089960886571056,0.0
46,2021-08-15,대전,1449068,742,33,4225,0.041923133833687,0.0862533692722372,0.0
47,2021-08-16,대전,1449037,709,33,4289,0.0467060292159424,0.1100141043723554,0.0
