,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2021-10-09,울산,1117467,243,56,4991,0.0372123674279353,0.1111111111111111,0.0
1,2021-10-10,울산,1117458,225,56,5018,0.0491207206196762,0.0888888888888888,0.0
2,2021-10-11,울산,1117447,216,56,5038,0.0790776960869368,0.0787037037037037,0.0
3,2021-10-12,울산,1117430,216,56,5055,0.0325618996433946,0.125,0.0
4,2021-10-13,울산,1117423,196,56,5082,0.0307583719369459,0.1377551020408163,0.0
5,2021-10-14,울산,1117417,175,56,5109,0.0459327487282852,0.1371428571428571,0.0
6,2021-10-15,울산,1117409,159,56,5133,0.0442358648078899,0.1194968553459119,0.0
7,2021-10-16,울산,1117402,147,56,5152,0.0273412888865007,0.1224489795918367,0.0
8,2021-10-17,울산,1117398,133,56,5170,0.0226645706047994,0.037593984962406,0.0
9,2021-10-18,울산,1117395,131,56,5175,0.0,0.0916030534351145,0.0
10,2021-10-19,울산,1117395,119,56,5187,0.0591058035983378,0.0336134453781512,0.0
11,2021-10-20,울산,1117388,122,56,5191,0.0082361061954381,0.1147540983606557,0.0
12,2021-10-21,울산,1117387,109,56,5205,0.0276552070207899,0.146788990825688,0.0
13,2021-10-22,울산,1117384,96,56,5221,0.0628005345521324,0.1354166666666666,0.0
14,2021-10-23,울산,1117378,89,56,5234,0.03387013309107,0.1011235955056179,0.0
15,2021-10-24,울산,1117375,83,56,5243,0.0484248986099897,0.1325301204819277,0.0
16,2021-10-25,울산,1117371,76,56,5254,0.118991870909012,0.2236842105263158,0.0
17,2021-10-26,울산,1117362,68,56,5271,0.1182150984403706,0.1029411764705882,0.0
18,2021-10-27,울산,1117354,69,56,5278,0.0873770027030474,0.0869565217391304,0.0
19,2021-10-28,울산,1117348,69,56,5284,0.0582516479367579,0.1159420289855072,0.0
20,2021-10-29,울산,1117344,65,56,5292,0.0463774395764901,0.1076923076923077,0.0
21,2021-10-30,울산,1117341,61,56,5299,0.0823645264024876,0.0655737704918032,0.0
22,2021-10-31,울산,1117336,62,56,5303,0.1944874294318029,0.0483870967741935,0.0
23,2021-11-01,울산,1117324,71,56,5306,0.0990709517675052,0.0,0.0
24,2021-11-02,울산,1117317,78,56,5306,0.0901805338948065,0.0897435897435897,0.0
25,2021-11-03,울산,1117310,78,56,5313,0.051532056502924,0.0128205128205128,0.0
26,2021-11-04,울산,1117306,81,56,5314,0.0620295493395014,0.037037037037037,0.0
27,2021-11-05,울산,1117301,83,56,5317,0.1452843175232207,0.072289156626506,0.0
28,2021-11-06,울산,1117289,89,56,5323,0.0112909436958667,0.0337078651685393,0.0
29,2021-11-07,울산,1117288,87,56,5326,0.0577525797894688,0.0459770114942528,0.0
30,2021-11-08,울산,1117283,88,56,5330,0.0456772447901821,0.1022727272727272,0.0
31,2021-11-09,울산,1117279,83,56,5339,0.0605363242801678,0.0843373493975903,0.0120481927710843
32,2021-11-10,울산,1117274,80,57,5346,0.2512268700426216,0.075,0.0
33,2021-11-11,울산,1117254,94,57,5352,0.0427627859170978,0.0425531914893617,0.0
34,2021-11-12,울산,1117250,94,57,5356,0.0106907347543122,0.0319148936170212,0.0
35,2021-11-13,울산,1117249,92,57,5359,0.0764620626587969,0.0543478260869565,0.0
36,2021-11-14,울산,1117242,94,57,5364,0.0427632452208396,0.1276595744680851,0.0
37,2021-11-15,울산,1117238,86,57,5376,0.1051681249486638,0.0813953488372093,0.0
38,2021-11-16,울산,1117229,88,57,5383,0.1598780839184999,0.0795454545454545,0.0
39,2021-11-17,울산,1117215,95,57,5390,0.1057853209708257,0.0421052631578947,0.0
40,2021-11-18,울산,1117205,101,57,5394,0.0398007740409112,0.0495049504950495,0.0
41,2021-11-19,울산,1117201,100,57,5399,0.0502486571351081,0.12,0.0
42,2021-11-20,울산,1117196,93,57,5411,0.0972559006886942,0.010752688172043,0.0
43,2021-11-21,울산,1117187,101,57,5412,0.0995035382670408,0.0495049504950495,0.0
44,2021-11-22,울산,1117177,106,57,5417,0.0663675766585592,0.0377358490566037,0.0
45,2021-11-23,울산,1117170,109,57,5421,0.1014221222316907,0.0458715596330275,0.0
46,2021-11-24,울산,1117159,115,57,5426,0.1136099306560114,0.1739130434782608,0.0
47,2021-11-25,울산,1117146,108,57,5446,0.1209749450169681,0.037037037037037,0.0
48,2021-11-26,울산,1117133,117,57,5450,0.0601302581935147,0.0085470085470085,0.0
49,2021-11-27,울산,1117126,123,57,5451,0.0326842475819447,0.056910569105691,0.0
50,2021-11-28,울산,1117122,120,57,5458,0.0167507368637146,0.0333333333333333,0.0
51,2021-11-29,울산,1117120,118,57,5462,0.0255520172331758,0.0762711864406779,0.0
52,2021-11-30,울산,1117117,112,57,5471,0.1525520363706628,0.125,0.0
53,2021-12-01,울산,1117100,115,57,5485,0.1573143660020316,0.0869565217391304,0.0
54,2021-12-02,울산,1117082,123,57,5495,0.1634276748001831,0.032520325203252,0.0
55,2021-12-03,울산,1117062,139,57,5499,0.0506164558676782,0.0359712230215827,0.0
56,2021-12-04,울산,1117055,141,57,5504,0.1140544106112859,0.0638297872340425,0.0
57,2021-12-05,울산,1117039,148,57,5513,0.1018701577914371,0.0675675675675675,0.0
58,2021-12-06,울산,1117024,153,57,5523,0.091972898201402,0.0457516339869281,0.0
59,2021-12-07,울산,1117010,160,57,5530,0.1633360601068925,0.06875,0.0
60,2021-12-08,울산,1116984,175,57,5541,0.2814471469600281,0.0742857142857142,0.0
61,2021-12-09,울산,1116935,211,57,5554,0.2048537279055621,0.0616113744075829,0.0
62,2021-12-10,울산,1116892,241,57,5567,0.1418196684299226,0.0290456431535269,0.0
63,2021-12-11,울산,1116858,268,57,5574,0.1875525711883147,0.0149253731343283,0.0
64,2021-12-12,울산,1116808,314,57,5578,0.1248654291436691,0.0063694267515923,0.0
65,2021-12-13,울산,1116769,351,57,5580,0.2434637071746447,0.0085470085470085,0.0
66,2021-12-14,울산,1116684,433,57,5583,0.136999692747522,0.0346420323325635,0.0046189376443418
67,2021-12-15,울산,1116625,475,59,5598,0.1608786477107354,0.0378947368421052,0.0
68,2021-12-16,울산,1116549,533,59,5616,0.1075364340805554,0.0375234521575985,0.0
69,2021-12-17,울산,1116492,570,59,5636,0.0811545981960666,0.0122807017543859,0.0
70,2021-12-18,울산,1116446,609,59,5643,0.0644014082018125,0.0262725779967159,0.0
71,2021-12-19,울산,1116407,632,59,5659,0.0572860190398554,0.0237341772151898,0.0
72,2021-12-20,울산,1116371,653,59,5674,0.0539053770598853,0.0199081163859111,0.001531393568147
73,2021-12-21,울산,1116336,674,60,5687,0.0581963238087023,0.0385756676557863,0.0
74,2021-12-22,울산,1116297,687,60,5713,0.0644172162688664,0.0698689956331877,0.0014556040756914
75,2021-12-23,울산,1116253,682,61,5761,0.0634172219226948,0.063049853372434,0.0
76,2021-12-24,울산,1116210,682,61,5804,0.0929171835432537,0.0498533724340175,0.0
