,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2021-10-09,力林,673561,125,2,2830,0.0562458455878532,0.056,0.0
1,2021-10-10,力林,673554,125,2,2837,0.0642816344346555,0.072,0.0
2,2021-10-11,力林,673546,124,2,2846,0.0567007038243334,0.0564516129032258,0.0
3,2021-10-12,力林,673539,124,2,2853,0.0891020320254463,0.0403225806451612,0.0
4,2021-10-13,力林,673528,130,2,2858,0.0695381061195103,0.1153846153846153,0.0
5,2021-10-14,力林,673519,124,2,2873,0.081004252628072,0.0725806451612903,0.0
6,2021-10-15,力林,673509,125,2,2882,0.0562501881934762,0.064,0.0
7,2021-10-16,力林,673502,124,2,2890,0.0405031486363859,0.0403225806451612,0.0
8,2021-10-17,力林,673497,124,2,2895,0.0486041391951023,0.0564516129032258,0.0
9,2021-10-18,力林,673491,123,2,2902,0.0408331094362316,0.040650406504065,0.0
10,2021-10-19,力林,673486,123,2,2907,0.0245000475501944,0.032520325203252,0.0
11,2021-10-20,力林,673483,122,2,2911,0.0494019552819897,0.0737704918032786,0.0
12,2021-10-21,力林,673477,119,2,2920,0.0506478339431104,0.0756302521008403,0.0
13,2021-10-22,力林,673471,116,2,2929,0.025979077306096,0.2241379310344827,0.0
14,2021-10-23,力林,673468,93,2,2955,0.086411079329966,0.075268817204301,0.0
15,2021-10-24,力林,673460,94,2,2962,0.1175526386125382,0.0851063829787234,0.0
16,2021-10-25,力林,673449,97,2,2970,0.0621375549251749,0.0721649484536082,0.0
17,2021-10-26,力林,673443,96,2,2977,0.0732496105832267,0.1145833333333333,0.0
18,2021-10-27,力林,673436,92,2,2988,0.0436772404310974,0.0978260869565217,0.0
19,2021-10-28,力林,673432,87,2,2997,0.0461877010033217,0.1149425287356321,0.0
20,2021-10-29,力林,673428,81,2,3007,0.1116209404222376,0.0864197530864197,0.0
21,2021-10-30,力林,673419,83,2,3014,0.0121036372260189,0.0602409638554216,0.0
22,2021-10-31,力林,673418,79,2,3019,0.0254329970013922,0.0759493670886076,0.0
23,2021-11-01,力林,673416,75,2,3025,0.0267895030709101,0.0666666666666666,0.0
24,2021-11-02,力林,673414,72,2,3030,0.2371994295732887,0.0416666666666666,0.0
25,2021-11-03,力林,673397,86,2,3033,0.1985905822651146,0.0581395348837209,0.0116279069767441
26,2021-11-04,力林,673380,97,3,3038,0.0725012423860794,0.0618556701030927,0.0
27,2021-11-05,力林,673373,98,3,3044,0.0410069598748936,0.0204081632653061,0.010204081632653
28,2021-11-06,力林,673369,99,4,3046,0.1420754625193796,0.0808080808080808,0.0
29,2021-11-07,力林,673355,105,4,3054,0.1530967426437126,0.1047619047619047,0.0
30,2021-11-08,力林,673339,110,4,3065,0.182676590435535,0.0454545454545454,0.009090909090909
31,2021-11-09,力林,673319,124,5,3070,0.0891311451902992,0.0564516129032258,0.0
32,2021-11-10,力林,673308,128,5,3077,0.1098964459801458,0.03125,0.0
33,2021-11-11,力林,673294,138,5,3081,0.1529025823850321,0.0289855072463768,0.0
34,2021-11-12,力林,673273,155,5,3085,0.0972406198837139,0.0580645161290322,0.0
35,2021-11-13,力林,673258,161,5,3094,0.087377576165323,-0.0062111801242236,0.0124223602484472
36,2021-11-14,力林,673244,174,7,3093,0.0577507483580785,0.0114942528735632,0.0
37,2021-11-15,力林,673234,182,7,3095,0.2374162183277587,0.0109890109890109,0.0
38,2021-11-16,力林,673191,223,7,3097,0.1036487402581719,0.0717488789237668,0.0044843049327354
39,2021-11-17,力林,673168,229,8,3113,0.1228792189744649,0.0698689956331877,0.0043668122270742
40,2021-11-18,力林,673140,240,9,3129,0.1298148602073862,0.0291666666666666,0.0
41,2021-11-19,力林,673109,264,9,3136,0.0875624426085792,0.0151515151515151,0.0
42,2021-11-20,力林,673086,283,9,3140,0.0532737934275385,0.0494699646643109,0.0
43,2021-11-21,力林,673071,284,9,3154,0.0601657117520259,0.056338028169014,0.0
44,2021-11-22,力林,673054,285,9,3170,0.1022780842015804,0.0701754385964912,0.0
45,2021-11-23,力林,673025,294,9,3190,0.075218299347524,0.0374149659863945,0.0
46,2021-11-24,力林,673003,305,9,3201,0.0955785669530179,0.0459016393442622,0.0
47,2021-11-25,力林,672974,320,9,3215,0.100526617670222,0.065625,0.0
48,2021-11-26,力林,672942,331,9,3236,0.0820044635854783,0.0453172205438066,0.0
49,2021-11-27,力林,672915,343,9,3251,0.1025871751701059,0.0408163265306122,0.0
50,2021-11-28,力林,672880,364,9,3265,0.1215326671901395,0.0274725274725274,0.0
51,2021-11-29,力林,672836,398,9,3275,0.055578874104066,0.1080402010050251,0.0
52,2021-11-30,力林,672814,377,9,3318,0.0720123113470949,0.0610079575596817,0.0
53,2021-12-01,力林,672787,381,9,3341,0.0818160452766526,0.0734908136482939,0.0
54,2021-12-02,力林,672756,384,9,3369,0.0523745793422875,0.0807291666666666,0.0
