,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2020-03-07,措备,2384065,4934,31,120,0.0603229579972534,0.0267531414673692,0.0008107012565869
1,2020-03-08,措备,2383768,5095,35,252,0.0373756577644308,0.0298331697742885,0.0
2,2020-03-09,措备,2383578,5133,35,404,0.0179651402522919,0.0099357101110461,0.0005844535359438
3,2020-03-10,措备,2383486,5171,38,455,0.025393792693347,0.0344227422162057,0.0011603171533552
4,2020-03-11,措备,2383355,5118,44,633,0.0141022008876071,0.0656506447831184,0.0007815552950371
5,2020-03-12,措备,2383283,4850,48,969,0.0126082815564846,0.0610309278350515,0.0
6,2020-03-13,措备,2383222,4615,48,1265,0.0134678695803089,0.1601300108342362,0.0006500541711809
7,2020-03-14,措备,2383160,3935,51,2004,0.0104455024777519,0.1296060991105463,0.0005082592121982
8,2020-03-15,措备,2383119,3464,53,2514,0.0101294962755288,0.1492494226327944,0.0
9,2020-03-16,措备,2383084,2982,53,3031,0.0107583682480748,0.1730382293762575,0.0013413816230717
10,2020-03-17,措备,2383052,2494,57,3547,0.0184914633356064,0.1591820368885324,0.0004009623095429
11,2020-03-18,措备,2383006,2142,58,3944,0.0454015363453028,0.1489262371615312,0.0032679738562091
12,2020-03-19,措备,2382909,1913,65,4263,0.0178196802414461,0.1907997909043387,0.0010454783063251
13,2020-03-20,措备,2382875,1580,67,4628,0.0437858878322842,0.2430379746835443,0.0037974683544303
14,2020-03-21,措备,2382806,1259,73,5012,0.0342450226467799,0.2343129467831612,0.0015885623510722
15,2020-03-22,措备,2382763,1005,75,5307,0.0239446089930928,0.1820895522388059,0.0069651741293532
16,2020-03-23,措备,2382739,839,82,5490,0.0370481628508115,0.102502979737783,0.0071513706793802
17,2020-03-24,措备,2382708,778,88,5576,0.018043510347236,0.1632390745501285,0.0051413881748071
18,2020-03-25,措备,2382694,661,92,5703,0.0394409198013694,0.1059001512859304,0.0030257186081694
19,2020-03-26,措备,2382668,615,94,5773,0.055434953350989,0.0926829268292682,0.0065040650406504
20,2020-03-27,措备,2382634,588,98,5830,0.1210785203769139,0.1003401360544217,0.0051020408163265
21,2020-03-28,措备,2382563,597,101,5889,0.0386324747163543,0.0603015075376884,0.0083752093802345
22,2020-03-29,措备,2382540,579,106,5925,0.0242467027649175,0.0518134715025906,0.0086355785837651
23,2020-03-30,措备,2382526,558,111,5955,0.1078258325249611,0.0519713261648745,0.0053763440860215
24,2020-03-31,措备,2382466,586,114,5984,0.0342254435662038,0.0767918088737201,0.0017064846416382
25,2020-04-01,措备,2382446,560,115,6029,0.0376055218040618,0.1696428571428571,0.0035714285714285
26,2020-04-02,措备,2382425,484,117,6124,0.0186475305519404,0.0619834710743801,0.0082644628099173
27,2020-04-03,措备,2382416,459,121,6154,0.0589897966157537,0.1481481481481481,0.0021786492374727
28,2020-04-04,措备,2382389,417,122,6222,0.016834209481158,0.0911270983213429,0.0119904076738609
29,2020-04-05,措备,2382382,381,127,6260,0.0342176669424862,0.0577427821522309,0.0052493438320209
30,2020-04-06,措备,2382369,370,129,6282,0.0352351412010935,0.0702702702702702,0.0135135135135135
31,2020-04-07,措备,2382356,352,134,6308,0.0256410971286025,0.03125,0.0085227272727272
32,2020-04-08,措备,2382347,347,137,6319,0.0115602949552536,0.069164265129683,0.0057636887608069
33,2020-04-09,措备,2382343,325,139,6343,0.0,0.0953846153846153,0.0092307692307692
34,2020-04-10,措备,2382343,291,142,6374,0.024123714427063,0.2336769759450171,0.0103092783505154
35,2020-04-11,措备,2382336,227,145,6442,0.0088357728446712,0.0969162995594713,0.0044052863436123
36,2020-04-12,措备,2382334,206,146,6464,0.0146047727153042,0.0631067961165048,0.0048543689320388
37,2020-04-13,措备,2382331,195,147,6477,0.0154286511178143,0.282051282051282,0.0256410256410256
38,2020-04-14,措备,2382328,138,152,6532,0.0072671274314117,0.1231884057971014,0.0217391304347826
39,2020-04-15,措备,2382327,119,155,6549,0.0337097145040164,0.1512605042016806,0.0252100840336134
40,2020-04-16,措备,2382323,102,158,6567,0.0,0.0784313725490196,0.0098039215686274
41,2020-04-17,措备,2382323,93,159,6575,0.0323505061398935,0.2795698924731182,0.010752688172043
42,2020-04-18,措备,2382320,69,160,6601,0.0290686073397701,0.0869565217391304,0.0144927536231884
43,2020-04-19,措备,2382318,64,161,6607,0.0156698092991783,0.171875,0.03125
44,2020-04-20,措备,2382317,52,163,6618,0.038571854465793,0.2307692307692307,0.0192307692307692
45,2020-04-21,措备,2382315,41,164,6630,0.0244602209277581,0.1951219512195122,0.024390243902439
46,2020-04-22,措备,2382314,33,165,6638,0.1215599368487694,0.0909090909090909,0.0303030303030303
47,2020-04-23,措备,2382310,33,166,6641,0.0911701057148123,0.0,0.0
48,2020-04-24,措备,2382307,36,166,6641,0.0557151347645603,0.1944444444444444,0.0
49,2020-04-25,措备,2382305,31,166,6648,0.0323507505708587,0.0,0.064516129032258
50,2020-04-26,措备,2382304,30,168,6648,0.0334291229554806,0.0666666666666666,0.0333333333333333
51,2020-04-27,措备,2382303,28,169,6650,0.0716338649737549,0.0714285714285714,0.0357142857142857
52,2020-04-28,措备,2382301,27,170,6652,0.1114305501744368,0.0,0.037037037037037
53,2020-04-29,措备,2382298,29,171,6652,0.0,0.1034482758620689,0.0344827586206896
54,2020-04-30,措备,2382298,25,172,6655,0.0,0.0,0.0
55,2020-05-01,措备,2382298,25,172,6655,0.0,0.04,0.08
56,2020-05-02,措备,2382298,22,174,6656,0.1823411299052046,0.0909090909090909,0.0
57,2020-05-03,措备,2382294,24,174,6658,0.0,0.0416666666666666,0.0
58,2020-05-04,措备,2382294,23,174,6659,0.0,0.0,0.0869565217391304
59,2020-05-05,措备,2382294,21,176,6659,0.0,0.0,0.0476190476190476
60,2020-05-06,措备,2382294,20,177,6659,0.0,0.15,0.05
61,2020-05-07,措备,2382294,16,178,6662,0.1880396059428433,0.1875,0.0
62,2020-05-08,措备,2382291,16,178,6665,0.0,0.125,0.0
63,2020-05-09,措备,2382291,14,178,6667,0.1432684516111352,0.0714285714285714,0.0
