,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2020-09-23,강원,1539057,10,3,207,0.2000285889346528,0.2,0.0
1,2020-09-24,강원,1539055,10,3,209,0.1000144244357739,0.0,0.0
2,2020-09-25,강원,1539054,11,3,209,0.0,0.2727272727272727,0.0
3,2020-09-26,강원,1539054,8,3,212,0.0,0.125,0.0
4,2020-09-27,강원,1539054,7,3,213,0.142877842028749,0.0,0.0
5,2020-09-28,강원,1539053,8,3,213,0.0,0.125,0.0
6,2020-09-29,강원,1539053,7,3,214,0.0,0.0,0.0
7,2020-09-30,강원,1539053,7,3,214,0.0,0.0,0.0
8,2020-10-01,강원,1539053,7,3,214,0.0,0.0,0.0
9,2020-10-02,강원,1539053,7,3,214,0.0,0.0,0.0
10,2020-10-03,강원,1539053,7,3,214,0.0,0.0,0.0
11,2020-10-04,강원,1539053,7,3,214,0.0,0.0,0.0
12,2020-10-05,강원,1539053,7,3,214,0.0,0.2857142857142857,0.0
13,2020-10-06,강원,1539053,5,3,216,0.0,0.2,0.0
14,2020-10-07,강원,1539053,4,3,217,0.0,0.5,0.0
15,2020-10-08,강원,1539053,2,3,219,0.0,0.5,0.0
16,2020-10-09,강원,1539053,1,3,220,0.0,0.0,0.0
17,2020-10-10,강원,1539053,1,3,220,2.0002910880911835,0.0,0.0
18,2020-10-11,강원,1539051,3,3,220,0.3333822812456074,0.3333333333333333,0.0
19,2020-10-12,강원,1539050,3,3,221,1.333529991444939,0.0,0.0
20,2020-10-13,강원,1539046,7,3,221,0.0,0.0,0.0
21,2020-10-14,강원,1539046,7,3,221,0.1428785847113824,0.0,0.0
22,2020-10-15,강원,1539045,8,3,221,0.0,0.0,0.0
23,2020-10-16,강원,1539045,8,3,221,0.375056528561543,0.0,0.0
24,2020-10-17,강원,1539042,11,3,221,0.1818459440707566,0.0,0.0
25,2020-10-18,강원,1539040,13,3,221,0.0769349224691516,0.0,0.0
26,2020-10-19,강원,1539039,14,3,221,0.2143188518475304,0.0,0.0
27,2020-10-20,강원,1539036,17,3,221,0.1176654813563203,0.0,0.0
28,2020-10-21,강원,1539034,19,3,221,0.1052797780261754,0.0,0.0
29,2020-10-22,강원,1539032,21,3,221,0.0476266281415232,0.0,0.0
30,2020-10-23,강원,1539031,22,3,221,0.0,0.0,0.0
31,2020-10-24,강원,1539031,22,3,221,0.0,0.0909090909090909,0.0
32,2020-10-25,강원,1539031,20,3,223,0.0,0.05,0.0
33,2020-10-26,강원,1539031,19,3,224,0.3158399497373416,0.2105263157894736,0.0
34,2020-10-27,강원,1539025,21,3,228,0.6667758266868092,0.0,0.0
35,2020-10-28,강원,1539011,35,3,228,0.2000345676541623,0.0285714285714285,0.0
36,2020-10-29,강원,1539004,41,3,229,0.1463674225541245,0.0,0.0
37,2020-10-30,강원,1538998,47,3,229,0.0,0.0638297872340425,0.0
38,2020-10-31,강원,1538998,44,3,232,0.0681941786444521,0.0454545454545454,0.0
39,2020-11-01,강원,1538995,45,3,234,0.0222262941436168,0.0222222222222222,0.0
40,2020-11-02,강원,1538994,45,3,235,0.0222263085857095,0.0666666666666666,0.0
41,2020-11-03,강원,1538993,43,3,238,0.0,0.0465116279069767,0.0
42,2020-11-04,강원,1538993,41,3,240,0.0243947447866329,0.048780487804878,0.0
43,2020-11-05,강원,1538992,40,3,242,0.1750324075758678,0.025,0.0
44,2020-11-06,강원,1538985,46,3,243,0.0869730204732622,0.0,0.0
45,2020-11-07,강원,1538981,50,3,243,0.1800346203104521,0.0,0.0
46,2020-11-08,강원,1538972,59,3,243,0.1864776275706297,0.0,0.0
47,2020-11-09,강원,1538961,70,3,243,0.0428659428573656,0.0857142857142857,0.0
48,2020-11-10,강원,1538958,67,3,249,0.1343562022087711,0.208955223880597,0.0
49,2020-11-11,강원,1538949,62,3,263,0.0967948192711913,0.1129032258064516,0.0
50,2020-11-12,강원,1538943,61,3,270,0.3771310120956663,0.0983606557377049,0.0
51,2020-11-13,강원,1538920,78,3,276,0.2308227648160848,-0.0128205128205128,0.0128205128205128
52,2020-11-14,강원,1538902,96,4,275,0.1979648950463815,0.03125,0.0
53,2020-11-15,강원,1538883,112,4,278,0.1786171481893963,0.0089285714285714,0.0
54,2020-11-16,강원,1538863,131,4,279,0.0992633388347845,0.0076335877862595,0.0
55,2020-11-17,강원,1538850,143,4,280,0.0349747370607103,-0.0069930069930069,0.0069930069930069
56,2020-11-18,강원,1538845,148,5,279,0.1351730716254108,0.0067567567567567,0.0
57,2020-11-19,강원,1538825,167,5,280,0.1437547876320207,0.0419161676646706,0.0
58,2020-11-20,강원,1538801,184,5,287,0.0815469563923329,0.0217391304347826,0.0
59,2020-11-21,강원,1538786,195,5,291,0.0666879388470304,0.0461538461538461,0.0
60,2020-11-22,강원,1538773,199,5,300,0.0603212583130133,0.050251256281407,0.0050251256281407
61,2020-11-23,강원,1538761,200,6,310,0.2300771269872319,0.015,0.0
62,2020-11-24,강원,1538715,243,6,313,0.0535174819660395,0.037037037037037,0.0
63,2020-11-25,강원,1538702,247,6,322,0.0324007673390122,0.0242914979757085,0.0
64,2020-11-26,강원,1538694,249,6,328,0.0361582732319026,0.0923694779116465,0.0
65,2020-11-27,강원,1538685,235,6,351,0.1404795598120224,0.076595744680851,0.0
66,2020-11-28,강원,1538652,250,6,369,0.0760308711781481,0.076,0.0
67,2020-11-29,강원,1538633,250,6,388,0.0320133937072713,0.08,0.0
68,2020-11-30,강원,1538625,238,6,408,0.0378311503982533,0.0546218487394958,0.0
69,2020-12-01,강원,1538616,234,6,421,0.05130408240346,0.0213675213675213,0.0
70,2020-12-02,강원,1538604,241,6,426,0.0332095405641786,0.0829875518672199,0.0
71,2020-12-03,강원,1538596,229,6,446,0.0131062350827393,0.1048034934497816,0.0
72,2020-12-04,강원,1538593,208,6,470,0.0432884666255268,0.0721153846153846,0.0
73,2020-12-05,강원,1538584,202,6,485,0.0594326978701208,0.0544554455445544,0.0099009900990099
74,2020-12-06,강원,1538572,201,8,496,0.0447966365865677,0.0547263681592039,0.0049751243781094
75,2020-12-07,강원,1538563,198,9,507,0.040422790682611,0.2323232323232323,0.0
76,2020-12-08,강원,1538555,160,9,553,0.0312646647341174,0.075,0.00625
77,2020-12-09,강원,1538550,152,10,565,0.0987308410687438,0.0526315789473684,0.0
78,2020-12-10,강원,1538535,159,10,573,0.0692157550105913,0.050314465408805,0.0062893081761006
79,2020-12-11,강원,1538524,161,11,581,0.2237119222649001,0.2049689440993788,0.0
80,2020-12-12,강원,1538488,164,11,614,0.1098123850074656,0.1097560975609756,0.0060975609756097
81,2020-12-13,강원,1538470,163,12,632,0.0859346236785881,0.0490797546012269,0.0
82,2020-12-14,강원,1538456,169,12,640,0.0769641270708574,0.0532544378698224,0.0
83,2020-12-15,강원,1538443,173,12,649,0.046267843076642,0.0693641618497109,0.0
84,2020-12-16,강원,1538435,169,12,661,0.0532835845264484,0.0414201183431952,0.0059171597633136
85,2020-12-17,강원,1538426,170,13,668,0.1059409231176769,0.0176470588235294,0.0
86,2020-12-18,강원,1538408,185,13,671,0.1460283863824407,0.0486486486486486,0.0
87,2020-12-19,강원,1538381,203,13,680,0.2710937619554827,0.0591133004926108,0.0
88,2020-12-20,강원,1538326,246,13,692,0.1016888419170542,0.0365853658536585,0.0
89,2020-12-21,강원,1538301,262,13,701,0.0878419569570634,0.0305343511450381,0.0
90,2020-12-22,강원,1538278,277,13,709,0.046961886488076,0.0180505415162454,0.0
91,2020-12-23,강원,1538265,285,13,714,0.0737326861927663,0.0526315789473684,0.0
92,2020-12-24,강원,1538244,291,13,729,0.0481422736405168,0.0378006872852233,0.0
93,2020-12-25,강원,1538230,294,13,740,0.12253232478835,0.1224489795918367,0.0
94,2020-12-26,강원,1538194,294,13,776,0.0782863730138725,0.0612244897959183,0.0
95,2020-12-27,강원,1538171,299,13,794,0.0903659329977509,0.0468227424749163,0.0
96,2020-12-28,강원,1538144,312,13,808,0.0673572712907944,0.0416666666666666,0.0
97,2020-12-29,강원,1538123,320,13,821,0.0531648578332162,0.025,0.0
98,2020-12-30,강원,1538106,329,13,829,0.1095057985833656,0.0273556231003039,0.0
99,2020-12-31,강원,1538070,356,13,838,0.0843357935156295,0.0505617977528089,0.0
100,2021-01-01,강원,1538040,368,13,856,0.0843068814713927,0.0733695652173913,0.0
101,2021-01-02,강원,1538009,372,13,883,0.0887828134484468,0.1424731182795699,0.0053763440860215
102,2021-01-03,강원,1537976,350,15,936,0.0800676733577117,0.0657142857142857,0.0057142857142857
103,2021-01-04,강원,1537948,353,17,959,0.0765533477000968,0.065155807365439,0.0
104,2021-01-05,강원,1537921,357,17,982,0.0448574435759656,0.0364145658263305,0.0
105,2021-01-06,강원,1537905,360,17,995,0.0834076768937829,0.0583333333333333,0.0
106,2021-01-07,강원,1537875,369,17,1016,0.0298374745886774,0.035230352303523,0.002710027100271
