,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2021-06-11,경기,13486324,2323,645,38007,0.075130717938926,0.0594059405940594,0.0004304778303917
1,2021-06-12,경기,13486150,2358,646,38145,0.0633819463329854,0.0674300254452926,0.0004240882103477
2,2021-06-13,경기,13486001,2347,647,38304,0.0521404341558773,0.0549637835534725,0.0004260758414997
3,2021-06-14,경기,13485879,2339,648,38433,0.0514615490786594,0.049593843522873,0.0
4,2021-06-15,경기,13485759,2343,648,38549,0.0813424047867763,0.0819462227912932,0.0
5,2021-06-16,경기,13485569,2341,648,38741,0.0784136175413294,0.0901324220418624,0.0
6,2021-06-17,경기,13485386,2313,648,38952,0.0663534495325111,0.0899265023778642,0.0004323389537397
7,2021-06-18,경기,13485233,2257,649,39160,0.0644449777427309,0.0934869295525033,0.0
8,2021-06-19,경기,13485088,2191,649,39371,0.0517360622600701,0.0725696029210406,0.0004564125969876
9,2021-06-20,경기,13484975,2144,650,39530,0.0425772448637072,0.0704291044776119,0.0
10,2021-06-21,경기,13484884,2084,650,39681,0.0442847285911419,0.0623800383877159,0.0
11,2021-06-22,경기,13484792,2046,650,39811,0.0936471522875714,0.0786901270772238,0.0
12,2021-06-23,경기,13484601,2076,650,39972,0.0893958520860537,0.0862235067437379,0.0004816955684007
13,2021-06-24,경기,13484416,2081,651,40151,0.088218152188007,0.083133109082172,0.0
14,2021-06-25,경기,13484233,2091,651,40324,0.0901962865565523,0.0827355332376853,0.0004782400765184
15,2021-06-26,경기,13484045,2105,652,40497,0.0824489063497212,0.0707838479809976,0.0
16,2021-06-27,경기,13483872,2129,652,40646,0.0763371288464652,0.0573038985439173,0.0
17,2021-06-28,경기,13483710,2169,652,40768,0.1063824456402722,0.0544029506685108,0.0009220839096357
18,2021-06-29,경기,13483480,2279,654,40886,0.1056515835379632,0.0833698990785432,0.0
19,2021-06-30,경기,13483240,2329,654,41076,0.1072621957552788,0.0785744954916273,0.0
20,2021-07-01,경기,13482991,2395,654,41259,0.1105918833476701,0.0638830897703549,0.0
21,2021-07-02,경기,13482727,2506,654,41412,0.1008910920082658,0.0578611332801276,0.0
22,2021-07-03,경기,13482475,2613,654,41557,0.0886980426342416,0.0428626100267891,0.0003827018752391
23,2021-07-04,경기,13482244,2731,655,41669,0.0808257768596741,0.0329549615525448,0.0003661662394727
24,2021-07-05,경기,13482024,2860,656,41759,0.0803388189314182,0.0314685314685314,0.0006993006993006
25,2021-07-06,경기,13481795,2997,658,41849,0.1228691041319354,0.0637303970637303,0.0
26,2021-07-07,경기,13481428,3173,658,42040,0.123962745928037,0.0579892845887173,0.0003151591553734
27,2021-07-08,경기,13481036,3380,659,42224,0.120233681174023,0.0541420118343195,0.0
28,2021-07-09,경기,13480631,3602,659,42407,0.1256416704456481,0.0521932259855635,0.0
29,2021-07-10,경기,13480180,3865,659,42595,0.105672092946379,0.0445019404915912,0.0002587322121604
30,2021-07-11,경기,13479773,4099,660,42767,0.0800568218439177,0.0392778726518663,0.000243961941937
31,2021-07-12,경기,13479446,4264,661,42928,0.0748426179188269,0.0537054409005628,0.0002345215759849
32,2021-07-13,경기,13479128,4352,662,43157,0.1069986716085177,0.0551470588235294,0.0
