,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2020-09-23,版合,2620652,44,55,1423,0.045480944159212,0.0681818181818181,0.0
1,2020-09-24,版合,2620650,43,55,1426,0.1396160281556279,0.0465116279069767,0.0
2,2020-09-25,版合,2620644,47,55,1428,0.0638670527208725,0.0425531914893617,0.0
3,2020-09-26,版合,2620641,48,55,1430,0.1250731214233464,0.0416666666666666,0.0
4,2020-09-27,版合,2620635,52,55,1432,0.076968250942116,0.0192307692307692,0.0
5,2020-09-28,版合,2620631,55,55,1433,0.0363850468906846,0.0181818181818181,0.0
6,2020-09-29,版合,2620629,56,55,1434,0.107206023548436,0.0178571428571428,0.0178571428571428
7,2020-09-30,版合,2620623,60,56,1435,0.0833826536667044,0.1,0.0
8,2020-10-01,版合,2620618,59,56,1441,0.0678368646153603,0.0847457627118644,0.0
9,2020-10-02,版合,2620614,58,56,1446,0.0345032855290585,0.0689655172413793,0.0
10,2020-10-03,版合,2620612,56,56,1450,0.0714711459983938,0.0892857142857142,0.0
11,2020-10-04,版合,2620608,55,56,1455,0.018192683113648,0.0181818181818181,0.0
12,2020-10-05,版合,2620607,55,56,1456,0.0,0.0727272727272727,0.0
13,2020-10-06,版合,2620607,51,56,1460,0.0,0.1176470588235294,0.0
14,2020-10-07,版合,2620607,45,56,1466,0.0222355100682144,0.0444444444444444,0.0
15,2020-10-08,版合,2620606,44,56,1468,0.0,0.1363636363636363,0.0
16,2020-10-09,版合,2620606,38,56,1474,0.0,0.0789473684210526,0.0
17,2020-10-10,版合,2620606,35,56,1477,0.0,0.1714285714285714,0.0
18,2020-10-11,版合,2620606,29,56,1483,0.0345033908582397,0.1379310344827586,0.0
19,2020-10-12,版合,2620605,26,56,1487,0.0384845660272517,0.0769230769230769,0.0
20,2020-10-13,版合,2620604,25,56,1489,0.0,0.24,0.0
21,2020-10-14,版合,2620604,19,56,1495,0.0526631104488647,0.2631578947368421,0.0
22,2020-10-15,版合,2620603,15,56,1500,0.0,0.2666666666666666,0.0
23,2020-10-16,版合,2620603,11,56,1504,0.0,0.1818181818181818,0.0
24,2020-10-17,版合,2620603,9,56,1506,0.0,0.4444444444444444,0.0
25,2020-10-18,版合,2620603,5,56,1510,0.4002397921394427,0.2,0.0
26,2020-10-19,版合,2620601,6,56,1511,0.3335334146632776,0.0,0.0
27,2020-10-20,版合,2620599,8,56,1511,0.2501502519080561,0.0,0.0
28,2020-10-21,版合,2620597,10,56,1511,0.1000601771275781,0.1,0.0
29,2020-10-22,版合,2620596,10,56,1512,0.0,-0.1,0.1
30,2020-10-23,版合,2620596,10,57,1511,0.0,0.0,0.0
31,2020-10-24,版合,2620596,10,57,1511,0.0,0.0,0.0
32,2020-10-25,版合,2620596,10,57,1511,0.3001806459293992,0.1,0.0
33,2020-10-26,版合,2620593,12,57,1512,0.0,0.0833333333333333,0.0
34,2020-10-27,版合,2620593,11,57,1513,0.4548196811665423,0.0,0.0
35,2020-10-28,版合,2620588,16,57,1513,0.0625378254803883,0.0625,0.0
36,2020-10-29,版合,2620587,16,57,1514,0.0,0.0,0.0
37,2020-10-30,版合,2620587,16,57,1514,0.0,0.0,0.0
38,2020-10-31,版合,2620587,16,57,1514,0.0,0.0,0.0
39,2020-11-01,版合,2620587,16,57,1514,0.0625378493444407,0.125,0.0
40,2020-11-02,版合,2620586,15,57,1516,0.0,0.1333333333333333,0.0
41,2020-11-03,版合,2620586,13,57,1518,0.1539393802055664,0.1538461538461538,0.0
42,2020-11-04,版合,2620584,13,57,1520,0.0,0.0769230769230769,0.0
43,2020-11-05,版合,2620584,12,57,1521,0.0833838945822763,0.0,0.0
44,2020-11-06,版合,2620583,13,57,1521,0.0,0.0,0.0
45,2020-11-07,版合,2620583,13,57,1521,0.1539395564328184,0.0,0.0
46,2020-11-08,版合,2620581,15,57,1521,0.0667071920310801,0.2,0.0
47,2020-11-09,版合,2620580,13,57,1524,0.0769698663302369,0.0,0.0
48,2020-11-10,版合,2620579,14,57,1524,0.0,0.3571428571428571,0.0
49,2020-11-11,版合,2620579,9,57,1529,0.1111787382355833,0.1111111111111111,0.0
50,2020-11-12,版合,2620578,9,57,1530,0.0,0.0,0.0
51,2020-11-13,版合,2620578,9,57,1530,0.0,0.0,0.0
52,2020-11-14,版合,2620578,9,57,1530,0.2223575613217135,0.0,0.0
53,2020-11-15,版合,2620576,11,57,1530,1.2735033685862815,0.0909090909090909,0.0
54,2020-11-16,版合,2620562,24,57,1531,0.1250768919033398,0.0,0.0
55,2020-11-17,版合,2620559,27,57,1531,0.592957795985089,0.074074074074074,0.0
56,2020-11-18,版合,2620543,41,57,1533,0.1952433931887678,0.0,0.0
57,2020-11-19,版合,2620535,49,57,1533,0.2042092744498387,0.0204081632653061,0.0
58,2020-11-20,版合,2620525,58,57,1534,0.1380178294096767,0.0,0.0
59,2020-11-21,版合,2620517,66,57,1534,0.0909665743612632,0.0303030303030303,0.0
60,2020-11-22,版合,2620511,70,57,1536,0.0571791205172251,0.0142857142857142,0.0
61,2020-11-23,版合,2620507,73,57,1537,0.1233660990134341,0.0136986301369863,0.0
62,2020-11-24,版合,2620498,81,57,1538,0.037060724929214,0.0,0.0
