,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2020-09-23,傈合,1786739,21,0,95,0.0476221391783205,0.0476190476190476,0.0
1,2020-09-24,傈合,1786738,21,0,96,0.1428664974943164,0.0,0.0
2,2020-09-25,傈合,1786735,24,0,96,0.1250083952013029,0.0416666666666666,0.0
3,2020-09-26,傈合,1786732,26,0,97,0.0769283723666361,0.0769230769230769,0.0
4,2020-09-27,傈合,1786730,26,0,99,0.0,0.0384615384615384,0.0
5,2020-09-28,傈合,1786730,25,0,100,0.0,0.04,0.0
6,2020-09-29,傈合,1786730,24,0,101,0.1250087450258293,0.2083333333333333,0.0
7,2020-09-30,傈合,1786727,22,0,106,0.0,0.0,0.0
8,2020-10-01,傈合,1786727,22,0,106,0.0,0.3636363636363636,0.0
9,2020-10-02,傈合,1786727,14,0,114,0.0714336885265628,0.0714285714285714,0.0
10,2020-10-03,傈合,1786726,14,0,115,0.0,0.0,0.0
11,2020-10-04,傈合,1786726,14,0,115,0.2143011855203316,0.0,0.0
12,2020-10-05,傈合,1786723,17,0,115,0.5294508767299293,0.0,0.0
13,2020-10-06,傈合,1786714,26,0,115,0.3077165894830054,0.0384615384615384,0.0
14,2020-10-07,傈合,1786706,33,0,116,0.0,0.0303030303030303,0.0
15,2020-10-08,傈合,1786706,32,0,117,0.0,0.09375,0.0
16,2020-10-09,傈合,1786706,29,0,120,0.0,0.1034482758620689,0.0
17,2020-10-10,傈合,1786706,26,0,123,0.0,0.0769230769230769,0.0
18,2020-10-11,傈合,1786706,24,0,125,0.0833402828072068,0.0,0.0
19,2020-10-12,傈合,1786704,26,0,125,0.0384647889676702,0.0,0.0
20,2020-10-13,傈合,1786703,27,0,125,0.0,0.1111111111111111,0.0
21,2020-10-14,傈合,1786703,24,0,128,0.0416702113707016,0.0,0.0
22,2020-10-15,傈合,1786702,25,0,128,0.0800068506107901,0.0,0.0
23,2020-10-16,傈合,1786700,27,0,128,0.0,0.037037037037037,0.0
24,2020-10-17,傈合,1786700,26,0,129,0.0,0.0,0.0
25,2020-10-18,傈合,1786700,26,0,129,0.0384648750812628,0.1153846153846153,0.0
26,2020-10-19,傈合,1786699,24,0,132,0.0,0.375,0.0
27,2020-10-20,傈合,1786699,15,0,141,0.0,0.5333333333333333,0.0
28,2020-10-21,傈合,1786699,7,0,149,0.2857392319579291,0.0,0.0
29,2020-10-22,傈合,1786697,9,0,149,0.2222418736298818,0.0,0.0
30,2020-10-23,傈合,1786695,11,0,149,0.0,0.0,0.0
31,2020-10-24,傈合,1786695,11,0,149,0.0,0.0,0.0
32,2020-10-25,傈合,1786695,11,0,149,0.0,0.1818181818181818,0.0
33,2020-10-26,傈合,1786695,9,0,151,0.0,0.1111111111111111,0.0
34,2020-10-27,傈合,1786695,8,0,152,0.3750335815570089,0.0,0.0
35,2020-10-28,傈合,1786692,11,0,152,0.0909173845499748,0.0909090909090909,0.0
36,2020-10-29,傈合,1786691,11,0,153,0.1818348708717552,0.1818181818181818,0.0
37,2020-10-30,傈合,1786689,11,0,155,0.0,0.0,0.0
38,2020-10-31,傈合,1786689,11,0,155,0.0,0.0,0.0
39,2020-11-01,傈合,1786689,11,0,155,0.0,0.0909090909090909,0.0
40,2020-11-02,傈合,1786689,10,0,156,0.0,-0.1,0.1
41,2020-11-03,傈合,1786689,10,1,155,0.0,0.0,0.0
42,2020-11-04,傈合,1786689,10,1,155,0.0,0.2,0.0
43,2020-11-05,傈合,1786689,8,1,157,0.1250116136607993,0.25,0.0
44,2020-11-06,傈合,1786688,7,1,159,0.0,0.0,0.0
45,2020-11-07,傈合,1786688,7,1,159,0.0,0.0,0.0
46,2020-11-08,傈合,1786688,7,1,159,0.5714819823046889,0.0,0.0
47,2020-11-09,傈合,1786684,11,1,159,0.0,0.0,0.0
48,2020-11-10,傈合,1786684,11,1,159,0.0909177916387921,0.2727272727272727,0.0
49,2020-11-11,傈合,1786683,9,1,162,0.0,0.1111111111111111,0.0
50,2020-11-12,傈合,1786683,8,1,163,0.0,0.25,0.0
51,2020-11-13,傈合,1786683,6,1,165,0.6667308451844377,0.0,0.0
52,2020-11-14,傈合,1786679,10,1,165,0.2000197013565391,0.0,0.0
53,2020-11-15,傈合,1786677,12,1,165,0.0833416355241229,0.0,0.0
54,2020-11-16,傈合,1786676,13,1,165,0.0,0.0,0.0
55,2020-11-17,傈合,1786676,13,1,165,0.0,0.0,0.0
56,2020-11-18,傈合,1786676,13,1,165,0.1538615670836622,0.0,0.0
57,2020-11-19,傈合,1786674,15,1,165,0.8667544648137638,0.0666666666666666,0.0
58,2020-11-20,傈合,1786661,27,1,166,0.5185748205213006,0.0,0.0
59,2020-11-21,傈合,1786647,41,1,166,0.2927170007391008,0.0,0.0
60,2020-11-22,傈合,1786635,53,1,166,0.1698322307282516,0.0754716981132075,0.0
61,2020-11-23,傈合,1786626,58,1,170,0.2586538382480682,0.0,0.0
62,2020-11-24,傈合,1786611,73,1,170,0.1096040078267721,0.0,0.0136986301369863
63,2020-11-25,傈合,1786603,80,2,170,0.2000282099604668,0.0,0.0
64,2020-11-26,傈合,1786587,96,2,170,0.2500375016721827,0.0,0.0
65,2020-11-27,傈合,1786563,120,2,170,0.075012258173935,0.0333333333333333,0.0
66,2020-11-28,傈合,1786554,125,2,174,0.1360229133852097,0.016,0.0
67,2020-11-29,傈合,1786537,140,2,176,0.1143060569134588,0.0071428571428571,0.0
68,2020-11-30,傈合,1786521,155,2,177,0.058075371612056,0.0,0.0
69,2020-12-01,傈合,1786512,164,2,177,0.1585670234758582,0.0,0.0
70,2020-12-02,傈合,1786486,190,2,177,0.0473782050349121,0.0105263157894736,0.0
71,2020-12-03,傈合,1786477,197,2,179,0.0710810266739175,0.065989847715736,0.0
72,2020-12-04,傈合,1786463,198,2,192,0.0858774256362115,0.0707070707070707,0.0
73,2020-12-05,傈合,1786446,201,2,206,0.0597151609663886,0.0597014925373134,0.0
74,2020-12-06,傈合,1786434,201,2,218,0.1094785304994356,0.044776119402985,0.0
