,Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
0,2020-09-23,面合,1597612,19,1,142,0.1052738317201581,0.1578947368421052,0.0
1,2020-09-24,面合,1597610,18,1,145,0.166683775556404,0.0555555555555555,0.0
2,2020-09-25,面合,1597607,20,1,146,0.0,0.0,0.0
3,2020-09-26,面合,1597607,20,1,146,0.1000104531339684,0.0,0.0
4,2020-09-27,面合,1597605,22,1,146,0.0454593537883838,0.0,0.0
5,2020-09-28,面合,1597604,23,1,146,0.0434828873629564,0.0869565217391304,0.0
6,2020-09-29,面合,1597603,22,1,148,0.0,0.0909090909090909,0.0
7,2020-09-30,面合,1597603,20,1,150,0.0500053517676168,0.0,0.0
8,2020-10-01,面合,1597602,21,1,150,0.0,0.1428571428571428,0.0
9,2020-10-02,面合,1597602,18,1,153,0.055561536742081,0.0555555555555555,0.0
10,2020-10-03,面合,1597601,18,1,154,0.1111231430403739,0.0555555555555555,0.0
11,2020-10-04,面合,1597599,19,1,155,0.0526373441777646,0.1052631578947368,0.0
12,2020-10-05,面合,1597598,18,1,157,0.0,0.1111111111111111,0.0
13,2020-10-06,面合,1597598,16,1,159,0.0,0.125,0.0
14,2020-10-07,面合,1597598,14,1,161,0.0714364403846989,0.1428571428571428,0.0
15,2020-10-08,面合,1597597,13,1,163,0.0769315993380635,0.2307692307692307,0.0
16,2020-10-09,面合,1597596,11,1,166,0.0,0.0,0.0
17,2020-10-10,面合,1597596,11,1,166,0.0,0.1818181818181818,0.0
18,2020-10-11,面合,1597596,9,1,168,0.0,0.1111111111111111,0.0
19,2020-10-12,面合,1597596,8,1,169,0.1250139271755813,0.125,0.0
20,2020-10-13,面合,1597595,8,1,170,0.0,0.0,0.0
21,2020-10-14,面合,1597595,8,1,170,0.1250140054269073,0.125,0.0
22,2020-10-15,面合,1597594,8,1,171,0.0,0.0,0.0
23,2020-10-16,面合,1597594,8,1,171,0.0,0.125,0.0
24,2020-10-17,面合,1597594,7,1,172,0.0,0.2857142857142857,0.0
25,2020-10-18,面合,1597594,5,1,174,0.20002253388533,0.2,0.0
26,2020-10-19,面合,1597593,5,1,175,0.4000453181755303,-0.2,0.2
27,2020-10-20,面合,1597591,7,2,174,0.1428735067807897,0.0,0.0
28,2020-10-21,面合,1597590,8,2,174,0.0,0.125,0.0
29,2020-10-22,面合,1597590,7,2,175,0.0,0.1428571428571428,0.0
30,2020-10-23,面合,1597590,6,2,176,0.0,0.0,0.0
31,2020-10-24,面合,1597590,6,2,176,0.0,0.0,0.0
32,2020-10-25,面合,1597590,6,2,176,0.3333717244933514,0.0,0.0
33,2020-10-26,面合,1597588,8,2,176,0.1250145531889323,0.125,0.0
34,2020-10-27,面合,1597587,8,2,177,0.0,0.0,0.0
35,2020-10-28,面合,1597587,8,2,177,0.0,0.125,0.0
36,2020-10-29,面合,1597587,7,2,178,0.285747729008096,0.0,0.0
37,2020-10-30,面合,1597585,9,2,178,0.0,0.0,0.0
38,2020-10-31,面合,1597585,9,2,178,0.1111242559516047,0.0,0.0
39,2020-11-01,面合,1597584,10,2,178,0.2000237859167342,0.1,0.0
40,2020-11-02,面合,1597582,11,2,179,0.0909200165113163,0.0909090909090909,0.0909090909090909
41,2020-11-03,面合,1597581,10,3,180,0.0,0.1,0.0
42,2020-11-04,面合,1597581,9,3,181,0.222249068365791,0.0,0.0
43,2020-11-05,面合,1597579,11,3,181,0.0,0.0,0.0
44,2020-11-06,面合,1597579,11,3,181,0.0,0.0,0.0
45,2020-11-07,面合,1597579,11,3,181,0.1818403744893765,0.0,0.0
46,2020-11-08,面合,1597577,13,3,181,0.3077302497662205,0.1538461538461538,0.0
47,2020-11-09,面合,1597573,15,3,183,0.1333501087795883,0.0666666666666666,0.0
48,2020-11-10,面合,1597571,16,3,184,0.1250158834881204,0.0,0.0
49,2020-11-11,面合,1597569,18,3,184,0.0555626844425638,0.0,0.0
50,2020-11-12,面合,1597568,19,3,184,0.0526383655788377,0.1052631578947368,0.0
51,2020-11-13,面合,1597567,18,3,186,0.0,0.0,0.0
52,2020-11-14,面合,1597567,18,3,186,0.4445020320135417,0.0555555555555555,0.0
53,2020-11-15,面合,1597559,25,3,187,0.1200161496382919,0.08,0.0
54,2020-11-16,面合,1597556,26,3,189,0.0,0.0384615384615384,0.0
55,2020-11-17,面合,1597556,25,3,190,0.0,0.0,0.0
56,2020-11-18,面合,1597556,25,3,190,0.1600218333504428,0.08,0.0
57,2020-11-19,面合,1597552,27,3,192,0.0740843676009479,0.0,0.0
58,2020-11-20,面合,1597550,29,3,192,0.0344875936104746,0.0,0.0
59,2020-11-21,面合,1597549,30,3,192,0.0,0.0666666666666666,0.0
60,2020-11-22,面合,1597549,28,3,194,0.0,0.1428571428571428,0.0
61,2020-11-23,面合,1597549,24,3,198,0.125017605093803,0.0833333333333333,0.0
62,2020-11-24,面合,1597546,25,3,200,0.1200171262674126,0.08,0.0
63,2020-11-25,面合,1597543,26,3,202,0.3077367990913354,0.0384615384615384,0.0
64,2020-11-26,面合,1597535,33,3,203,0.606151276052092,0.0303030303030303,0.0
