stdDay,incDec,alpha_variants,delta_variants
2021-04-12,16.0,4.16,0.32
2021-04-13,9.0,2.34,0.18
2021-04-14,11.0,2.8600000000000003,0.22
2021-04-15,18.0,4.68,0.36
2021-04-16,4.0,1.04,0.08
2021-04-17,12.0,3.12,0.24
2021-04-18,13.0,3.38,0.26
2021-04-19,24.0,6.24,0.48
2021-04-20,15.0,3.9000000000000004,0.3
2021-04-21,25.0,6.5,0.5
2021-04-22,24.0,6.24,0.48
2021-04-23,12.0,3.12,0.24
2021-04-24,4.0,1.04,0.08
2021-04-25,14.0,3.64,0.28
2021-04-26,7.0,2.17,0.28
2021-04-27,12.0,3.7199999999999998,0.48
2021-04-28,29.0,8.99,1.16
2021-04-29,19.0,5.89,0.76
2021-04-30,14.0,4.34,0.56
2021-05-01,12.0,3.7199999999999998,0.48
2021-05-02,10.0,3.1,0.4
2021-05-03,12.0,3.7199999999999998,0.48
2021-05-04,10.0,3.1,0.4
2021-05-05,6.0,1.8599999999999999,0.24
2021-05-06,7.0,2.17,0.28
2021-05-07,9.0,2.79,0.36
2021-05-08,13.0,4.03,0.52
2021-05-09,6.0,1.8599999999999999,0.24
2021-05-10,4.0,1.16,0.12
2021-05-11,8.0,2.32,0.24
2021-05-12,6.0,1.7399999999999998,0.18
2021-05-13,5.0,1.45,0.15
2021-05-14,9.0,2.61,0.27
2021-05-15,5.0,1.45,0.15
2021-05-16,6.0,1.7399999999999998,0.18
2021-05-17,19.0,5.51,0.57
2021-05-18,23.0,6.67,0.69
2021-05-19,23.0,6.67,0.69
2021-05-20,9.0,2.61,0.27
2021-05-21,19.0,5.51,0.57
2021-05-22,56.0,16.24,1.68
2021-05-23,57.0,16.529999999999998,1.71
2021-05-24,48.0,2.4000000000000004,1.44
2021-05-25,29.0,1.4500000000000002,0.87
2021-05-26,30.0,1.5,0.8999999999999999
2021-05-27,27.0,1.35,0.8099999999999999
2021-05-28,24.0,1.2000000000000002,0.72
2021-05-29,22.0,1.1,0.6599999999999999
2021-05-30,20.0,1.0,0.6
2021-05-31,31.0,1.55,0.9299999999999999
2021-06-01,42.0,2.1,1.26
2021-06-02,39.0,1.9500000000000002,1.17
2021-06-03,74.0,3.7,2.2199999999999998
2021-06-04,65.0,3.25,1.95
2021-06-05,41.0,2.0500000000000003,1.23
2021-06-06,46.0,2.3000000000000003,1.38
2021-06-07,26.0,3.12,3.6400000000000006
2021-06-08,33.0,3.96,4.62
2021-06-09,44.0,5.279999999999999,6.16
2021-06-10,30.0,3.5999999999999996,4.2
2021-06-11,24.0,2.88,3.3600000000000003
2021-06-12,23.0,2.76,3.22
2021-06-13,15.0,1.7999999999999998,2.1
2021-06-14,20.0,2.4,2.8000000000000003
2021-06-15,16.0,1.92,2.24
2021-06-16,16.0,1.92,2.24
2021-06-17,7.0,0.84,0.9800000000000001
2021-06-18,11.0,1.3199999999999998,1.54
2021-06-19,13.0,1.56,1.8200000000000003
2021-06-20,16.0,1.92,2.24
2021-06-21,18.0,2.16,7.0200000000000005
2021-06-22,3.0,0.36,1.17
2021-06-23,7.0,0.84,2.73
2021-06-24,3.0,0.36,1.17
2021-06-25,5.0,0.6,1.9500000000000002
2021-06-26,13.0,1.56,5.07
2021-06-27,8.0,0.96,3.12
2021-06-28,5.0,0.6,1.9500000000000002
2021-06-29,8.0,0.96,3.12
2021-06-30,11.0,1.3199999999999998,4.29
2021-07-01,7.0,0.84,2.73
2021-07-02,9.0,1.08,3.5100000000000002
2021-07-03,8.0,0.96,3.12
2021-07-04,3.0,0.36,1.17
2021-07-05,6.0,0.36,3.54
2021-07-06,8.0,0.48,4.72
2021-07-07,13.0,0.78,7.67
2021-07-08,15.0,0.8999999999999999,8.85
2021-07-09,19.0,1.14,11.209999999999999
2021-07-10,14.0,0.84,8.26
2021-07-11,23.0,1.38,13.569999999999999
2021-07-12,37.0,2.2199999999999998,21.83
2021-07-13,38.0,2.28,22.419999999999998
2021-07-14,52.0,3.12,30.68
2021-07-15,51.0,3.06,30.09
2021-07-16,32.0,1.92,18.88
2021-07-17,29.0,1.74,17.11
2021-07-18,42.0,2.52,24.779999999999998
2021-07-19,33.0,0.99,25.41
2021-07-20,30.0,0.8999999999999999,23.1
2021-07-21,35.0,1.05,26.95
2021-07-22,38.0,1.14,29.26
2021-07-23,60.0,1.7999999999999998,46.2
2021-07-24,52.0,1.56,40.04
2021-07-25,69.0,2.07,53.13
2021-07-26,60.0,1.7999999999999998,46.2
2021-07-27,69.0,2.07,53.13
2021-07-28,55.0,1.65,42.35
2021-07-29,56.0,1.68,43.120000000000005
2021-07-30,62.0,1.8599999999999999,47.74
2021-07-31,46.0,1.38,35.42
2021-08-01,23.0,0.69,17.71
2021-08-02,26.0,0.26,24.7
2021-08-03,37.0,0.37,35.15
2021-08-04,75.0,0.75,71.25
2021-08-05,121.0,1.21,114.94999999999999
2021-08-06,84.0,0.84,79.8
2021-08-07,68.0,0.68,64.6
2021-08-08,63.0,0.63,59.849999999999994
2021-08-09,86.0,0.86,81.7
2021-08-10,80.0,0.8,76.0
2021-08-11,66.0,0.66,62.699999999999996
2021-08-12,39.0,0.39,37.05
2021-08-13,57.0,0.5700000000000001,54.15
2021-08-14,82.0,0.8200000000000001,77.89999999999999
2021-08-15,57.0,0.5700000000000001,54.15
