stdDay,incDec,alpha_variants,delta_variants
2021-04-12,5.0,1.3,0.1
2021-04-13,2.0,0.52,0.04
2021-04-14,2.0,0.52,0.04
2021-04-15,3.0,0.78,0.06
2021-04-16,3.0,0.78,0.06
2021-04-17,0.0,0.0,0.0
2021-04-18,2.0,0.52,0.04
2021-04-19,1.0,0.26,0.02
2021-04-20,1.0,0.26,0.02
2021-04-21,1.0,0.26,0.02
2021-04-22,1.0,0.26,0.02
2021-04-23,3.0,0.78,0.06
2021-04-24,1.0,0.26,0.02
2021-04-25,0.0,0.0,0.0
2021-04-26,1.0,0.31,0.04
2021-04-27,2.0,0.62,0.08
2021-04-28,2.0,0.62,0.08
2021-04-29,0.0,0.0,0.0
2021-04-30,1.0,0.31,0.04
2021-05-01,4.0,1.24,0.16
2021-05-02,1.0,0.31,0.04
2021-05-03,4.0,1.24,0.16
2021-05-04,6.0,1.8599999999999999,0.24
2021-05-05,0.0,0.0,0.0
2021-05-06,1.0,0.31,0.04
2021-05-07,0.0,0.0,0.0
2021-05-08,5.0,1.55,0.2
2021-05-09,1.0,0.31,0.04
2021-05-10,7.0,2.03,0.21
2021-05-11,0.0,0.0,0.0
2021-05-12,1.0,0.29,0.03
2021-05-13,2.0,0.58,0.06
2021-05-14,7.0,2.03,0.21
2021-05-15,3.0,0.8699999999999999,0.09
2021-05-16,0.0,0.0,0.0
2021-05-17,0.0,0.0,0.0
2021-05-18,4.0,1.16,0.12
2021-05-19,3.0,0.8699999999999999,0.09
2021-05-20,9.0,2.61,0.27
2021-05-21,1.0,0.29,0.03
2021-05-22,0.0,0.0,0.0
2021-05-23,1.0,0.29,0.03
2021-05-24,14.0,0.7000000000000001,0.42
2021-05-25,14.0,0.7000000000000001,0.42
2021-05-26,9.0,0.45,0.27
2021-05-27,8.0,0.4,0.24
2021-05-28,8.0,0.4,0.24
2021-05-29,1.0,0.05,0.03
2021-05-30,6.0,0.30000000000000004,0.18
2021-05-31,3.0,0.15000000000000002,0.09
2021-06-01,3.0,0.15000000000000002,0.09
2021-06-02,3.0,0.15000000000000002,0.09
2021-06-03,1.0,0.05,0.03
2021-06-04,3.0,0.15000000000000002,0.09
2021-06-05,4.0,0.2,0.12
2021-06-06,0.0,0.0,0.0
2021-06-07,0.0,0.0,0.0
2021-06-08,0.0,0.0,0.0
2021-06-09,3.0,0.36,0.42000000000000004
2021-06-10,3.0,0.36,0.42000000000000004
2021-06-11,2.0,0.24,0.28
2021-06-12,1.0,0.12,0.14
2021-06-13,1.0,0.12,0.14
2021-06-14,1.0,0.12,0.14
2021-06-15,8.0,0.96,1.12
2021-06-16,4.0,0.48,0.56
2021-06-17,2.0,0.24,0.28
2021-06-18,1.0,0.12,0.14
2021-06-19,2.0,0.24,0.28
2021-06-20,3.0,0.36,0.42000000000000004
2021-06-21,2.0,0.24,0.78
2021-06-22,6.0,0.72,2.34
2021-06-23,8.0,0.96,3.12
2021-06-24,1.0,0.12,0.39
2021-06-25,2.0,0.24,0.78
2021-06-26,2.0,0.24,0.78
2021-06-27,8.0,0.96,3.12
2021-06-28,0.0,0.0,0.0
2021-06-29,3.0,0.36,1.17
2021-06-30,3.0,0.36,1.17
2021-07-01,5.0,0.6,1.9500000000000002
2021-07-02,2.0,0.24,0.78
2021-07-03,3.0,0.36,1.17
2021-07-04,4.0,0.48,1.56
2021-07-05,4.0,0.24,2.36
2021-07-06,5.0,0.3,2.9499999999999997
2021-07-07,5.0,0.3,2.9499999999999997
2021-07-08,5.0,0.3,2.9499999999999997
2021-07-09,1.0,0.06,0.59
2021-07-10,0.0,0.0,0.0
2021-07-11,3.0,0.18,1.77
2021-07-12,6.0,0.36,3.54
2021-07-13,8.0,0.48,4.72
2021-07-14,6.0,0.36,3.54
2021-07-15,2.0,0.12,1.18
2021-07-16,7.0,0.42,4.13
2021-07-17,2.0,0.12,1.18
2021-07-18,5.0,0.3,2.9499999999999997
2021-07-19,8.0,0.24,6.16
2021-07-20,13.0,0.39,10.01
2021-07-21,6.0,0.18,4.62
2021-07-22,10.0,0.3,7.7
2021-07-23,8.0,0.24,6.16
2021-07-24,6.0,0.18,4.62
2021-07-25,9.0,0.27,6.93
2021-07-26,5.0,0.15,3.85
2021-07-27,6.0,0.18,4.62
2021-07-28,11.0,0.32999999999999996,8.47
2021-07-29,5.0,0.15,3.85
2021-07-30,4.0,0.12,3.08
2021-07-31,12.0,0.36,9.24
2021-08-01,9.0,0.27,6.93
2021-08-02,3.0,0.03,2.8499999999999996
2021-08-03,7.0,0.07,6.6499999999999995
2021-08-04,8.0,0.08,7.6
2021-08-05,15.0,0.15,14.25
2021-08-06,20.0,0.2,19.0
2021-08-07,18.0,0.18,17.099999999999998
2021-08-08,7.0,0.07,6.6499999999999995
2021-08-09,1.0,0.01,0.95
2021-08-10,4.0,0.04,3.8
2021-08-11,8.0,0.08,7.6
2021-08-12,11.0,0.11,10.45
2021-08-13,7.0,0.07,6.6499999999999995
2021-08-14,10.0,0.1,9.5
2021-08-15,5.0,0.05,4.75
