stdDay,incDec,alpha_variants,delta_variants
2021-04-12,20.0,5.2,0.4
2021-04-13,8.0,2.08,0.16
2021-04-14,29.0,7.54,0.58
2021-04-15,20.0,5.2,0.4
2021-04-16,9.0,2.34,0.18
2021-04-17,12.0,3.12,0.24
2021-04-18,10.0,2.6,0.2
2021-04-19,10.0,2.6,0.2
2021-04-20,14.0,3.64,0.28
2021-04-21,20.0,5.2,0.4
2021-04-22,19.0,4.94,0.38
2021-04-23,30.0,7.800000000000001,0.6
2021-04-24,15.0,3.9000000000000004,0.3
2021-04-25,15.0,3.9000000000000004,0.3
2021-04-26,16.0,4.96,0.64
2021-04-27,10.0,3.1,0.4
2021-04-28,22.0,6.82,0.88
2021-04-29,10.0,3.1,0.4
2021-04-30,12.0,3.7199999999999998,0.48
2021-05-01,5.0,1.55,0.2
2021-05-02,11.0,3.41,0.44
2021-05-03,9.0,2.79,0.36
2021-05-04,7.0,2.17,0.28
2021-05-05,11.0,3.41,0.44
2021-05-06,6.0,1.8599999999999999,0.24
2021-05-07,5.0,1.55,0.2
2021-05-08,9.0,2.79,0.36
2021-05-09,9.0,2.79,0.36
2021-05-10,4.0,1.16,0.12
2021-05-11,4.0,1.16,0.12
2021-05-12,12.0,3.4799999999999995,0.36
2021-05-13,10.0,2.9,0.3
2021-05-14,4.0,1.16,0.12
2021-05-15,5.0,1.45,0.15
2021-05-16,20.0,5.8,0.6
2021-05-17,23.0,6.67,0.69
2021-05-18,13.0,3.7699999999999996,0.39
2021-05-19,21.0,6.09,0.63
2021-05-20,13.0,3.7699999999999996,0.39
2021-05-21,12.0,3.4799999999999995,0.36
2021-05-22,6.0,1.7399999999999998,0.18
2021-05-23,9.0,2.61,0.27
2021-05-24,7.0,0.35000000000000003,0.21
2021-05-25,9.0,0.45,0.27
2021-05-26,13.0,0.65,0.39
2021-05-27,9.0,0.45,0.27
2021-05-28,14.0,0.7000000000000001,0.42
2021-05-29,22.0,1.1,0.6599999999999999
2021-05-30,6.0,0.30000000000000004,0.18
2021-05-31,7.0,0.35000000000000003,0.21
2021-06-01,11.0,0.55,0.32999999999999996
2021-06-02,5.0,0.25,0.15
2021-06-03,5.0,0.25,0.15
2021-06-04,22.0,1.1,0.6599999999999999
2021-06-05,24.0,1.2000000000000002,0.72
2021-06-06,17.0,0.8500000000000001,0.51
2021-06-07,11.0,1.3199999999999998,1.54
2021-06-08,6.0,0.72,0.8400000000000001
2021-06-09,23.0,2.76,3.22
2021-06-10,24.0,2.88,3.3600000000000003
2021-06-11,16.0,1.92,2.24
2021-06-12,12.0,1.44,1.6800000000000002
2021-06-13,6.0,0.72,0.8400000000000001
2021-06-14,23.0,2.76,3.22
2021-06-15,14.0,1.68,1.9600000000000002
2021-06-16,17.0,2.04,2.3800000000000003
2021-06-17,18.0,2.16,2.5200000000000005
2021-06-18,19.0,2.28,2.66
2021-06-19,10.0,1.2,1.4000000000000001
2021-06-20,6.0,0.72,0.8400000000000001
2021-06-21,3.0,0.36,1.17
2021-06-22,16.0,1.92,6.24
2021-06-23,10.0,1.2,3.9000000000000004
2021-06-24,6.0,0.72,2.34
2021-06-25,10.0,1.2,3.9000000000000004
2021-06-26,5.0,0.6,1.9500000000000002
2021-06-27,4.0,0.48,1.56
2021-06-28,5.0,0.6,1.9500000000000002
2021-06-29,10.0,1.2,3.9000000000000004
2021-06-30,5.0,0.6,1.9500000000000002
2021-07-01,4.0,0.48,1.56
2021-07-02,7.0,0.84,2.73
2021-07-03,6.0,0.72,2.34
2021-07-04,2.0,0.24,0.78
2021-07-05,3.0,0.18,1.77
2021-07-06,2.0,0.12,1.18
2021-07-07,5.0,0.3,2.9499999999999997
2021-07-08,8.0,0.48,4.72
2021-07-09,14.0,0.84,8.26
2021-07-10,19.0,1.14,11.209999999999999
2021-07-11,8.0,0.48,4.72
2021-07-12,14.0,0.84,8.26
2021-07-13,8.0,0.48,4.72
2021-07-14,10.0,0.6,5.8999999999999995
2021-07-15,12.0,0.72,7.08
2021-07-16,14.0,0.84,8.26
2021-07-17,11.0,0.6599999999999999,6.489999999999999
2021-07-18,29.0,1.74,17.11
2021-07-19,4.0,0.12,3.08
2021-07-20,44.0,1.3199999999999998,33.88
2021-07-21,15.0,0.44999999999999996,11.55
2021-07-22,28.0,0.84,21.560000000000002
2021-07-23,35.0,1.05,26.95
2021-07-24,31.0,0.9299999999999999,23.87
2021-07-25,41.0,1.23,31.57
2021-07-26,31.0,0.9299999999999999,23.87
2021-07-27,13.0,0.39,10.01
2021-07-28,40.0,1.2,30.8
2021-07-29,30.0,0.8999999999999999,23.1
2021-07-30,37.0,1.1099999999999999,28.490000000000002
2021-07-31,19.0,0.57,14.63
2021-08-01,17.0,0.51,13.09
2021-08-02,26.0,0.26,24.7
2021-08-03,39.0,0.39,37.05
2021-08-04,45.0,0.45,42.75
2021-08-05,45.0,0.45,42.75
2021-08-06,41.0,0.41000000000000003,38.949999999999996
2021-08-07,43.0,0.43,40.85
2021-08-08,55.0,0.55,52.25
2021-08-09,38.0,0.38,36.1
2021-08-10,47.0,0.47000000000000003,44.65
2021-08-11,56.0,0.56,53.199999999999996
2021-08-12,75.0,0.75,71.25
2021-08-13,52.0,0.52,49.4
2021-08-14,45.0,0.45,42.75
2021-08-15,44.0,0.44,41.8
