incDec,stdDay,delta_variants,omicron_variants
4.0,2021-04-12,0.08,0.0
9.0,2021-04-13,0.18,0.0
5.0,2021-04-14,0.1,0.0
4.0,2021-04-15,0.08,0.0
11.0,2021-04-16,0.22,0.0
4.0,2021-04-17,0.08,0.0
13.0,2021-04-18,0.26,0.0
11.0,2021-04-19,0.22,0.0
4.0,2021-04-20,0.08,0.0
17.0,2021-04-21,0.34,0.0
9.0,2021-04-22,0.18,0.0
16.0,2021-04-23,0.32,0.0
15.0,2021-04-24,0.3,0.0
8.0,2021-04-25,0.16,0.0
15.0,2021-04-26,0.6,0.0
6.0,2021-04-27,0.24,0.0
12.0,2021-04-28,0.48,0.0
8.0,2021-04-29,0.32,0.0
4.0,2021-04-30,0.16,0.0
4.0,2021-05-01,0.16,0.0
15.0,2021-05-02,0.6,0.0
5.0,2021-05-03,0.2,0.0
4.0,2021-05-04,0.16,0.0
8.0,2021-05-05,0.32,0.0
8.0,2021-05-06,0.32,0.0
21.0,2021-05-07,0.84,0.0
5.0,2021-05-08,0.2,0.0
6.0,2021-05-09,0.24,0.0
9.0,2021-05-10,0.27,0.0
24.0,2021-05-11,0.72,0.0
22.0,2021-05-12,0.6599999999999999,0.0
23.0,2021-05-13,0.69,0.0
11.0,2021-05-14,0.32999999999999996,0.0
11.0,2021-05-15,0.32999999999999996,0.0
14.0,2021-05-16,0.42,0.0
27.0,2021-05-17,0.8099999999999999,0.0
11.0,2021-05-18,0.32999999999999996,0.0
4.0,2021-05-19,0.12,0.0
15.0,2021-05-20,0.44999999999999996,0.0
13.0,2021-05-21,0.39,0.0
15.0,2021-05-22,0.44999999999999996,0.0
9.0,2021-05-23,0.27,0.0
16.0,2021-05-24,0.48,0.0
21.0,2021-05-25,0.63,0.0
21.0,2021-05-26,0.63,0.0
15.0,2021-05-27,0.44999999999999996,0.0
8.0,2021-05-28,0.24,0.0
9.0,2021-05-29,0.27,0.0
9.0,2021-05-30,0.27,0.0
13.0,2021-05-31,0.39,0.0
