incDec,stdDay,delta_variants,omicron_variants
5.0,2021-04-12,0.1,0.0
2.0,2021-04-13,0.04,0.0
2.0,2021-04-14,0.04,0.0
3.0,2021-04-15,0.06,0.0
3.0,2021-04-16,0.06,0.0
0.0,2021-04-17,0.0,0.0
2.0,2021-04-18,0.04,0.0
1.0,2021-04-19,0.02,0.0
1.0,2021-04-20,0.02,0.0
1.0,2021-04-21,0.02,0.0
1.0,2021-04-22,0.02,0.0
3.0,2021-04-23,0.06,0.0
1.0,2021-04-24,0.02,0.0
0.0,2021-04-25,0.0,0.0
1.0,2021-04-26,0.04,0.0
2.0,2021-04-27,0.08,0.0
2.0,2021-04-28,0.08,0.0
0.0,2021-04-29,0.0,0.0
1.0,2021-04-30,0.04,0.0
4.0,2021-05-01,0.16,0.0
1.0,2021-05-02,0.04,0.0
4.0,2021-05-03,0.16,0.0
6.0,2021-05-04,0.24,0.0
0.0,2021-05-05,0.0,0.0
1.0,2021-05-06,0.04,0.0
0.0,2021-05-07,0.0,0.0
5.0,2021-05-08,0.2,0.0
1.0,2021-05-09,0.04,0.0
7.0,2021-05-10,0.21,0.0
0.0,2021-05-11,0.0,0.0
1.0,2021-05-12,0.03,0.0
2.0,2021-05-13,0.06,0.0
7.0,2021-05-14,0.21,0.0
3.0,2021-05-15,0.09,0.0
0.0,2021-05-16,0.0,0.0
0.0,2021-05-17,0.0,0.0
4.0,2021-05-18,0.12,0.0
3.0,2021-05-19,0.09,0.0
9.0,2021-05-20,0.27,0.0
1.0,2021-05-21,0.03,0.0
0.0,2021-05-22,0.0,0.0
1.0,2021-05-23,0.03,0.0
14.0,2021-05-24,0.42,0.0
14.0,2021-05-25,0.42,0.0
9.0,2021-05-26,0.27,0.0
8.0,2021-05-27,0.24,0.0
8.0,2021-05-28,0.24,0.0
1.0,2021-05-29,0.03,0.0
6.0,2021-05-30,0.18,0.0
3.0,2021-05-31,0.09,0.0
3.0,2021-06-01,0.09,0.0
3.0,2021-06-02,0.09,0.0
1.0,2021-06-03,0.03,0.0
3.0,2021-06-04,0.09,0.0
4.0,2021-06-05,0.12,0.0
0.0,2021-06-06,0.0,0.0
0.0,2021-06-07,0.0,0.0
0.0,2021-06-08,0.0,0.0
3.0,2021-06-09,0.42000000000000004,0.0
3.0,2021-06-10,0.42000000000000004,0.0
2.0,2021-06-11,0.28,0.0
1.0,2021-06-12,0.14,0.0
1.0,2021-06-13,0.14,0.0
1.0,2021-06-14,0.14,0.0
8.0,2021-06-15,1.12,0.0
4.0,2021-06-16,0.56,0.0
2.0,2021-06-17,0.28,0.0
1.0,2021-06-18,0.14,0.0
2.0,2021-06-19,0.28,0.0
3.0,2021-06-20,0.42000000000000004,0.0
2.0,2021-06-21,0.78,0.0
6.0,2021-06-22,2.34,0.0
8.0,2021-06-23,3.12,0.0
1.0,2021-06-24,0.39,0.0
2.0,2021-06-25,0.78,0.0
2.0,2021-06-26,0.78,0.0
8.0,2021-06-27,3.12,0.0
0.0,2021-06-28,0.0,0.0
3.0,2021-06-29,1.17,0.0
3.0,2021-06-30,1.17,0.0
5.0,2021-07-01,1.9500000000000002,0.0
2.0,2021-07-02,0.78,0.0
3.0,2021-07-03,1.17,0.0
4.0,2021-07-04,1.56,0.0
4.0,2021-07-05,2.36,0.0
5.0,2021-07-06,2.9499999999999997,0.0
5.0,2021-07-07,2.9499999999999997,0.0
5.0,2021-07-08,2.9499999999999997,0.0
1.0,2021-07-09,0.59,0.0
0.0,2021-07-10,0.0,0.0
3.0,2021-07-11,1.77,0.0
6.0,2021-07-12,3.54,0.0
8.0,2021-07-13,4.72,0.0
6.0,2021-07-14,3.54,0.0
2.0,2021-07-15,1.18,0.0
7.0,2021-07-16,4.13,0.0
2.0,2021-07-17,1.18,0.0
5.0,2021-07-18,2.9499999999999997,0.0
8.0,2021-07-19,6.16,0.0
13.0,2021-07-20,10.01,0.0
6.0,2021-07-21,4.62,0.0
10.0,2021-07-22,7.7,0.0
8.0,2021-07-23,6.16,0.0
6.0,2021-07-24,4.62,0.0
9.0,2021-07-25,6.93,0.0
5.0,2021-07-26,3.85,0.0
6.0,2021-07-27,4.62,0.0
11.0,2021-07-28,8.47,0.0
5.0,2021-07-29,3.85,0.0
4.0,2021-07-30,3.08,0.0
12.0,2021-07-31,9.24,0.0
9.0,2021-08-01,6.93,0.0
3.0,2021-08-02,2.8499999999999996,0.0
7.0,2021-08-03,6.6499999999999995,0.0
8.0,2021-08-04,7.6,0.0
15.0,2021-08-05,14.25,0.0
20.0,2021-08-06,19.0,0.0
18.0,2021-08-07,17.099999999999998,0.0
7.0,2021-08-08,6.6499999999999995,0.0
1.0,2021-08-09,0.95,0.0
4.0,2021-08-10,3.8,0.0
8.0,2021-08-11,7.6,0.0
11.0,2021-08-12,10.45,0.0
7.0,2021-08-13,6.6499999999999995,0.0
10.0,2021-08-14,9.5,0.0
5.0,2021-08-15,4.75,0.0
3.0,2021-08-16,2.94,0.0
3.0,2021-08-17,2.94,0.0
6.0,2021-08-18,5.88,0.0
13.0,2021-08-19,12.74,0.0
13.0,2021-08-20,12.74,0.0
2.0,2021-08-21,1.96,0.0
1.0,2021-08-22,0.98,0.0
11.0,2021-08-23,10.78,0.0
7.0,2021-08-24,6.859999999999999,0.0
16.0,2021-08-25,15.68,0.0
10.0,2021-08-26,9.8,0.0
9.0,2021-08-27,8.82,0.0
12.0,2021-08-28,11.76,0.0
2.0,2021-08-29,1.96,0.0
8.0,2021-08-30,7.92,0.0
8.0,2021-08-31,7.92,0.0
10.0,2021-09-01,9.9,0.0
7.0,2021-09-02,6.93,0.0
4.0,2021-09-03,3.96,0.0
8.0,2021-09-04,7.92,0.0
3.0,2021-09-05,2.9699999999999998,0.0
4.0,2021-09-06,3.96,0.0
5.0,2021-09-07,4.95,0.0
8.0,2021-09-08,7.92,0.0
6.0,2021-09-09,5.9399999999999995,0.0
5.0,2021-09-10,4.95,0.0
9.0,2021-09-11,8.91,0.0
4.0,2021-09-12,3.96,0.0
4.0,2021-09-13,4.0,0.0
21.0,2021-09-14,21.0,0.0
8.0,2021-09-15,8.0,0.0
7.0,2021-09-16,7.0,0.0
12.0,2021-09-17,12.0,0.0
12.0,2021-09-18,12.0,0.0
8.0,2021-09-19,8.0,0.0
9.0,2021-09-20,9.0,0.0
4.0,2021-09-21,4.0,0.0
4.0,2021-09-22,4.0,0.0
10.0,2021-09-23,10.0,0.0
14.0,2021-09-24,14.0,0.0
10.0,2021-09-25,10.0,0.0
8.0,2021-09-26,8.0,0.0
14.0,2021-09-27,14.0,0.0
4.0,2021-09-28,4.0,0.0
10.0,2021-09-29,10.0,0.0
14.0,2021-09-30,14.0,0.0
8.0,2021-10-01,8.0,0.0
11.0,2021-10-02,11.0,0.0
7.0,2021-10-03,7.0,0.0
3.0,2021-10-04,3.0,0.0
10.0,2021-10-05,10.0,0.0
5.0,2021-10-06,5.0,0.0
11.0,2021-10-07,11.0,0.0
10.0,2021-10-08,10.0,0.0
4.0,2021-10-09,4.0,0.0
4.0,2021-10-10,4.0,0.0
3.0,2021-10-11,3.0,0.0
6.0,2021-10-12,6.0,0.0
3.0,2021-10-13,3.0,0.0
3.0,2021-10-14,3.0,0.0
3.0,2021-10-15,3.0,0.0
1.0,2021-10-16,1.0,0.0
0.0,2021-10-17,0.0,0.0
2.0,2021-10-18,2.0,0.0
0.0,2021-10-19,0.0,0.0
3.0,2021-10-20,3.0,0.0
8.0,2021-10-21,8.0,0.0
1.0,2021-10-22,1.0,0.0
2.0,2021-10-23,2.0,0.0
0.0,2021-10-24,0.0,0.0
0.0,2021-10-25,0.0,0.0
6.0,2021-10-26,6.0,0.0
1.0,2021-10-27,1.0,0.0
2.0,2021-10-28,2.0,0.0
1.0,2021-10-29,1.0,0.0
4.0,2021-10-30,4.0,0.0
4.0,2021-10-31,4.0,0.0
2.0,2021-11-01,2.0,0.0
5.0,2021-11-02,5.0,0.0
1.0,2021-11-03,1.0,0.0
0.0,2021-11-04,0.0,0.0
2.0,2021-11-05,2.0,0.0
2.0,2021-11-06,2.0,0.0
2.0,2021-11-07,2.0,0.0
1.0,2021-11-08,0.99,0.0
3.0,2021-11-09,2.9699999999999998,0.0
4.0,2021-11-10,3.96,0.0
6.0,2021-11-11,5.9399999999999995,0.0
6.0,2021-11-12,5.9399999999999995,0.0
1.0,2021-11-13,0.99,0.0
2.0,2021-11-14,1.98,0.0
1.0,2021-11-15,0.99,0.0
6.0,2021-11-16,5.9399999999999995,0.0
16.0,2021-11-17,15.84,0.0
10.0,2021-11-18,9.9,0.0
3.0,2021-11-19,2.9699999999999998,0.0
7.0,2021-11-20,6.93,0.0
7.0,2021-11-21,6.93,0.0
5.0,2021-11-22,4.9,0.1
8.0,2021-11-23,7.84,0.16
7.0,2021-11-24,6.859999999999999,0.14
20.0,2021-11-25,19.6,0.4
15.0,2021-11-26,14.7,0.3
11.0,2021-11-27,10.78,0.22
5.0,2021-11-28,4.9,0.1
15.0,2021-11-29,14.7,0.3
22.0,2021-11-30,21.56,0.44
20.0,2021-12-01,19.6,0.4
8.0,2021-12-02,7.84,0.16
7.0,2021-12-03,6.859999999999999,0.14
8.0,2021-12-04,7.84,0.16
16.0,2021-12-05,15.68,0.32
13.0,2021-12-06,12.48,0.52
