incDec,stdDay,delta_variants,omicron_variants
3.0,2021-04-12,0.06,0.0
6.0,2021-04-13,0.12,0.0
1.0,2021-04-14,0.02,0.0
11.0,2021-04-15,0.22,0.0
6.0,2021-04-16,0.12,0.0
6.0,2021-04-17,0.12,0.0
2.0,2021-04-18,0.04,0.0
3.0,2021-04-19,0.06,0.0
4.0,2021-04-20,0.08,0.0
4.0,2021-04-21,0.08,0.0
8.0,2021-04-22,0.16,0.0
6.0,2021-04-23,0.12,0.0
1.0,2021-04-24,0.02,0.0
9.0,2021-04-25,0.18,0.0
0.0,2021-04-26,0.0,0.0
2.0,2021-04-27,0.08,0.0
5.0,2021-04-28,0.2,0.0
2.0,2021-04-29,0.08,0.0
5.0,2021-04-30,0.2,0.0
2.0,2021-05-01,0.08,0.0
1.0,2021-05-02,0.04,0.0
24.0,2021-05-03,0.96,0.0
9.0,2021-05-04,0.36,0.0
12.0,2021-05-05,0.48,0.0
10.0,2021-05-06,0.4,0.0
12.0,2021-05-07,0.48,0.0
12.0,2021-05-08,0.48,0.0
24.0,2021-05-09,0.96,0.0
9.0,2021-05-10,0.27,0.0
10.0,2021-05-11,0.3,0.0
17.0,2021-05-12,0.51,0.0
12.0,2021-05-13,0.36,0.0
50.0,2021-05-14,1.5,0.0
26.0,2021-05-15,0.78,0.0
13.0,2021-05-16,0.39,0.0
20.0,2021-05-17,0.6,0.0
12.0,2021-05-18,0.36,0.0
10.0,2021-05-19,0.3,0.0
7.0,2021-05-20,0.21,0.0
17.0,2021-05-21,0.51,0.0
16.0,2021-05-22,0.48,0.0
10.0,2021-05-23,0.3,0.0
14.0,2021-05-24,0.42,0.0
7.0,2021-05-25,0.21,0.0
11.0,2021-05-26,0.32999999999999996,0.0
16.0,2021-05-27,0.48,0.0
7.0,2021-05-28,0.21,0.0
5.0,2021-05-29,0.15,0.0
9.0,2021-05-30,0.27,0.0
6.0,2021-05-31,0.18,0.0
5.0,2021-06-01,0.15,0.0
10.0,2021-06-02,0.3,0.0
3.0,2021-06-03,0.09,0.0
12.0,2021-06-04,0.36,0.0
14.0,2021-06-05,0.42,0.0
9.0,2021-06-06,0.27,0.0
3.0,2021-06-07,0.42000000000000004,0.0
8.0,2021-06-08,1.12,0.0
6.0,2021-06-09,0.8400000000000001,0.0
4.0,2021-06-10,0.56,0.0
5.0,2021-06-11,0.7000000000000001,0.0
4.0,2021-06-12,0.56,0.0
3.0,2021-06-13,0.42000000000000004,0.0
4.0,2021-06-14,0.56,0.0
3.0,2021-06-15,0.42000000000000004,0.0
8.0,2021-06-16,1.12,0.0
6.0,2021-06-17,0.8400000000000001,0.0
4.0,2021-06-18,0.56,0.0
5.0,2021-06-19,0.7000000000000001,0.0
3.0,2021-06-20,0.42000000000000004,0.0
10.0,2021-06-21,3.9000000000000004,0.0
8.0,2021-06-22,3.12,0.0
2.0,2021-06-23,0.78,0.0
6.0,2021-06-24,2.34,0.0
18.0,2021-06-25,7.0200000000000005,0.0
3.0,2021-06-26,1.17,0.0
6.0,2021-06-27,2.34,0.0
2.0,2021-06-28,0.78,0.0
4.0,2021-06-29,1.56,0.0
7.0,2021-06-30,2.73,0.0
5.0,2021-07-01,1.9500000000000002,0.0
4.0,2021-07-02,1.56,0.0
7.0,2021-07-03,2.73,0.0
0.0,2021-07-04,0.0,0.0
6.0,2021-07-05,3.54,0.0
4.0,2021-07-06,2.36,0.0
10.0,2021-07-07,5.8999999999999995,0.0
9.0,2021-07-08,5.31,0.0
5.0,2021-07-09,2.9499999999999997,0.0
2.0,2021-07-10,1.18,0.0
6.0,2021-07-11,3.54,0.0
19.0,2021-07-12,11.209999999999999,0.0
13.0,2021-07-13,7.67,0.0
6.0,2021-07-14,3.54,0.0
26.0,2021-07-15,15.34,0.0
8.0,2021-07-16,4.72,0.0
8.0,2021-07-17,4.72,0.0
11.0,2021-07-18,6.489999999999999,0.0
16.0,2021-07-19,12.32,0.0
9.0,2021-07-20,6.93,0.0
21.0,2021-07-21,16.17,0.0
18.0,2021-07-22,13.86,0.0
23.0,2021-07-23,17.71,0.0
20.0,2021-07-24,15.4,0.0
16.0,2021-07-25,12.32,0.0
28.0,2021-07-26,21.560000000000002,0.0
15.0,2021-07-27,11.55,0.0
20.0,2021-07-28,15.4,0.0
20.0,2021-07-29,15.4,0.0
19.0,2021-07-30,14.63,0.0
13.0,2021-07-31,10.01,0.0
9.0,2021-08-01,6.93,0.0
6.0,2021-08-02,5.699999999999999,0.0
4.0,2021-08-03,3.8,0.0
15.0,2021-08-04,14.25,0.0
20.0,2021-08-05,19.0,0.0
24.0,2021-08-06,22.799999999999997,0.0
20.0,2021-08-07,19.0,0.0
20.0,2021-08-08,19.0,0.0
14.0,2021-08-09,13.299999999999999,0.0
26.0,2021-08-10,24.7,0.0
18.0,2021-08-11,17.099999999999998,0.0
27.0,2021-08-12,25.65,0.0
18.0,2021-08-13,17.099999999999998,0.0
28.0,2021-08-14,26.599999999999998,0.0
18.0,2021-08-15,17.099999999999998,0.0
27.0,2021-08-16,26.46,0.0
25.0,2021-08-17,24.5,0.0
34.0,2021-08-18,33.32,0.0
17.0,2021-08-19,16.66,0.0
23.0,2021-08-20,22.54,0.0
15.0,2021-08-21,14.7,0.0
9.0,2021-08-22,8.82,0.0
10.0,2021-08-23,9.8,0.0
9.0,2021-08-24,8.82,0.0
8.0,2021-08-25,7.84,0.0
8.0,2021-08-26,7.84,0.0
16.0,2021-08-27,15.68,0.0
26.0,2021-08-28,25.48,0.0
28.0,2021-08-29,27.439999999999998,0.0
29.0,2021-08-30,28.71,0.0
14.0,2021-08-31,13.86,0.0
17.0,2021-09-01,16.83,0.0
13.0,2021-09-02,12.87,0.0
15.0,2021-09-03,14.85,0.0
30.0,2021-09-04,29.7,0.0
16.0,2021-09-05,15.84,0.0
4.0,2021-09-06,3.96,0.0
35.0,2021-09-07,34.65,0.0
22.0,2021-09-08,21.78,0.0
22.0,2021-09-09,21.78,0.0
21.0,2021-09-10,20.79,0.0
25.0,2021-09-11,24.75,0.0
11.0,2021-09-12,10.89,0.0
5.0,2021-09-13,5.0,0.0
1.0,2021-09-14,1.0,0.0
5.0,2021-09-15,5.0,0.0
8.0,2021-09-16,8.0,0.0
13.0,2021-09-17,13.0,0.0
7.0,2021-09-18,7.0,0.0
12.0,2021-09-19,12.0,0.0
