incDec,stdDay,delta_variants,omicron_variants
3.0,2021-04-12,0.06,0.0
0.0,2021-04-13,0.0,0.0
2.0,2021-04-14,0.04,0.0
3.0,2021-04-15,0.06,0.0
3.0,2021-04-16,0.06,0.0
1.0,2021-04-17,0.02,0.0
1.0,2021-04-18,0.02,0.0
2.0,2021-04-19,0.04,0.0
1.0,2021-04-20,0.02,0.0
7.0,2021-04-21,0.14,0.0
4.0,2021-04-22,0.08,0.0
3.0,2021-04-23,0.06,0.0
3.0,2021-04-24,0.06,0.0
3.0,2021-04-25,0.06,0.0
1.0,2021-04-26,0.04,0.0
5.0,2021-04-27,0.2,0.0
3.0,2021-04-28,0.12,0.0
1.0,2021-04-29,0.04,0.0
1.0,2021-04-30,0.04,0.0
7.0,2021-05-01,0.28,0.0
1.0,2021-05-02,0.04,0.0
1.0,2021-05-03,0.04,0.0
8.0,2021-05-04,0.32,0.0
13.0,2021-05-05,0.52,0.0
6.0,2021-05-06,0.24,0.0
12.0,2021-05-07,0.48,0.0
5.0,2021-05-08,0.2,0.0
18.0,2021-05-09,0.72,0.0
14.0,2021-05-10,0.42,0.0
24.0,2021-05-11,0.72,0.0
13.0,2021-05-12,0.39,0.0
9.0,2021-05-13,0.27,0.0
10.0,2021-05-14,0.3,0.0
14.0,2021-05-15,0.42,0.0
9.0,2021-05-16,0.27,0.0
15.0,2021-05-17,0.44999999999999996,0.0
11.0,2021-05-18,0.32999999999999996,0.0
4.0,2021-05-19,0.12,0.0
6.0,2021-05-20,0.18,0.0
5.0,2021-05-21,0.15,0.0
7.0,2021-05-22,0.21,0.0
8.0,2021-05-23,0.24,0.0
19.0,2021-05-24,0.57,0.0
17.0,2021-05-25,0.51,0.0
6.0,2021-05-26,0.18,0.0
26.0,2021-05-27,0.78,0.0
7.0,2021-05-28,0.21,0.0
13.0,2021-05-29,0.39,0.0
8.0,2021-05-30,0.24,0.0
7.0,2021-05-31,0.21,0.0
12.0,2021-06-01,0.36,0.0
14.0,2021-06-02,0.42,0.0
12.0,2021-06-03,0.36,0.0
21.0,2021-06-04,0.63,0.0
22.0,2021-06-05,0.6599999999999999,0.0
19.0,2021-06-06,0.57,0.0
13.0,2021-06-07,1.8200000000000003,0.0
8.0,2021-06-08,1.12,0.0
7.0,2021-06-09,0.9800000000000001,0.0
10.0,2021-06-10,1.4000000000000001,0.0
5.0,2021-06-11,0.7000000000000001,0.0
5.0,2021-06-12,0.7000000000000001,0.0
5.0,2021-06-13,0.7000000000000001,0.0
9.0,2021-06-14,1.2600000000000002,0.0
6.0,2021-06-15,0.8400000000000001,0.0
9.0,2021-06-16,1.2600000000000002,0.0
8.0,2021-06-17,1.12,0.0
6.0,2021-06-18,0.8400000000000001,0.0
7.0,2021-06-19,0.9800000000000001,0.0
2.0,2021-06-20,0.28,0.0
3.0,2021-06-21,1.17,0.0
1.0,2021-06-22,0.39,0.0
0.0,2021-06-23,0.0,0.0
4.0,2021-06-24,1.56,0.0
5.0,2021-06-25,1.9500000000000002,0.0
9.0,2021-06-26,3.5100000000000002,0.0
2.0,2021-06-27,0.78,0.0
2.0,2021-06-28,0.78,0.0
6.0,2021-06-29,2.34,0.0
2.0,2021-06-30,0.78,0.0
1.0,2021-07-01,0.39,0.0
3.0,2021-07-02,1.17,0.0
4.0,2021-07-03,1.56,0.0
2.0,2021-07-04,0.78,0.0
6.0,2021-07-05,3.54,0.0
5.0,2021-07-06,2.9499999999999997,0.0
19.0,2021-07-07,11.209999999999999,0.0
17.0,2021-07-08,10.03,0.0
31.0,2021-07-09,18.29,0.0
10.0,2021-07-10,5.8999999999999995,0.0
24.0,2021-07-11,14.16,0.0
7.0,2021-07-12,4.13,0.0
19.0,2021-07-13,11.209999999999999,0.0
21.0,2021-07-14,12.389999999999999,0.0
9.0,2021-07-15,5.31,0.0
10.0,2021-07-16,5.8999999999999995,0.0
14.0,2021-07-17,8.26,0.0
11.0,2021-07-18,6.489999999999999,0.0
11.0,2021-07-19,8.47,0.0
8.0,2021-07-20,6.16,0.0
34.0,2021-07-21,26.18,0.0
