stdDay,incDec,22D_variants,23A_variants
2022-12-19,1676.0,804.48,16.76
2022-12-20,5468.0,2624.64,54.68
2022-12-21,6016.0,2887.68,60.160000000000004
2022-12-22,4724.0,2267.52,47.24
2022-12-23,4554.0,2185.92,45.54
2022-12-24,4460.0,2140.7999999999997,44.6
2022-12-25,3739.0,1794.72,37.39
2022-12-26,1985.0,952.8,19.85
2022-12-27,5574.0,2675.52,55.74
2022-12-28,6184.0,2968.3199999999997,61.84
2022-12-29,4665.0,2239.2,46.65
2022-12-30,4415.0,2119.2,44.15
2022-12-31,4336.0,2081.2799999999997,43.36
2023-01-01,3927.0,1884.96,39.27
2023-01-02,1548.0,882.3599999999999,15.48
2023-01-03,5153.0,2937.2099999999996,51.53
2023-01-04,5370.0,3060.8999999999996,53.7
2023-01-05,4406.0,2511.4199999999996,44.06
2023-01-06,3679.0,2097.0299999999997,36.79
2023-01-07,3545.0,2020.6499999999999,35.45
2023-01-08,3059.0,1743.6299999999999,30.59
2023-01-09,1276.0,727.3199999999999,12.76
2023-01-10,4031.0,2297.6699999999996,40.31
2023-01-11,3798.0,2164.8599999999997,37.980000000000004
2023-01-12,2974.0,1695.1799999999998,29.740000000000002
2023-01-13,2666.0,1519.62,26.66
2023-01-14,2691.0,1533.87,26.91
2023-01-15,2240.0,1276.8,22.400000000000002
2023-01-16,952.0,666.4,9.52
2023-01-17,2564.0,1794.8,25.64
2023-01-18,2382.0,1667.3999999999999,23.82
2023-01-19,1946.0,1362.1999999999998,19.46
2023-01-20,1717.0,1201.8999999999999,17.17
2023-01-21,1770.0,1239.0,17.7
2023-01-22,1044.0,730.8,10.44
2023-01-23,664.0,464.79999999999995,6.640000000000001
2023-01-24,898.0,628.5999999999999,8.98
2023-01-25,1292.0,904.4,12.92
2023-01-26,2379.0,1665.3,23.79
2023-01-27,2189.0,1532.3,21.89
2023-01-28,1631.0,1141.6999999999998,16.31
2023-01-29,1286.0,900.1999999999999,12.86
2023-01-30,561.0,415.14,16.83
2023-01-31,1356.0,1003.4399999999999,40.68
2023-02-01,1502.0,1111.48,45.059999999999995
2023-02-02,1217.0,900.58,36.51
2023-02-03,1106.0,818.4399999999999,33.18
2023-02-04,1155.0,854.7,34.65
2023-02-05,995.0,736.3,29.849999999999998
2023-02-06,410.0,303.4,12.299999999999999
2023-02-07,1169.0,865.06,35.07
2023-02-08,1274.0,942.76,38.22
2023-02-09,1102.0,815.48,33.06
2023-02-10,1005.0,743.7,30.15
2023-02-11,983.0,727.42,29.49
2023-02-12,941.0,696.34,28.23
2023-02-13,363.0,261.36,29.04
2023-02-14,1134.0,816.48,90.72
2023-02-15,1176.0,846.7199999999999,94.08
2023-02-16,928.0,668.16,74.24
2023-02-17,836.0,601.92,66.88
2023-02-18,733.0,527.76,58.64
2023-02-19,654.0,470.88,52.32
2023-02-20,294.0,211.67999999999998,23.52
2023-02-21,820.0,590.4,65.6
2023-02-22,956.0,688.3199999999999,76.48
2023-02-23,736.0,529.92,58.88
2023-02-24,617.0,444.24,49.36
2023-02-25,700.0,504.0,56.0
2023-02-26,550.0,396.0,44.0
2023-02-27,279.0,186.93,41.85
2023-02-28,615.0,412.05,92.25
2023-03-01,836.0,560.12,125.39999999999999
2023-03-02,465.0,311.55,69.75
2023-03-03,621.0,416.07000000000005,93.14999999999999
2023-03-04,692.0,463.64000000000004,103.8
2023-03-05,630.0,422.1,94.5
2023-03-06,235.0,157.45000000000002,35.25
