stdDay,incDec,22D_variants,23A_variants
2022-12-19,846.0,406.08,8.46
2022-12-20,1974.0,947.52,19.740000000000002
2022-12-21,2825.0,1356.0,28.25
2022-12-22,2372.0,1138.56,23.72
2022-12-23,1990.0,955.1999999999999,19.900000000000002
2022-12-24,1900.0,912.0,19.0
2022-12-25,1709.0,820.3199999999999,17.09
2022-12-26,730.0,350.4,7.3
2022-12-27,1735.0,832.8,17.35
2022-12-28,2499.0,1199.52,24.990000000000002
2022-12-29,1867.0,896.16,18.67
2022-12-30,1651.0,792.48,16.51
2022-12-31,1613.0,774.24,16.13
2023-01-01,1564.0,750.72,15.64
2023-01-02,698.0,397.85999999999996,6.98
2023-01-03,1479.0,843.03,14.790000000000001
2023-01-04,2283.0,1301.31,22.830000000000002
2023-01-05,1611.0,918.2699999999999,16.11
2023-01-06,1413.0,805.41,14.13
2023-01-07,1423.0,811.1099999999999,14.23
2023-01-08,1373.0,782.6099999999999,13.73
2023-01-09,583.0,332.30999999999995,5.83
2023-01-10,1120.0,638.4,11.200000000000001
2023-01-11,1587.0,904.5899999999999,15.870000000000001
2023-01-12,1140.0,649.8,11.4
2023-01-13,993.0,566.01,9.93
2023-01-14,965.0,550.05,9.65
2023-01-15,871.0,496.46999999999997,8.71
2023-01-16,418.0,292.59999999999997,4.18
2023-01-17,844.0,590.8,8.44
2023-01-18,1016.0,711.1999999999999,10.16
2023-01-19,803.0,562.0999999999999,8.03
2023-01-20,700.0,489.99999999999994,7.0
2023-01-21,731.0,511.7,7.3100000000000005
2023-01-22,647.0,452.9,6.47
2023-01-23,292.0,204.39999999999998,2.92
2023-01-24,300.0,210.0,3.0
2023-01-25,460.0,322.0,4.6000000000000005
2023-01-26,896.0,627.1999999999999,8.96
2023-01-27,1082.0,757.4,10.82
2023-01-28,759.0,531.3,7.59
2023-01-29,669.0,468.29999999999995,6.69
2023-01-30,258.0,190.92,7.739999999999999
2023-01-31,517.0,382.58,15.51
2023-02-01,626.0,463.24,18.779999999999998
2023-02-02,501.0,370.74,15.03
2023-02-03,439.0,324.86,13.17
2023-02-04,405.0,299.7,12.15
2023-02-05,468.0,346.32,14.04
2023-02-06,214.0,158.35999999999999,6.42
2023-02-07,453.0,335.21999999999997,13.59
2023-02-08,569.0,421.06,17.07
2023-02-09,464.0,343.36,13.92
2023-02-10,439.0,324.86,13.17
2023-02-11,458.0,338.92,13.74
2023-02-12,444.0,328.56,13.32
2023-02-13,199.0,143.28,15.92
2023-02-14,394.0,283.68,31.52
2023-02-15,493.0,354.96,39.44
2023-02-16,354.0,254.88,28.32
2023-02-17,339.0,244.07999999999998,27.12
2023-02-18,320.0,230.39999999999998,25.6
2023-02-19,272.0,195.84,21.76
2023-02-20,136.0,97.92,10.88
2023-02-21,279.0,200.88,22.32
2023-02-22,407.0,293.03999999999996,32.56
2023-02-23,333.0,239.76,26.64
2023-02-24,302.0,217.44,24.16
2023-02-25,262.0,188.64,20.96
2023-02-26,310.0,223.2,24.8
2023-02-27,108.0,72.36,16.2
2023-02-28,265.0,177.55,39.75
2023-03-01,344.0,230.48000000000002,51.6
2023-03-02,237.0,158.79000000000002,35.55
2023-03-03,249.0,166.83,37.35
2023-03-04,313.0,209.71,46.949999999999996
2023-03-05,268.0,179.56,40.199999999999996
2023-03-06,94.0,62.980000000000004,14.1
2023-03-07,296.0,198.32000000000002,44.4
2023-03-08,353.0,236.51000000000002,52.949999999999996
2023-03-09,318.0,213.06,47.699999999999996
2023-03-10,340.0,227.8,51.0
2023-03-11,284.0,190.28,42.6
2023-03-12,282.0,188.94,42.3
2023-03-13,108.0,60.480000000000004,31.319999999999997
2023-03-14,267.0,149.52,77.42999999999999
2023-03-15,353.0,197.68,102.36999999999999
2023-03-16,268.0,150.08,77.72
2023-03-17,233.0,130.48000000000002,67.57
2023-03-18,285.0,159.60000000000002,82.64999999999999
2023-03-19,246.0,137.76000000000002,71.33999999999999
2023-03-20,135.0,75.60000000000001,39.15
2023-03-21,282.0,157.92000000000002,81.78
2023-03-22,409.0,229.04000000000002,118.60999999999999
2023-03-23,353.0,197.68,102.36999999999999
2023-03-24,270.0,151.20000000000002,78.3
2023-03-25,287.0,160.72000000000003,83.22999999999999
2023-03-26,228.0,127.68,66.11999999999999
2023-03-27,143.0,55.77,65.78
2023-03-28,294.0,114.66000000000001,135.24
2023-03-29,395.0,154.05,181.70000000000002
2023-03-30,326.0,127.14,149.96
2023-03-31,336.0,131.04,154.56
2023-04-01,337.0,131.43,155.02
2023-04-02,335.0,130.65,154.1
2023-04-03,156.0,60.84,71.76
2023-04-04,403.0,157.17000000000002,185.38
2023-04-05,558.0,217.62,256.68
2023-04-06,427.0,166.53,196.42000000000002
2023-04-07,342.0,133.38,157.32
2023-04-08,335.0,130.65,154.1
2023-04-09,319.0,124.41000000000001,146.74
2023-04-10,144.0,37.44,80.64000000000001
2023-04-11,321.0,83.46000000000001,179.76000000000002
2023-04-12,455.0,118.3,254.8
2023-04-13,338.0,87.88000000000001,189.28000000000003
2023-04-14,371.0,96.46000000000001,207.76000000000002
2023-04-15,396.0,102.96000000000001,221.76000000000002
2023-04-16,288.0,74.88,161.28000000000003
2023-04-17,196.0,50.96,109.76
2023-04-18,387.0,100.62,216.72000000000003
2023-04-19,562.0,146.12,314.72
2023-04-20,433.0,112.58,242.48000000000002
2023-04-21,426.0,110.76,238.56000000000003
2023-04-22,428.0,111.28,239.68000000000004
2023-04-23,354.0,92.04,198.24
2023-04-24,192.0,36.480000000000004,122.88
2023-04-25,407.0,77.33,260.48
2023-04-26,551.0,104.69,352.64
2023-04-27,410.0,77.9,262.4
2023-04-28,407.0,77.33,260.48
2023-04-29,480.0,91.2,307.2
2023-04-30,396.0,75.24,253.44
2023-05-01,270.0,51.3,172.8
2023-05-02,382.0,72.58,244.48000000000002
2023-05-03,574.0,109.06,367.36
2023-05-04,611.0,116.09,391.04
