stdDay,Susceptible,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma,Omicron_Infected,Omicron_Recovered,Omicron_Dead,Omicron_alpha,Omicron_beta,Omicron_gamma
2021-04-12,2618474,0.3,0.0,0.0,0.6676086911689787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,2618464,0.5,0.0,0.0,0.560793442262334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-14,2618450,0.78,0.0,0.0,0.48787236136469464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-15,2618431,1.1600000000000001,0.0,0.0,0.4143846132441066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-16,2618407,1.6400000000000001,0.0,0.0,0.3541673313248074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17,2618378,2.2199999999999998,0.0,0.0,0.2526179555806295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,2618350,2.7800000000000002,0.0,0.0,0.136890278943038,0.10791366906474818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-19,2618331,2.8600000000000003,0.3,0.0,0.14706868745643828,0.06993006993006992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-20,2618310,3.08,0.5,0.0,0.1040494297228603,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,2618294,3.12,0.78,0.0,0.14765437988364827,0.12179487179487183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,2618271,3.2,1.1600000000000001,0.0,0.13770496827868467,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-23,2618249,3.1599999999999997,1.6400000000000001,0.0,0.20283525943860706,0.18354430379746825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24,2618217,3.2200000000000006,2.2199999999999998,0.0,0.14929361498506102,0.1677018633540374,0.006211180124223601,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,2618193,3.1399999999999997,2.7600000000000002,0.02,0.31895557781511785,0.12101910828025475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26,2618168,3.76,3.14,0.02,0.2344006564408168,0.11170212765957445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,2618146,4.22,3.56,0.02,0.23733139650939927,0.07582938388625589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28,2618121,4.9,3.88,0.02,0.22892527012420633,0.09387755102040833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29,2618093,5.56,4.340000000000001,0.02,0.2089583041478263,0.07913669064748192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,2618064,6.28,4.78,0.02,0.07655311049506783,0.1019108280254778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,2618052,6.12,5.420000000000001,0.02,0.19638714766012375,0.07843137254901954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,2618022,6.84,5.9,0.02,0.18743128517261332,0.14619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,2617990,7.119999999999999,6.9,0.02,0.12379303257396501,0.12359550561797752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04,2617968,7.12,7.78,0.02,0.21382612585645805,0.1404494382022473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05,2617930,7.640000000000001,8.780000000000001,0.02,0.11536997287513616,0.14659685863874333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06,2617908,7.4,9.9,0.02,0.06497056510853788,0.15675675675675677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,2617896,6.720000000000001,11.06,0.02,0.12520426709082408,0.07142857142857148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-08,2617875,7.08,11.540000000000001,0.02,0.10752091107663496,0.16949152542372872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,2617856,6.639999999999999,12.74,0.02,0.08598496710598016,0.19277108433734932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,2617837,5.93,14.02,0.02,0.07601104891416988,0.14165261382799324,0.006745362563237774,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11,2617822,5.499999999999998,14.86,0.06,0.03824529357194299,0.27636363636363703,1.2616170734376783e-18,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12,2617815,4.189999999999998,16.380000000000003,0.060000000000000005,0.16495201410409424,0.21002386634844855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-13,2617792,4.0,17.26,0.060000000000000005,0.2629394065685891,0.1200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,2617757,4.57,17.740000000000002,0.060000000000000005,0.12493693080148913,0.18380743982494524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-15,2617738,4.300000000000001,18.580000000000002,0.060000000000000005,0.07687423619259282,0.17674418604651113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,2617727,3.870000000000001,19.34,0.060000000000000005,0.20965788880164724,0.13953488372092998,0.00775193798449612,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,2617700,4.109999999999999,19.88,0.09,0.1681701465793368,0.10218978102189738,0.007299270072992701,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18,2617677,4.350000000000001,20.299999999999997,0.12,0.1658015893085937,0.0482758620689657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,2617653,4.859999999999999,20.509999999999998,0.12,0.20405552437834792,0.14197530864197558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-20,2617620,5.16,21.2,0.12,0.06406475134611006,0.19767441860465176,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0
