stdDay,Susceptible,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma,Omicron_Infected,Omicron_Recovered,Omicron_Dead,Omicron_alpha,Omicron_beta,Omicron_gamma
2021-04-12,675855,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,675855,0.06,0.0,0.0,0.6673206530986677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-14,675853,0.1,0.0,0.0,0.6005903650645924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-15,675850,0.16,0.0,0.0,0.37537064437375156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-16,675847,0.22,0.0,0.0,0.09099934802349699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17,675846,0.24,0.0,0.0,0.08341619244620815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,675845,0.26,0.0,0.0,0.15399935237767876,0.23076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-19,675843,0.24,0.06,0.0,0.08341656272240743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-20,675842,0.26,0.06,0.0,0.5390001258828588,0.15384615384615388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,675835,0.36,0.1,0.0,0.2224468003778043,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,675831,0.38,0.16,0.0,0.1580552409980415,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-23,675828,0.38,0.22,0.0,0.1580559426051412,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24,675825,0.42000000000000004,0.24,0.0,0.14300363048337747,0.04761904761904766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,675822,0.45999999999999996,0.26,0.0,0.08704607451949337,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26,675821,0.46,0.3,0.0,0.4352310165999062,0.04347826086956525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,675816,0.6399999999999999,0.32,0.0,0.18769476455129802,0.21875000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28,675813,0.6200000000000001,0.46,0.0,0.06458343148274028,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29,675812,0.5800000000000001,0.54,0.0,0.06903756339500253,0.10344827586206885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,675811,0.5599999999999999,0.6,0.0,0.5005230752384913,0.10714285714285725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,675804,0.7799999999999999,0.66,0.0,0.05133623176132543,0.07692307692307686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,675803,0.76,0.72,0.0,0.05268726319107164,0.05263157894736847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,675802,0.76,0.76,0.0,0.42149872922916226,0.26315789473684204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04,675794,0.8800000000000001,0.96,0.0,0.5915421509567061,0.13636363636363646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05,675781,1.2800000000000002,1.08,0.0,0.1877044856247808,0.03125000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06,675775,1.48,1.12,0.0,0.32468091190594983,0.0270270270270269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,675763,1.9200000000000002,1.16,0.0,0.1042830474589464,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-08,675758,1.8400000000000003,1.44,0.0,0.39174443333650305,0.021739130434782625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,675740,2.52,1.48,0.0,0.16685855506555775,0.015873015873015886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,675726,2.9,1.52,0.0,0.24856685942996481,0.11034482758620692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11,675702,3.3,1.84,0.0,0.11832453843961876,0.15757575757575765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12,675689,3.17,2.3600000000000003,0.0,0.08527800058912177,0.07570977917981066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
