stdDay,incDec,alpha_variants,delta_variants
2021-04-12,17.0,4.42,0.34
2021-04-13,15.0,3.9000000000000004,0.3
2021-04-14,27.0,7.0200000000000005,0.54
2021-04-15,24.0,6.24,0.48
2021-04-16,44.0,11.440000000000001,0.88
2021-04-17,38.0,9.88,0.76
2021-04-18,67.0,17.42,1.34
2021-04-19,35.0,9.1,0.7000000000000001
2021-04-20,29.0,7.54,0.58
2021-04-21,41.0,10.66,0.8200000000000001
2021-04-22,58.0,15.08,1.16
2021-04-23,63.0,16.38,1.26
2021-04-24,52.0,13.52,1.04
2021-04-25,45.0,11.700000000000001,0.9
2021-04-26,29.0,8.99,1.16
2021-04-27,28.0,8.68,1.12
2021-04-28,55.0,17.05,2.2
2021-04-29,38.0,11.78,1.52
2021-04-30,37.0,11.47,1.48
2021-05-01,43.0,13.33,1.72
2021-05-02,61.0,18.91,2.44
2021-05-03,44.0,13.64,1.76
2021-05-04,36.0,11.16,1.44
2021-05-05,27.0,8.37,1.08
2021-05-06,17.0,5.27,0.68
2021-05-07,32.0,9.92,1.28
2021-05-08,37.0,11.47,1.48
2021-05-09,30.0,9.3,1.2
2021-05-10,16.0,4.64,0.48
2021-05-11,10.0,2.9,0.3
2021-05-12,16.0,4.64,0.48
2021-05-13,32.0,9.28,0.96
2021-05-14,32.0,9.28,0.96
2021-05-15,40.0,11.6,1.2
2021-05-16,45.0,13.049999999999999,1.3499999999999999
2021-05-17,30.0,8.7,0.8999999999999999
2021-05-18,16.0,4.64,0.48
2021-05-19,16.0,4.64,0.48
2021-05-20,12.0,3.4799999999999995,0.36
2021-05-21,18.0,5.22,0.54
2021-05-22,21.0,6.09,0.63
2021-05-23,17.0,4.93,0.51
2021-05-24,17.0,0.8500000000000001,0.51
2021-05-25,14.0,0.7000000000000001,0.42
2021-05-26,20.0,1.0,0.6
2021-05-27,18.0,0.9,0.54
2021-05-28,21.0,1.05,0.63
2021-05-29,20.0,1.0,0.6
2021-05-30,10.0,0.5,0.3
2021-05-31,16.0,0.8,0.48
2021-06-01,8.0,0.4,0.24
2021-06-02,21.0,1.05,0.63
2021-06-03,23.0,1.1500000000000001,0.69
2021-06-04,44.0,2.2,1.3199999999999998
2021-06-05,20.0,1.0,0.6
2021-06-06,17.0,0.8500000000000001,0.51
2021-06-07,28.0,3.36,3.9200000000000004
2021-06-08,48.0,5.76,6.720000000000001
2021-06-09,39.0,4.68,5.460000000000001
2021-06-10,33.0,3.96,4.62
2021-06-11,20.0,2.4,2.8000000000000003
2021-06-12,25.0,3.0,3.5000000000000004
2021-06-13,8.0,0.96,1.12
2021-06-14,13.0,1.56,1.8200000000000003
2021-06-15,3.0,0.36,0.42000000000000004
2021-06-16,7.0,0.84,0.9800000000000001
2021-06-17,5.0,0.6,0.7000000000000001
2021-06-18,14.0,1.68,1.9600000000000002
2021-06-19,11.0,1.3199999999999998,1.54
2021-06-20,11.0,1.3199999999999998,1.54
2021-06-21,13.0,1.56,5.07
2021-06-22,11.0,1.3199999999999998,4.29
2021-06-23,18.0,2.16,7.0200000000000005
2021-06-24,23.0,2.76,8.97
2021-06-25,17.0,2.04,6.63
2021-06-26,12.0,1.44,4.68
2021-06-27,14.0,1.68,5.46
2021-06-28,10.0,1.2,3.9000000000000004
2021-06-29,15.0,1.7999999999999998,5.8500000000000005
2021-06-30,17.0,2.04,6.63
2021-07-01,10.0,1.2,3.9000000000000004
2021-07-02,13.0,1.56,5.07
2021-07-03,10.0,1.2,3.9000000000000004
2021-07-04,15.0,1.7999999999999998,5.8500000000000005
2021-07-05,22.0,1.3199999999999998,12.979999999999999
2021-07-06,19.0,1.14,11.209999999999999
2021-07-07,15.0,0.8999999999999999,8.85
2021-07-08,10.0,0.6,5.8999999999999995
2021-07-09,17.0,1.02,10.03
2021-07-10,36.0,2.16,21.24
2021-07-11,67.0,4.02,39.53
2021-07-12,40.0,2.4,23.599999999999998
2021-07-13,51.0,3.06,30.09
2021-07-14,89.0,5.34,52.51
2021-07-15,88.0,5.279999999999999,51.919999999999995
2021-07-16,80.0,4.8,47.199999999999996
2021-07-17,89.0,5.34,52.51
2021-07-18,99.0,5.9399999999999995,58.41
2021-07-19,74.0,2.2199999999999998,56.980000000000004
2021-07-20,57.0,1.71,43.89
2021-07-21,89.0,2.67,68.53
2021-07-22,91.0,2.73,70.07000000000001
2021-07-23,93.0,2.79,71.61
2021-07-24,111.0,3.33,85.47
2021-07-25,119.0,3.57,91.63
2021-07-26,78.0,2.34,60.06
2021-07-27,88.0,2.6399999999999997,67.76
2021-07-28,98.0,2.94,75.46000000000001
2021-07-29,90.0,2.6999999999999997,69.3
2021-07-30,99.0,2.9699999999999998,76.23
2021-07-31,99.0,2.9699999999999998,76.23
2021-08-01,84.0,2.52,64.68
2021-08-02,84.0,0.84,79.8
2021-08-03,72.0,0.72,68.39999999999999
2021-08-04,114.0,1.1400000000000001,108.3
2021-08-05,82.0,0.8200000000000001,77.89999999999999
2021-08-06,98.0,0.98,93.1
2021-08-07,131.0,1.31,124.44999999999999
2021-08-08,118.0,1.18,112.1
2021-08-09,88.0,0.88,83.6
2021-08-10,110.0,1.1,104.5
2021-08-11,141.0,1.41,133.95
2021-08-12,110.0,1.1,104.5
2021-08-13,125.0,1.25,118.75
2021-08-14,103.0,1.03,97.85
2021-08-15,93.0,0.93,88.35
