stdDay,22D_origin,22D_Predicted
2023-02-19,1792.0801,1773.4705
2023-02-20,861.84,846.884
2023-02-21,2275.2,2252.3696
2023-02-22,2377.44,2356.8203
2023-02-23,2010.9601,1989.1646
2023-02-24,1790.64,1769.2782
2023-02-25,1728.7201,1711.1567
2023-02-26,1698.48,1680.4144
2023-02-27,715.56,702.65405
2023-02-28,1904.1399,1886.1926
2023-03-01,2144,2123.8616
2023-03-02,1379.53,1364.9286
2023-03-03,1819.05,1797.5259
2023-03-04,2050.2,2028.4183
2023-03-05,1746.69,1725.6552
2023-03-06,870.33,854.0209
2023-03-07,2300.1099,2275.4343
2023-03-08,2326.2397,2307.0225
2023-03-09,1938.3099,1915.7551
2023-03-10,1828.4299,1805.087
2023-03-11,1845.85,1825.2411
2023-03-12,1622.7401,1605.8468
2023-03-13,719.6,705.18
2023-03-14,1852.48,1837.6672
2023-03-15,1877.6799,1863.9232
2023-03-16,1554.56,1540.1454
2023-03-17,1394.96,1379.519
2023-03-18,1452.64,1443.3357
2023-03-19,1374.24,1360.8213
2023-03-20,675.36005,661.15375
2023-03-21,1947.6798,1925.9808
2023-03-22,2153.2,2129.6104
2023-03-23,1856.9601,1835.9343
2023-03-24,1705.2001,1682.363
2023-03-25,1679.9999,1651.9305
2023-03-26,1496.3201,1476.6075
2023-03-27,515.97003,505.54782
2023-03-28,1400.4901,1386.7352
2023-03-29,1483.17,1464.5571
2023-03-30,1202.3701,1186.8506
2023-03-31,1156.74,1134.6655
2023-04-01,1083.81,1081.1892
2023-04-02,1069.38,1063.3708
2023-04-03,540.15,518.32227
2023-04-04,1535.8201,1492.7573
2023-04-05,1620.45,1584.1995
2023-04-06,1398.15,1360.0859
2023-04-07,1194.57,1191.0059
2023-04-08,1119.6901,1124.9125
2023-04-09,1096.29,1052.5708
2023-04-10,332.02002,341.51123
2023-04-11,966.42,996.6486
2023-04-12,1074.06,1064.354
2023-04-13,884.5201,874.9379
2023-04-14,905.06006,862.88416
2023-04-15,889.46,863.90137
2023-04-16,774.01996,811.2679
2023-04-17,453.43997,430.15347
2023-04-18,1199.9,1169.9287
2023-04-19,1266.9801,1269.3812
2023-04-20,1082.64,1073.8962
2023-04-21,1010.88,1010.5608
2023-04-22,1007.24,974.62946
2023-04-23,881.66003,839.39264
2023-04-24,303.62,298.91858
2023-04-25,833.72,821.6321
2023-04-26,912.38,901.6503
2023-04-27,792.49,782.36
2023-04-28,742.52,767.9037
2023-04-29,795.14996,761.87885
2023-04-30,713.25995,772.844
2023-05-01,371.07,425.4478
2023-05-02,910.1,1047.504
2023-05-03,1144.75,1097.5427
2023-05-04,1119.1,989.6355
