stdDay,Delta_origin,Delta_Predicted
2021-06-13,2.1000001,2.2464218
2021-06-14,2.8,2.7208312
2021-06-15,2.24,2.2379704
2021-06-16,2.24,1.8412992
2021-06-17,0.98,1.4532405
2021-06-18,1.54,1.5610534
2021-06-19,1.8200002,1.5875899
2021-06-20,2.24,2.975442
2021-06-21,7.02,5.0528207
2021-06-22,1.17,2.2027025
2021-06-23,2.73,2.400144
2021-06-24,1.17,1.4621199
2021-06-25,1.95,1.9441636
2021-06-26,5.07,4.880115
2021-06-27,3.12,2.7678473
2021-06-28,1.95,2.7422779
2021-06-29,3.12,2.7181892
2021-06-30,4.29,3.8822095
2021-07-01,2.73,2.5415483
2021-07-02,3.51,3.6920307
2021-07-03,3.12,3.0755615
2021-07-04,1.17,0.8119534
2021-07-05,3.54,3.9286084
2021-07-06,4.72,4.5649776
2021-07-07,7.67,7.517388
2021-07-08,8.85,9.011124
2021-07-09,11.210001,11.289072
2021-07-10,8.26,7.891546
2021-07-11,13.570001,13.374296
2021-07-12,21.83,21.81571
2021-07-13,22.42,22.480433
2021-07-14,30.68,30.349554
2021-07-15,30.09,29.907091
2021-07-16,18.88,18.847994
2021-07-17,17.109999,17.142641
2021-07-18,24.779999,24.848965
2021-07-19,25.41,25.29312
2021-07-20,23.1,23.206917
2021-07-21,26.949999,26.875727
2021-07-22,29.260002,29.212019
2021-07-23,46.2,46.16593
2021-07-24,40.04,40.127293
2021-07-25,53.13,53.00152
2021-07-26,46.2,46.195995
2021-07-27,53.13,53.08383
2021-07-28,42.350002,42.287994
2021-07-29,43.120003,42.998016
2021-07-30,47.739998,47.662117
2021-07-31,35.42,35.315628
2021-08-01,17.71,17.633402
2021-08-02,24.699999,24.549124
2021-08-03,35.15,35.03853
2021-08-04,71.25,71.17894
2021-08-05,114.95,114.93317
2021-08-06,79.799995,79.71386
2021-08-07,64.6,64.57377
2021-08-08,59.85,59.73645
2021-08-09,81.700005,57.913914
2021-08-10,76,96.478516
2021-08-11,62.7,87.34218
2021-08-12,37.05,56.603893
2021-08-13,54.15,45.70404
2021-08-14,77.9,67.08501
2021-08-15,54.15,122.5281
