stdDay,22D_alpha,predicted_22D_alpha,22D_Infected,predicted_22D_Infected
2023-02-19,0.214844754,0.222175613,450.72,462.6115016
2023-02-20,0.425580461,0.403701514,460.08,423.9166197
2023-02-21,0.462354551,0.430818081,432.72,437.1142762
2023-02-22,0.451866528,0.27180475,411.12,434.9934851
2023-02-23,0.414832304,0.358513743,413.28,408.9712892
2023-02-24,0.387115209,0.34520936,411.12,416.8989142
2023-02-25,0.364036741,0.241874561,414.72,401.1275
2023-02-26,0.133246179,0.281138927,404.64,399.2643416
2023-02-27,0.291700754,0.144101962,389.56,374.6524325
2023-02-28,0.560936863,0.288808107,360.69,390.1108209
2023-03-01,0.315004842,0.439318985,361.2,335.4556802
2023-03-02,0.493925854,0.447494477,335.93,358.8990206
2023-03-03,0.456936976,0.277780771,333.79,333.4039078
2023-03-04,0.379042265,0.363055259,331.28,324.7117342
2023-03-05,0,0.378998131,322.27,311.9955094
2023-03-06,1.050751981,0.444395959,303.51,397.6797572
2023-03-07,0.558065047,0.46285823,374.53,305.1388551
2023-03-08,0.509257743,0.274952233,376.54,401.1869395
2023-03-09,0.42772826,0.41352722,403.34,378.4164452
2023-03-10,0.521611955,0.375130743,405.35,423.3403306
2023-03-11,0.479139657,0.401333183,425.45,430.8838583
2023-03-12,0.168776004,0.423704773,452.25,450.2102963
2023-03-13,0.431131241,0.338999003,478.57,414.9885388
2023-03-14,0.462903459,0.414936125,439.14,475.9980976
2023-03-15,0.320512446,0.468154579,436.78,420.8718243
2023-03-16,0.334650303,0.285089165,418.61,424.8121383
2023-03-17,0.436393702,0.368347079,407.14,406.2822162
2023-03-18,0.408734297,0.307531565,395.15,391.7775872
2023-03-19,0.128815934,0.487931669,380.24,385.256701
2023-03-20,0.669585839,0.360163897,370.72,394.5995166
2023-03-21,0.582243271,0.392347038,384.72,377.1954585
2023-03-22,0.505962172,0.285690337,391.44,403.9835193
2023-03-23,0.56201478,0.396031886,411.04,420.7713351
2023-03-24,0.419478804,0.333511442,441.84,413.123853
2023-03-25,0.406645783,0.447836936,444.08,447.9689281
2023-03-26,0.167741091,0.452765226,450.24,452.8976866
2023-03-27,0.401429798,0.311655074,459.18,428.3447537
2023-03-28,0.388374345,0.285148263,436.85,439.2087971
2023-03-29,0.332350579,0.473337203,417.85,415.3446644
2023-03-30,0.399053869,0.419020206,397.28,391.4083241
2023-03-31,0.339947859,0.261624366,372.14,375.5232246
2023-04-01,0.425405735,0.438043892,351.76,360.6084842
2023-04-02,0.148741839,0.371205807,340.86,342.9056293
2023-04-03,0.603606616,0.340601176,332.28,346.0609155
2023-04-04,0.499556285,0.445895106,337.35,331.5117225
2023-04-05,0.429194151,0.411158293,336.57,338.9136153
2023-04-06,0.410535943,0.358988553,338.13,329.5823875
2023-04-07,0.388169865,0.385457128,331.11,338.5282686
2023-04-08,0.346106163,0.380745709,331.5,319.0342235
2023-04-09,0.079887142,0.385886848,319.41,322.5952381
2023-04-10,0.333432858,0.336717218,310.83,285.478532
2023-04-11,0.367891849,0.480779678,277.81,285.5214272
2023-04-12,0.291583395,0.240774825,255.19,251.9112583
2023-04-13,0.338570315,0.338644296,231.4,232.5383034
2023-04-14,0.427078844,0.339025795,210.86,216.9909988
2023-04-15,0.42835561,0.383166134,197.73,199.9080342
2023-04-16,0.219887161,0.419327021,187.46,203.2148821
2023-04-17,0.64213167,0.195974737,192.66,193.7845614
2023-04-18,0.578943681,0.531808496,199.16,196.6842298
2023-04-19,0.456524204,0.509439647,203.32,205.0176471
2023-04-20,0.455099431,0.392269194,209.3,208.624
2023-04-21,0.429411847,0.3206155,214.76,209.8067797
2023-04-22,0.406982544,0.364994824,215.28,202.7209407
2023-04-23,0.092689517,0.377444685,216.06,200.6264378
2023-04-24,0.38351978,0.377838761,208.93,212.9761442
2023-04-25,0.357037435,0.384721726,194.19,197.5490366
2023-04-26,0.308127138,0.478263825,178.7,183.6045501
2023-04-27,0.352707946,0.424508065,166,180.9038781
2023-04-28,0.280404526,0.422463477,153.66,171.75532
2023-04-29,0.402135765,0.340063065,137.23,161.4600113
2023-04-30,0.209446817,0.3815476,126.35,145.3463868
2023-05-01,0.555617465,0.396240294,128.44,156.011934
2023-05-02,0.698298513,0.407581598,125.4,144.1104803
2023-05-03,0.588720114,0.416457087,131.29,137.0619672
2023-05-04,0,0.44561559,138.51,136.8221184
