stdDay,Delta_alpha,predicted_Delta_alpha,Delta_Infected,predicted_Delta_Infected
2021-06-13,0.109379199,0.136775032,5.13,5.14502924
2021-06-14,0.105871104,0.131473839,5.3,5.526849057
2021-06-15,0.024567356,0.136858314,5.71,5.290718039
2021-06-16,0.147662843,0.16039826,5.7,6.431263158
2021-06-17,0.043701024,0.151571423,6.42,5.762149533
2021-06-18,0.086459465,0.175973237,6.49,6.706872111
2021-06-19,0.062071182,0.141520858,6.78,6.83460177
2021-06-20,0.109463093,0.150341094,7.14,6.988907563
2021-06-21,0.106191247,0.132798985,7.36,7.760869565
2021-06-22,0.195392165,0.148861751,8,7.8936
2021-06-23,0.045546086,0.154423431,8.58,7.841491841
2021-06-24,0.232333941,0.119313806,8.41,10.4265874
2021-06-25,0.305899842,0.150688007,10.22,10.17099804
2021-06-26,0.379407012,0.13841556,12.36,13.74242718
2021-06-27,0.164593705,0.158789843,16.62,13.97379061
2021-06-28,0.041595996,0.142447874,18.79,16.81459287
2021-06-29,0.123344007,0.112269536,19.01,20.96453972
2021-06-30,0.128975762,0.119716495,21.21,20.7039604
2021-07-01,0.033835365,0.097182415,23.1,21.66909091
2021-07-02,0.04967784,0.120321408,23.6,23.69707627
2021-07-03,0.048426248,0.121943086,24.21,24.33110285
2021-07-04,0.165804428,0.11552044,24.96,27.45933894
2021-07-05,0.083534313,0.173900485,28.31,26.35303426
2021-07-06,0.217576887,0.142038763,29.89,32.97939779
2021-07-07,0.03395866,0.156826019,34.82,30.56814762
2021-07-08,0.066410681,0.147064388,35.61,35.22090424
2021-07-09,0.344688433,0.153690964,36.02,44.77448362
2021-07-10,0.300249976,0.141524464,45.29,43.0903864
2021-07-11,0.152775407,0.129149526,54.18,49.91262274
2021-07-12,0.089117723,0.124414578,59.71,58.29045721
2021-07-13,0.138056572,0.117695451,64.24,65.76093555
2021-07-14,0.175496614,0.14708899,70.75,73.01114346
2021-07-15,0.169121962,0.135492384,80.41,82.00348215
2021-07-16,0.076129769,0.123344101,93.2,85.5089603
2021-07-17,0.137215498,0.143593028,99.11,104.8605792
2021-07-18,0.096884139,0.110476233,111.51,105.0205148
2021-07-19,0.163272191,0.122669674,118.16,127.4494372
2021-07-20,0.131426667,0.14178209,135.05,127.976773
2021-07-21,0.058035619,0.157541111,146.27,141.7808026
2021-07-22,0.045229827,0.105221525,153.56,150.623047
2021-07-23,0.043922947,0.146343082,158.13,148.2577955
2021-07-24,0.065713652,0.142471045,152.67,154.4426823
2021-07-25,0.093161316,0.130396232,149.11,158.4037
2021-07-26,0.114732054,0.137111187,154.71,161.0611602
2021-07-27,0.124693436,0.14729996,167.11,165.7640207
2021-07-28,0.168105029,0.162320688,179.05,183.5736716
2021-07-29,0.098097951,0.126087725,196.69,184.2205933
2021-07-30,0.083904704,0.134327799,202.37,206.2732554
2021-07-31,0.050914053,0.137902409,212.23,199.7096207
2021-08-01,0.07729347,0.13662678,209.44,217.671535
2021-08-02,0.07979518,0.121139884,214.81,207.3437475
2021-08-03,0.071647042,0.131657198,212.66,212.7419066
2021-08-04,0.077035064,0.132704958,210.15,220.6849877
2021-08-05,0.061204648,0.140591741,217.83,239.2065889
2021-08-06,0.076456636,0.126062721,224.2,263.0436666
2021-08-07,0.130026444,0.118378632,234.37,285.230323
2021-08-08,0.071025738,0.126485109,254.76,301.6130489
2021-08-09,0.055166379,0.127395332,258.95,314.0600956
2021-08-10,0.074552079,0.126622468,255.49,317.9141076
2021-08-11,0.075079132,0.136890545,253.7,310.9923285
2021-08-12,0.058869578,0.141647503,242.67,278.5893813
2021-08-13,0.068123169,0.141644403,237.67,264.2391539
2021-08-14,0.116599055,0.145461112,236.88,248.5642945
2021-08-15,0,0.143847257,253.65,247.3444752
